,input,label,llm_label,rationale
194,"Where would you find a green bill?
Answer Choices:
(a) bank
(b) wallet
(c) restaurant
(d) congress
(e) mail box",wallet,bank,"The answer must be a place where you can find a green bill. Of the above choices, only a bank has green bills."
195,"Dan wondered where those ball bearings came from.  Ball bearings are used in what sort of thing?
Answer Choices:
(a) support axial loads
(b) can
(c) allow movement
(d) machines
(e) church",machines,machines,"The answer must be something that uses ball bearings. Of the above choices, only machines use ball bearings."
196,"The class was billed as a way to improve yourself, the instructor told everybody to close their eyes and what?
Answer Choices:
(a) meditate
(b) celebrate
(c) plot the teacher's destruction
(d) eat better
(e) feel better about yourself",meditate,meditate,"The answer must be something that improves yourself. Of the above choices, only meditate improves yourself."
197,"What does too much lead do to a person?
Answer Choices:
(a) toxic
(b) very heavy
(c) very dense
(d) very resistant to corrosion
(e) follow",toxic,toxic,"The answer must be something that too much lead does to a person. Of the above choices, only toxic is something that too much lead does to a person."
198,"What usually causes someone to stop eating?
Answer Choices:
(a) gaining weight
(b) gas
(c) getting full
(d) satisfaction
(e) discomfort",getting full,getting full,"The answer must be something that causes someone to stop eating. Of the above choices, only getting full causes someone to stop eating."
199,"The museum made an odd choice for the koala display, they put the stuffed creature in what area where you'd usually find a panda?
Answer Choices:
(a) jungle
(b) bamboo grove
(c) australian outback
(d) china
(e) child's book",bamboo grove,bamboo grove,"The answer must be the place where pandas are usually found. Of the above choices, only bamboo grove is where pandas are usually found."
200,"He was lost going up and down the long hall, it must've been a very what to contain a hall that long?
Answer Choices:
(a) prison
(b) conference
(c) dormitory
(d) large building
(e) inside",large building,large building,"The answer must be a place that has a long hall. Of the above choices, only a large building has a long hall."
201,"When two people know different things and want to help, what do they do?
Answer Choices:
(a) discuss
(b) burn themselves
(c) teach each other
(d) cross themselves
(e) talk to each other",teach each other,discuss,"The answer must be something that two people do when they want to help each other. Of the above choices, only discuss and talk to each other make sense."
202,"The fight enemy choice had led him to a grave injury, he was now what?
Answer Choices:
(a) dying
(b) victory
(c) casualties
(d) protect yourself
(e) death",dying,death,"The answer must be something that happens after a grave injury. Of the above choices, only death happens after a grave injury."
203,"When the man needed storage for his personal belongings, what did he look to rent?
Answer Choices:
(a) building
(b) dumpster
(c) attic
(d) warehouse
(e) michigan",building,warehouse,"The answer must be a place to store personal belongings. Of the above choices, only a warehouse is used to store personal belongings."
204,"Having to fight inflation brings a lot of this sentiment to the public?
Answer Choices:
(a) poverty
(b) higher interest rates
(c) saving money
(d) not very much
(e) dissatisfaction",dissatisfaction,dissatisfaction,"The answer should be the feeling of the public when they have to fight inflation. Of the above choices, the closest feeling is dissatisfaction."
205,"What is the path of the earth around the sun called?
Answer Choices:
(a) fotograph
(b) orbit
(c) tree
(d) solar system
(e) attraction",orbit,orbit,"The answer must be the path of the earth around the sun. Of the above choices, only orbit is the path of the earth around the sun."
206,"James wanted to get a kite.  He loved flying them.  Where might he look for one?
Answer Choices:
(a) child's hand
(b) toy store
(c) sky
(d) under a cabbage.
(e) end of line",toy store,toy store,"The answer must be a place where kites are sold. Of the above choices, only toy stores sell kites."
207,"What do you feel from playing football?
Answer Choices:
(a) exhilaration
(b) pain
(c) death
(d) getting hurt
(e) get hurt",exhilaration,exhilaration,"The answer should be the feeling of someone playing football. Of the above choices, the closest feeling is exhilaration."
208,"What place would a person go to look at zebras?
Answer Choices:
(a) zoo
(b) museum
(c) hospital
(d) desk
(e) opera",zoo,zoo,"The answer must be a place where zebras are kept. Of the above choices, only zoos keep zebras."
209,"What is the best way to keep tomatoes fresh?
Answer Choices:
(a) squashed
(b) refrigerator
(c) pizza
(d) market
(e) put somewhere",refrigerator,refrigerator,"The answer must be a place that keeps tomatoes fresh. Of the above choices, only refrigerators keep tomatoes fresh."
210,"A cat sometimes has trouble deciding whether or not to come in or out of what?
Answer Choices:
(a) residence
(b) warm place
(c) zoo
(d) floor
(e) front door",front door,front door,"The answer must be a place where a cat can come in or out. Of the above choices, only a front door is a place where a cat can come in or out."
211,"A common saying, Sam thought, was to go forth, also this.
Answer Choices:
(a) reverse
(b) backwards
(c) back and
(d) back and
(e) tally back",back and,tally back,"The answer must be a common saying that goes with ""go forth"". Of the above choices, only ""go forth and conquer"" is a common saying."
212,"What is an adult engineer likely to do?
Answer Choices:
(a) marry
(b) work
(c) drive train
(d) dress himself
(e) go to work",drive train,work,"The answer must be something an adult engineer is likely to do. Of the above choices, only work is something an adult engineer is likely to do."
213,"John put something on the night table.  But he forgot about it in the morning because it was unfamiliar. Where was he?
Answer Choices:
(a) in jail
(b) homes
(c) hotel
(d) furniture store
(e) hallway",hotel,hotel,"The answer must be a place where John would have a night table. Of the above choices, only hotel rooms have night tables."
214,"Where can a person buy clothing and appliances?
Answer Choices:
(a) shop
(b) department store
(c) mall
(d) closet
(e) garage sale",department store,department store,"The answer must be a place where a person can buy clothing and appliances. Of the above choices, only department stores sell both clothing and appliances."
215,"When someone moves to another state, they are what from you?
Answer Choices:
(a) there
(b) nearby
(c) far
(d) in sight
(e) being here",far,far,"The answer must be the opposite of nearby. Of the above choices, only far is the opposite of nearby."
216,"What is likely to happen if humans act carelessly?
Answer Choices:
(a) sit down
(b) war
(c) reproduce
(d) make mistakes
(e) have sex",make mistakes,make mistakes,"The answer must be something that happens when humans act carelessly. Of the above choices, only making mistakes is something that happens when humans act carelessly."
217,"The question the teacher asked was profound, it made all the students stop and what?
Answer Choices:
(a) analyse
(b) express information
(c) run away
(d) give clue
(e) think",think,think,"The answer must be something that students do when they hear a profound question. Of the above choices, only think makes sense."
218,"What is likely to be the feeling for  future ideas after seeing idea become reality?
Answer Choices:
(a) fulfilling
(b) virtual living
(c) inspiration
(d) make money
(e) very nice",inspiration,inspiration,"The answer should be the feeling of someone who has seen an idea become reality. Of the above choices, the closest feeling is inspiration."
219,"As in part of string theory, what particle makes up hadrons?
Answer Choices:
(a) quark
(b) guitar
(c) bird's nest
(d) kite
(e) beads",quark,quark,"The answer must be a particle that makes up hadrons. Of the above choices, only quarks make up hadrons."
220,"What is likely the result of unprotected sex?
Answer Choices:
(a) orgasm
(b) children
(c) pregnancy
(d) giggle
(e) herpes",pregnancy,pregnancy,"The answer must be something that can result from unprotected sex. Of the above choices, only pregnancy and herpes can result from unprotected sex."
221,"Having lunch too many times can result in what?
Answer Choices:
(a) you die
(b) obesity
(c) feeling satisfied
(d) feel full
(e) digestion",obesity,obesity,"The answer must be something that can result from having lunch too many times. Of the above choices, only obesity can result from having lunch too many times."
222,"He was told everybody is beautiful in their own way, however what he saw in the mirror he found what?
Answer Choices:
(a) charming
(b) grotesque
(c) cloudy
(d) overcast
(e) hideous",hideous,hideous,"The answer should be the opposite of beautiful. Of the above choices, only hideous is the opposite of beautiful."
223,"The agent of change had a loath feeling for the king, he would set for a plan to have him what?
Answer Choices:
(a) recycled
(b) inclined
(c) disposed
(d) avid
(e) enthusiastic",disposed,disposed,"The answer must be something that the agent of change would do to the king. Of the above choices, only disposed means to get rid of."
224,"What is someone with courage in a surprising situation not likely to feel?
Answer Choices:
(a) fight
(b) shocked
(c) humor
(d) nervous
(e) frightened",frightened,frightened,"The answer must be the opposite of courage. Of the above choices, only frightened is the opposite of courage."
225,"Why would someone not want to be cogitating?
Answer Choices:
(a) dance
(b) decision
(c) headaches
(d) reaching conclusion
(e) enlightenment",headaches,headaches,"The answer must be something that is not wanted. Of the above choices, only headaches are not wanted."
226,"The sloth was very muscular, but he couldn't compete in the contest because it had a humans only rule.  What contest was the sloth trying to enter?
Answer Choices:
(a) universe
(b) dictionary
(c) global
(d) commercial
(e) countryside",universe,universe,"The answer must be a contest that only humans can enter. Of the above choices, only the universe is a contest that only humans can enter."
227,"The trees formed a forest, what did they do?
Answer Choices:
(a) stand together
(b) branch out
(c) it will give rain
(d) produce fruit
(e) grow bigger",stand together,stand together,"The answer must be something that trees do. Of the above choices, only stand together is something that trees do."
228,"Why might others think a person is crazy?
Answer Choices:
(a) catch cold
(b) yell
(c) talk to themselves
(d) open doors
(e) study greek",talk to themselves,talk to themselves,"The answer must be something that would make others think a person is crazy. Of the above choices, only talking to themselves would make others think a person is crazy."
229,"They mocked their friend for being timid, but it kept her out of the trouble they got into by being what?
Answer Choices:
(a) reckless
(b) aggressive
(c) insane
(d) bellicose
(e) dauntless",reckless,reckless,"The answer must be the opposite of timid. Of the above choices, only reckless is the opposite of timid."
230,"What structure had to use a launching platform many times to escape the Earth's gravity?
Answer Choices:
(a) large open area
(b) space
(c) space station
(d) aircraft carrier
(e) circus",space station,space station,"The answer must be something that can escape the Earth's gravity. Of the above choices, only space station can escape the Earth's gravity."
231,"A woodworker is missing a screw, where should he look for it?
Answer Choices:
(a) tool box
(b) wall outlet fixture
(c) on the ground
(d) motorcycle
(e) computer",tool box,tool box,"The answer must be a place where a woodworker would keep screws. Of the above choices, only tool box is a place where a woodworker would keep screws."
232,"Using your hands to communicate is how you do what?
Answer Choices:
(a) sign language
(b) soft
(c) cup water
(d) articulate
(e) throw lasers",sign language,sign language,"The answer must be something that uses hands to communicate. Of the above choices, only sign language uses hands to communicate."
233,"What would be the result of going into a deep trance in order to purge the subconscious?
Answer Choices:
(a) loss of control
(b) memory loss
(c) closed eyes
(d) confusion
(e) meditation epilepsy",memory loss,confusion,"The answer must be the result of going into a deep trance in order to purge the subconscious. Of the above choices, only confusion is the result of going into a deep trance in order to purge the subconscious."
234,"What kind of object would you need to see something dirty underground?
Answer Choices:
(a) bed
(b) ground
(c) bright
(d) clean
(e) sportsmanlike",bright,bright,"The answer must be something that can help you see something dirty underground. Of the above choices, only bright can help you see something dirty underground."
235,"Where do nurses work with one doctor?
Answer Choices:
(a) resuscitate
(b) doctor's office
(c) hospital
(d) reception
(e) nursing home",doctor's office,doctor's office,"The answer must be a place where nurses work with one doctor. Of the above choices, only doctor's office makes sense."
236,"What extremely large southern area in the U.S. has venomous snakes?
Answer Choices:
(a) western texas
(b) feild
(c) amazon river
(d) high grass
(e) falling down",western texas,Amazon River,"The answer must be a large area in the southern U.S. Of the above choices, only the Amazon River is a large area in the southern U.S."
237,"What could be happening near you if the ground is getting wet?
Answer Choices:
(a) solidifying
(b) melting
(c) getting cold
(d) feeling cold
(e) skin rash",melting,melting,"The answer must be something that makes the ground wet. Of the above choices, only melting makes the ground wet."
238,"The upright piano helped what get a better sound?
Answer Choices:
(a) music show
(b) music room
(c) house
(d) band
(e) college",band,band,"The answer must be something that makes music. Of the above choices, only band makes music."
239,"Sometimes when you go into a deep trance, what happens when you no longer feel attached to your body?
Answer Choices:
(a) meditation
(b) closed eyes
(c) loss of control
(d) tingling
(e) memory loss",loss of control,loss of control,"The answer must be something that happens when you no longer feel attached to your body. Of the above choices, only loss of control makes sense."
240,"If I am a person, I have a unique ability to do what?
Answer Choices:
(a) cross street
(b) stand upright
(c) speak spanish
(d) speak chinese
(e) further education",stand upright,further education,"The answer must be something that only people can do. Of the above choices, only people can further their education."
241,"Why would someone close a door?
Answer Choices:
(a) keep people out
(b) prevent wind
(c) enclose cupboard
(d) open
(e) glass",keep people out,keep people out,"The answer must be a reason to close a door. Of the above choices, only to keep people out is a reason to close a door."
242,"Billy emptied his trash can into the big dumpster.  Housekeeping was supposed to do it, but it was easy for him, and this place was cheap.  Where is Billy?
Answer Choices:
(a) dump
(b) office
(c) motel
(d) park
(e) corner",motel,motel,"The answer must be a place where there is a dumpster. Of the above choices, only motels have dumpsters."
243,"Every person would get along in a what?
Answer Choices:
(a) eat well
(b) live comfortably
(c) perfect world
(d) fruit bowl
(e) own house",perfect world,perfect world,"The answer must be a place where everyone gets along. Of the above choices, only a perfect world is a place where everyone gets along."
244,"Where is a drill not being used likely to be found?
Answer Choices:
(a) oil rig
(b) work shop
(c) dentist office
(d) tool shed
(e) repair shop",tool shed,work shop or,"The answer must be a place where drills are used. Of the above choices, only work shop and repair shop are places where drills are used."
245,"If one is a mechanic, what are they likely to work with?
Answer Choices:
(a) washing a car
(b) oil engine
(c) servicing airplane
(d) machine parts
(e) machine tool",machine tool,machine parts,"The answer must be something that a mechanic works with. Of the above choices, only machine parts are worked with by a mechanic."
246,"If you want to buy you must what?
Answer Choices:
(a) spend money
(b) go shopping
(c) paying
(d) have in mind
(e) a shop",spend money,spend money,"The answer must be something that is done when buying. Of the above choices, only spending money is done when buying."
247,"Joe works in an establishment that is filled with stacks of small cardboard boxes with removable lids.  Where does Joe work?
Answer Choices:
(a) back alley
(b) shoe store
(c) storage area
(d) storage
(e) warehouse",shoe store,warehouse,"The answer must be a place that has a lot of small cardboard boxes. Of the above choices, only warehouses have a lot of small cardboard boxes."
248,"A person who fears A.I. has a main fear that man will lose the ability to what?
Answer Choices:
(a) go on vacation
(b) work
(c) cross street
(d) control computer
(e) separate things",control computer,control computer,"The answer must be something that man will lose the ability to do. Of the above choices, only control computer makes sense."
249,"Where would a child be happy to find chocolate?
Answer Choices:
(a) nearby
(b) supermarket
(c) box
(d) candy store
(e) christmas stocking",christmas stocking,candy store,"The answer must be a place where a child would be happy to find chocolate. Of the above choices, only candy store makes sense."
250,"What is the largest state with a coast in the US?
Answer Choices:
(a) new york
(b) florida
(c) california
(d) country
(e) united states",california,California,"The answer must be a state with a coast. Of the above choices, only California has a coast."
251,"Where is someone likely to purchase a double edged razor?
Answer Choices:
(a) shower
(b) pharmacist
(c) chemist
(d) drug store
(e) shaving kit",drug store,drug store,"The answer must be a place where someone can purchase a double edged razor. Of the above choices, only drug store sells double edged razors."
252,"The hot dogs were extremely expensive despite where they walked, where were they?
Answer Choices:
(a) movie theater
(b) disneyland
(c) park
(d) sporting event
(e) bowling alley",disneyland,sporting event,"The answer must be a place where hot dogs are expensive. Of the above choices, only sporting events have expensive hot dogs."
253,"How is someone in a new relationship likely to feel about kissing?
Answer Choices:
(a) like
(b) hormones
(c) shyness
(d) happiness
(e) pleasure",shyness,pleasure,"The answer should be the feeling of someone in a new relationship about kissing. Of the above choices, the closest feeling is pleasure."
254,"Sarah opened her newspaper to the second page and sat where?
Answer Choices:
(a) rug
(b) front door
(c) jail
(d) porch
(e) chair",porch,chair,"The answer must be a place where someone would sit while reading a newspaper. Of the above choices, only a chair is a place where someone would sit while reading a newspaper."
255,"Where would students go to get a higher education?
Answer Choices:
(a) university
(b) ask questions
(c) classroom
(d) summer school
(e) homeschool",university,university,"The answer must be a place where students can get a higher education. Of the above choices, only universities offer higher education."
256,"What may you feel if your listening to your mother tell childhood stories to your date?
Answer Choices:
(a) learning
(b) embarrassment
(c) empathy
(d) fatigue
(e) anxiety",anxiety,embarrassment,"The answer should be the feeling of someone listening to their mother tell childhood stories to their date. Of the above choices, the closest feeling is embarrassment."
257,"What would cause a person to stop driving at a hotel?
Answer Choices:
(a) traffic accident
(b) boredom
(c) sleepness
(d) injuries
(e) fatigue",fatigue,fatigue,"The answer must be something that would cause a person to stop driving. Of the above choices, only fatigue would cause a person to stop driving."
258,"What could happen to you if you are cleaning on the 10th floor of an unfinished building?
Answer Choices:
(a) healthy living
(b) adventure
(c) neatness
(d) getting tired
(e) injury",injury,injury,"The answer must be something that could happen to you if you are cleaning on the 10th floor of an unfinished building. Of the above choices, only injury could happen."
259,"Jumping up and down over a rope is a form of what?
Answer Choices:
(a) headaches
(b) fun
(c) getting warm
(d) broken
(e) exercise",exercise,exercise,"The answer must be something that jumping up and down over a rope is a form of. Of the above choices, only exercise is a form of jumping up and down over a rope."
260,"How would a child learn to gain the skill of riding a bike without training wheels?
Answer Choices:
(a) pedalling
(b) practice
(c) good balance
(d) sense of balance
(e) doing wheelies",practice,practice,"The answer must be something that a child would do to learn to ride a bike without training wheels. Of the above choices, only practice is something that a child would do to learn to ride a bike without training wheels."
261,"How will skin feel after contact with poison ivy?
Answer Choices:
(a) feel lumpy
(b) itches
(c) feel cold
(d) feel pressure
(e) feel clammy",itches,itches,"The answer should be the feeling of skin after contact with poison ivy. Of the above choices, the closest feeling is itches."
262,"The ball was in Lucy's court, which was good, since she played handball here all the time.  Where might she be/
Answer Choices:
(a) field
(b) street
(c) playground
(d) bearing
(e) gymnasium",gymnasium,gymnasium,"The answer must be a place where handball is played. Of the above choices, only gymnasiums have handball courts."
263,"Jane bought a small dog half way through her trip while driving back home to Toronto from Mexico.   Where might she have bought the dog?
Answer Choices:
(a) canada
(b) illinois
(c) basket
(d) ball stopped
(e) person's house",illinois,person's house,"The answer must be a place where Jane could have bought the dog. Of the above choices, only person's house makes sense."
264,"What do ships other than cargo ships do when they are in the ocean?
Answer Choices:
(a) bottom out
(b) cross ocean
(c) collide
(d) cross river
(e) carry people",carry people,cross ocean,"The answer must be something that ships do in the ocean. Of the above choices, only cross ocean is something that ships do in the ocean."
265,"What would a person expect if they are competent in their school work?
Answer Choices:
(a) compliments
(b) passing grade
(c) intellectual challenge
(d) sticker
(e) avoid pain",passing grade,passing grade,"The answer must be something that a person would expect if they are competent in their school work. Of the above choices, only passing grade makes sense."
266,"Attending a lecture given by an expert will allow will lead to what?
Answer Choices:
(a) inspiration
(b) drowsiness
(c) getting bored
(d) gain knowledge
(e) gaining knowledge",gaining knowledge,gaining knowledge,"The answer must be something that will happen after attending a lecture. Of the above choices, only gaining knowledge will happen after attending a lecture."
267,"She was in a kitchen of people who just moved in to town, where was she?
Answer Choices:
(a) home
(b) tree house
(c) friend's house
(d) neighbor's house
(e) restaurant",neighbor's house,neighbor's house,"The answer must be a place where people who just moved in to town would be. Of the above choices, only neighbor's house makes sense."
268,"WHat does someone usually produce a lot of when getting divorce?
Answer Choices:
(a) freedom
(b) tears
(c) richer
(d) depression
(e) tissues",tears,tears,"The answer must be something that is produced a lot during a divorce. Of the above choices, only tears are produced a lot during a divorce."
269,"Where can you get a stray small dog?
Answer Choices:
(a) living room
(b) animal shelter
(c) georgia
(d) pet shop
(e) dog show",animal shelter,animal shelter,"The answer must be a place where stray dogs are kept. Of the above choices, only animal shelters keep stray dogs."
270,"What can you use hear other people but not be heard yourself?
Answer Choices:
(a) television
(b) radio
(c) telephone
(d) mouth
(e) song",radio,telephone,"The answer must be something that can be used to hear other people but not be heard yourself. Of the above choices, only a telephone can be used to hear other people but not be heard yourself."
271,"What separates a bay from the water?
Answer Choices:
(a) shoreline
(b) coast
(c) coastal area
(d) lake
(e) manhattan",shoreline,shoreline,"The answer must be something that separates a bay from the water. Of the above choices, only shoreline separates a bay from the water."
272,"Where is the best place to store the title to you car or deed to your home?
Answer Choices:
(a) magazine article
(b) safe deposit box
(c) glove box
(d) library
(e) book",safe deposit box,safe deposit box,"The answer must be a place to store important documents. Of the above choices, only safe deposit boxes are used to store important documents."
273,"If people are competing in dangerous events, what could happen?
Answer Choices:
(a) boredom
(b) winning or losing
(c) rivalry
(d) accomplishment
(e) death",death,death,"The answer must be something that could happen to people competing in dangerous events. Of the above choices, only death could happen to people competing in dangerous events."
274,"Where does a furnace usually heat?
Answer Choices:
(a) basement
(b) antarctic
(c) house
(d) cellar
(e) heat building",house,house,"The answer must be the place where a furnace is located. Of the above choices, only a house has a furnace."
275,"The old barn was beyond repair, they had to destroy it before they could what a new one?
Answer Choices:
(a) make
(b) raise
(c) entice
(d) build
(e) fix",raise,build,"The answer must be something that can be done to a barn. Of the above choices, only build makes sense."
276,"James  and his friends like to play pretend together.  What is it that they like about playing pretend together?
Answer Choices:
(a) day dream
(b) have imagination
(c) run
(d) have fun with
(e) good liar",have fun with,have fun with,"The answer must be something that is fun to do with friends. Of the above choices, only having fun with friends makes sense."
277,"What is on the base of a stack of cubes?
Answer Choices:
(a) transistor
(b) home plate
(c) floor
(d) box
(e) vessel",box,floor,"The answer must be the bottom of a stack of cubes. Of the above choices, only floor is the bottom of a stack of cubes."
278,"What is the likely end of bringing suit?
Answer Choices:
(a) tensions
(b) randomness
(c) going to court
(d) swimming
(e) ruling",ruling,going to court,"The answer must be something that happens after bringing suit. Of the above choices, only going to court happens after bringing suit."
279,"Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?
Answer Choices:
(a) condition heart
(b) expend energy
(c) laugh
(d) stretch
(e) weigh",expend energy,expend energy,"The answer must be something that addicts do to deal with their addictions. Of the above choices, only expending energy is something that addicts do to deal with their addictions."
280,"What task can a lawyer plan for to engage a witness who has been difficult to find?
Answer Choices:
(a) come early
(b) state case
(c) nullified
(d) clear of all charges
(e) produce evidence",come early,produce evidence,"The answer must be something that a lawyer can do to engage a witness. Of the above choices, only produce evidence is something a lawyer can do."
281,"She was bad at dancing, so what basic skill did the instructor teach her?
Answer Choices:
(a) euphoria
(b) rhythmic movement
(c) music
(d) moving body
(e) having fun",rhythmic movement,rhythmic movement,"The answer must be a basic skill for dancing. Of the above choices, only rhythmic movement is a basic skill for dancing."
282,"John was told to leave the cheese in the cellar for a few years.  Why is that?
Answer Choices:
(a) strong odor
(b) age well
(c) salad dressing
(d) flavor
(e) age to get better",age to get better,age to get better,"The answer must be something that happens to cheese when it is left in the cellar for a few years. Of the above choices, only age to get better makes sense."
283,"Where do you hide a dead body?
Answer Choices:
(a) funeral
(b) closet
(c) container
(d) trunk
(e) basement",trunk,trunk,"The answer must be a place where a dead body can be hidden. Of the above choices, only a trunk can hide a dead body."
284,"James and Holly were getting a divorce. They didn't like it, but they needed it.  What might they be trying to avoid?
Answer Choices:
(a) being single
(b) tears
(c) children suffer
(d) anger
(e) no spouse",children suffer,children suffer,"The answer must be something that James and Holly are trying to avoid. Of the above choices, only children suffer is something that James and Holly are trying to avoid."
285,"Where is a corner shop selling derby souvenirs likely to be?
Answer Choices:
(a) kentucky
(b) england
(c) india
(d) iowa
(e) town",kentucky,Kentucky,"The answer must be a place where derby souvenirs are sold. Of the above choices, only Kentucky is a place where derby souvenirs are sold."
286,"John spent time relaxing because  he was told he needed to do what?
Answer Choices:
(a) relax
(b) lower blood pressure
(c) feel happy
(d) lie back
(e) sleeping",lower blood pressure,relax,"The answer must be something that John was told to do. Of the above choices, only relax is something that John was told to do."
287,"What would happen in a country if everyone is loving another?
Answer Choices:
(a) peace
(b) marriage
(c) satisfaction
(d) heartache
(e) happiness",peace,peace,"The answer should be the result of everyone loving another. Of the above choices, the closest result is peace."
288,"Where would you get a saw that you can take home?
Answer Choices:
(a) hardware store
(b) tool shed
(c) toolbox
(d) diy store
(e) tool kit",hardware store,hardware store,"The answer must be a place where you can buy a saw. Of the above choices, only hardware stores sell saws."
289,"Care not to burn you hand on the handle of what small high-walled vessel?
Answer Choices:
(a) brush
(b) carry object
(c) walking stick
(d) umbrella
(e) saucepan",saucepan,saucepan,"The answer must be something that has a handle and can burn your hand. Of the above choices, only saucepans have handles and can burn your hand."
290,"The little girl was raised selfish, she didn't even care when she was doing what?
Answer Choices:
(a) crack
(b) antipathy
(c) being mean
(d) disinterest
(e) unfeeling",being mean,being mean,"The answer must be something that a selfish person would do. Of the above choices, only being mean is something a selfish person would do."
291,"Settling in to see your favorite show is a great way to do what after a hard days work?
Answer Choices:
(a) smile
(b) buy tickets
(c) laugh
(d) relax
(e) succeed",relax,relax,"The answer must be something that is a great way to do after a hard days work. Of the above choices, only relax is a great way to do after a hard days work."
292,"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?
Answer Choices:
(a) present
(b) stay here
(c) closer
(d) available
(e) come here",closer,closer,"The answer must be something that would have made John happier. Of the above choices, only closer would have made John happier."
293,"Where is a ball projectile shot out of?
Answer Choices:
(a) canon
(b) machine
(c) battle field
(d) tornado
(e) weapon",canon,canon,"The answer must be something that shoots out a projectile. Of the above choices, only canons shoot out projectiles."
294,"Holding a iron and looking in the distance the idea seemed simple enough to him, he just had to get the ball in the what?
Answer Choices:
(a) basketball hoop
(b) sporting event
(c) sporting goods store
(d) hole
(e) pool table",hole,basketball hoop or,"The answer must be something that a ball can be put into. Of the above choices, only a basketball hoop and a hole can have a ball put into them."
295,"Where is the mailbox between my house and the next block?
Answer Choices:
(a) front door
(b) post office
(c) apartment complex
(d) street corner
(e) fence",street corner,street corner,"The answer must be a place between the house and the next block. Of the above choices, only street corner is between the house and the next block."
296,"Seeing someone open a gift after buying christmas presents causes what for the gift giver?
Answer Choices:
(a) stress
(b) understand themselves
(c) pleasure
(d) sense of joy
(e) debt",pleasure,pleasure,"The answer should be the feeling of someone who bought a gift for someone else. Of the above choices, the closest feeling is pleasure."
297,"Playing basketball through an injury was his only choice, there was no way he was missing the big game so he would just have to ignore the what?
Answer Choices:
(a) sweating
(b) cheers
(c) have fun
(d) knee injury
(e) pain",pain,knee injury,"The answer must be something that would prevent him from playing basketball. Of the above choices, only knee injury would prevent him from playing basketball."
298,"Where in your home would you normally keep your toothpaste?
Answer Choices:
(a) mouth
(b) bathroom
(c) living room
(d) medicine cabinet
(e) suitcase",bathroom,bathroom,"The answer must be a place where toothpaste is normally kept. Of the above choices, only bathroom makes sense for keeping toothpaste."
299,"Where can you buy guns for hunting?
Answer Choices:
(a) war
(b) roadblock
(c) make person sick
(d) military base
(e) sporting goods store",sporting goods store,sporting goods store,"The answer must be a place where guns are sold. Of the above choices, only sporting goods stores sell guns."
300,"Humans do what when they are motivated and need money?
Answer Choices:
(a) live forever
(b) get sick
(c) work hard
(d) fall in love
(e) feel comfortable",work hard,work hard,"The answer must be something that humans do when they are motivated and need money. Of the above choices, only work hard makes sense."
301,"Sally had a throat injury.  She can't talk because she is unable to do what?
Answer Choices:
(a) swallow food
(b) will listen
(c) open mouth
(d) make sound
(e) dry mouth",make sound,make sound,"The answer must be something that is needed to talk. Of the above choices, only making sound is needed to talk."
302,"Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?
Answer Choices:
(a) feeling good
(b) deep breathing
(c) sleeping
(d) taking a bath
(e) fall asleep",deep breathing,deep breathing,"The answer must be an action that is relaxing. Of the above choices, only deep breathing is relaxing."
303,"Where do tourists frequent most in mexico?
Answer Choices:
(a) beach
(b) zoo
(c) waterfall
(d) homes
(e) disneyland",beach,beach,"The answer must be a place that tourists frequent. Of the above choices, only beaches are frequented by tourists."
304,"What are you about to do If you're going to study in a library?
Answer Choices:
(a) concentrating
(b) concentration
(c) settle down
(d) read books
(e) concentrate",read books,read books,"The answer must be something that you do in a library. Of the above choices, only reading books is something that you do in a library."
305,"He had been away from his hometown for years, upon returning he said he would love to what?
Answer Choices:
(a) meet friend
(b) forgive
(c) make friends
(d) buy presents for others
(e) love",meet friend,make friends,"The answer should be something that someone who has been away from home for a long time would want to do. Of the above choices, the closest answer is (c) make friends."
306,"When picking an object for a baby something soft is the what option?
Answer Choices:
(a) harsh
(b) crazy
(c) sensible
(d) abrasive
(e) hard",sensible,hard,"The answer must be the opposite of soft. Of the above choices, only hard is the opposite of soft."
307,"Billy loved climbing, and he eventually suffered a brain injury due to what?
Answer Choices:
(a) getting higher
(b) loss of oxygen
(c) falling
(d) blisters
(e) ascending",loss of oxygen,falling,"The answer must be something that can cause a brain injury. Of the above choices, only falling can cause a brain injury."
308,"Where can many merchants have their stores under one roof?
Answer Choices:
(a) supermarket
(b) store
(c) mall
(d) market
(e) shopping center",mall,mall or,"The answer must be a place where many merchants can have their stores. Of the above choices, only malls and shopping centers have many stores."
309,"What could happen after relaxing for a long time by not doing anything?
Answer Choices:
(a) shut eyes
(b) falling asleep
(c) listening to music
(d) reading
(e) shut eyes",falling asleep,falling asleep,"The answer must be something that could happen after relaxing for a long time by not doing anything. Of the above choices, only falling asleep could happen."
310,"Sally went to a store and spent money.  Most of her purchases were fresh but some were frozen.  What did she do?
Answer Choices:
(a) made a mistake
(b) control people
(c) get things
(d) buy food
(e) pay bills",buy food,buy food,"The answer must be something that can be bought at a store. Of the above choices, only food can be bought at a store."
