,premise,hypothesis,label,llm_label,rationale,input
2374,Men standing at the edge of a basketball court talking to each other.,The men are having a conversation.,entailment,entailment,The men are talking to each other.,Men standing at the edge of a basketball court talking to each other.</s>The men are having a conversation.
2375,Men standing at the edge of a basketball court talking to each other.,The men talk about their game.,neutral,entailment,"The men are standing at the edge of a basketball court, so they are probably talking about their game.",Men standing at the edge of a basketball court talking to each other.</s>The men talk about their game.
2376,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are preparing at the arena before a game,entailment,entailment,Commentators and broadcasters are preparing at the arena before a game.,commentators and broadcasters at there both in an arena before the game.</s>Commentators and broadcasters are preparing at the arena before a game
2377,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are rehearsing at the arena before a game,neutral,entailment,Commentators and broadcasters are rehearsing at the arena before a game.,commentators and broadcasters at there both in an arena before the game.</s>Commentators and broadcasters are rehearsing at the arena before a game
2378,commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are rushing through traffic before a game,contradiction,neutral,Commentators and broadcasters are not necessarily rushing through traffic.,commentators and broadcasters at there both in an arena before the game.</s>Commentators and broadcasters are rushing through traffic before a game
2379,Three basketball commentators are talking while standing on the sidelines.,Three basketball commentators are yelling,neutral,neutral,The commentators are not necessarily yelling.,Three basketball commentators are talking while standing on the sidelines.</s>Three basketball commentators are yelling
2380,Three basketball commentators are talking while standing on the sidelines.,Three basketball commentators are fighting the basketball players.,contradiction,contradiction,The commentators are not fighting the players.,Three basketball commentators are talking while standing on the sidelines.</s>Three basketball commentators are fighting the basketball players.
2381,Three basketball commentators are talking while standing on the sidelines.,Three people are watching basketball from the sideline,entailment,neutral,The commentators are not necessarily watching the game.,Three basketball commentators are talking while standing on the sidelines.</s>Three people are watching basketball from the sideline
2382,Reporters or commentators at a sporting event are standing and sitting behind a large sign.,Reporters or commentators at a sporting event await the press conference from the head coach.,neutral,neutral,The reporters or commentators are not necessarily awaiting the press conference from the head coach.,Reporters or commentators at a sporting event are standing and sitting behind a large sign.</s>Reporters or commentators at a sporting event await the press conference from the head coach.
2383,Reporters or commentators at a sporting event are standing and sitting behind a large sign.,A group of people have gathered at a sporting event behind a large sign.,entailment,entailment,Reporters or commentators are people.,Reporters or commentators at a sporting event are standing and sitting behind a large sign.</s>A group of people have gathered at a sporting event behind a large sign.
2384,Reporters or commentators at a sporting event are standing and sitting behind a large sign.,No one gathered at a sporting event near the large sign.,contradiction,contradiction,Reporters or commentators are people.,Reporters or commentators at a sporting event are standing and sitting behind a large sign.</s>No one gathered at a sporting event near the large sign.
2385,"Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.",There is fire visible in the shot.,entailment,entailment,"The candles are lit, so there is fire.","Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.</s>There is fire visible in the shot."
2386,"Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.","There is only one food item visible, and it is a burrito.",contradiction,contradiction,"There is a cake, not a burrito.","Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.</s>There is only one food item visible, and it is a burrito."
2387,"Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.",One of the women is having her 30th birthday.,neutral,neutral,"The cake is multi-tiered, so it could be a birthday cake.","Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.</s>One of the women is having her 30th birthday."
2388,A girl touches the fountain with her foot.,A volcano erupts.,contradiction,neutral,The girl touching the fountain with her foot does not cause a volcano to erupt.,A girl touches the fountain with her foot.</s>A volcano erupts.
2389,A girl touches the fountain with her foot.,A girl and a fountain.,entailment,neutral,The girl is not necessarily touching the fountain.,A girl touches the fountain with her foot.</s>A girl and a fountain.
2390,A girl touches the fountain with her foot.,A girl and a drinking fountain.,neutral,neutral,The girl is not necessarily drinking from the fountain.,A girl touches the fountain with her foot.</s>A girl and a drinking fountain.
2391,A little girl dressed in pink and white is walking.,The girl is being blown away by the wind.,contradiction,contradiction,"The girl is walking, not being blown away by the wind.",A little girl dressed in pink and white is walking.</s>The girl is being blown away by the wind.
2392,A little girl dressed in pink and white is walking.,A girl is wearing pink and white.,entailment,entailment,A little girl is a girl.,A little girl dressed in pink and white is walking.</s>A girl is wearing pink and white.
2393,A little girl dressed in pink and white is walking.,The girl has a handbasket.,neutral,contradiction,"The girl is walking, not holding a handbasket.",A little girl dressed in pink and white is walking.</s>The girl has a handbasket.
2394,A young girl in all pink clothing walking.,A child is wearing only one color.,entailment,entailment,The child is wearing all pink clothing.,A young girl in all pink clothing walking.</s>A child is wearing only one color.
2395,A young girl in all pink clothing walking.,The girl is wearing all blue clothing.,contradiction,contradiction,The girl is wearing all pink clothing.,A young girl in all pink clothing walking.</s>The girl is wearing all blue clothing.
2396,A young girl in all pink clothing walking.,The girl is walking to school.,neutral,neutral,"The girl is walking, but not necessarily to school.",A young girl in all pink clothing walking.</s>The girl is walking to school.
2397,A young Asian girl wearing a pink outfit is walking past a bicycle.,A young girl wears blue in the classroom.,contradiction,contradiction,The girl in the picture is not wearing blue.,A young Asian girl wearing a pink outfit is walking past a bicycle.</s>A young girl wears blue in the classroom.
2398,A young Asian girl wearing a pink outfit is walking past a bicycle.,A young girl wears pink with black shoes.,neutral,neutral,"The girl is wearing pink, but the outfit is not necessarily black.",A young Asian girl wearing a pink outfit is walking past a bicycle.</s>A young girl wears pink with black shoes.
2399,A young Asian girl wearing a pink outfit is walking past a bicycle.,A young girl wears a pink outfit.,entailment,entailment,The girl is young and Asian. The outfit is pink.,A young Asian girl wearing a pink outfit is walking past a bicycle.</s>A young girl wears a pink outfit.
2400,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A man is posing beside a road sign in the snow,entailment,neutral,"The man is posing beside a road sign, but the road sign is not necessarily in the snow.","A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.</s>A man is posing beside a road sign in the snow"
2401,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A man is making faces while jumping in the air.,neutral,neutral,The man is not necessarily making faces.,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.</s>A man is making faces while jumping in the air."
2402,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A child is running down the road.,contradiction,contradiction,The man is not a child.,"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.</s>A child is running down the road."
2403,The little girl is dressed in pink.,A little girl is dressed in the same color.,entailment,entailment,The little girl is dressed in pink. Pink is a color.,The little girl is dressed in pink.</s>A little girl is dressed in the same color.
2404,The little girl is dressed in pink.,A little girl is wearing a pink dress.,neutral,neutral,"The little girl is dressed in pink, but it doesn't say that she is wearing a dress.",The little girl is dressed in pink.</s>A little girl is wearing a pink dress.
2405,The little girl is dressed in pink.,Nobody is there.,contradiction,contradiction,The little girl is dressed in pink.,The little girl is dressed in pink.</s>Nobody is there.
2406,A man jumping up in the snow next to a body of water.,It is snowing.,entailment,entailment,The man is jumping up in the snow.,A man jumping up in the snow next to a body of water.</s>It is snowing.
2407,A man jumping up in the snow next to a body of water.,The man is exercising.,neutral,entailment,"The man is jumping up in the snow, which is a form of exercise.",A man jumping up in the snow next to a body of water.</s>The man is exercising.
2408,A man jumping up in the snow next to a body of water.,It is very hot.,contradiction,contradiction,"If it is very hot, there would be no snow.",A man jumping up in the snow next to a body of water.</s>It is very hot.
2409,A young boy paddling in a body of water on a small floating vessel near the shoreline.,A little boy is swimming by the Jersey Shore,neutral,neutral,"The boy is not swimming, he is paddling. The body of water is not necessarily the Jersey Shore.",A young boy paddling in a body of water on a small floating vessel near the shoreline.</s>A little boy is swimming by the Jersey Shore
2410,A young boy paddling in a body of water on a small floating vessel near the shoreline.,A little boy is swimming in his backyard pool,contradiction,neutral,The body of water is not necessarily a pool.,A young boy paddling in a body of water on a small floating vessel near the shoreline.</s>A little boy is swimming in his backyard pool
2411,A young boy paddling in a body of water on a small floating vessel near the shoreline.,A little boy is outside in the water,entailment,entailment,The boy is outside in the water.,A young boy paddling in a body of water on a small floating vessel near the shoreline.</s>A little boy is outside in the water
2412,A nurse treating a child with cleft palate.,child got hurt on bike,neutral,contradiction,"cleft palate is a birth defect, not an injury.",A nurse treating a child with cleft palate.</s>child got hurt on bike
2413,A nurse treating a child with cleft palate.,nurse treats child,entailment,entailment,cleft palate is a condition that needs to be treated.,A nurse treating a child with cleft palate.</s>nurse treats child
2414,A nurse treating a child with cleft palate.,moose eats trees,contradiction,neutral,The nurse treating a child with cleft palate has nothing to do with a moose eating trees.,A nurse treating a child with cleft palate.</s>moose eats trees
2415,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",There is only one person present.,contradiction,contradiction,There are three kids standing at the shore of the lake.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>There is only one person present."
2416,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",Three kids prepare to go canoeing while their friend uses his kayak.,neutral,neutral,The kids are not necessarily preparing to go canoeing.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>Three kids prepare to go canoeing while their friend uses his kayak."
2417,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",Some kids are taking a test at school.,contradiction,contradiction,"The kids are not at school, they are at a lake.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>Some kids are taking a test at school."
2418,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",Three kids stand at the shore of a lake.,entailment,entailment,The three kids are standing at the shore of the lake.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>Three kids stand at the shore of a lake."
2419,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The kids are all at camp.,neutral,neutral,"The kids could be at a lake house, or a lake resort.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>The kids are all at camp."
2420,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",A ship sinks in the ocean.,contradiction,neutral,The ship sinking in the ocean is not related to the picture.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>A ship sinks in the ocean."
2421,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The kids are getting ready to go for a swim.,neutral,neutral,"The kids are not wearing swimsuits, and they are not in the water.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>The kids are getting ready to go for a swim."
2422,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The redheaded boy is ready to kayak on the lake.,neutral,entailment,"The boy is wearing a life vest, has a paddle, and is in a kayak.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>The redheaded boy is ready to kayak on the lake."
2423,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",There are multiple people present.,entailment,entailment,There are three kids and four canoes.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>There are multiple people present."
2424,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",A boy in a yellow kayak.,entailment,entailment,"The boy is in a kayak, and the kayak is yellow.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>A boy in a yellow kayak."
2425,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",A church youth group prepares to go out on the lake in kayaks and canoes.,neutral,neutral,The kids are not necessarily in a church youth group.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>A church youth group prepares to go out on the lake in kayaks and canoes."
2426,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.","Three children stand near a clear lake and some canoes, while a fourth child sits in a kayak holding a paddle, dressed in red.",entailment,entailment,The hypothesis is a paraphrase of the premise.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>Three children stand near a clear lake and some canoes, while a fourth child sits in a kayak holding a paddle, dressed in red."
2427,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The grass is green.,entailment,entailment,The grass is green.,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>The grass is green."
2428,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",A lake is trying to pull the kids into it.,contradiction,contradiction,"The lake is not alive, so it cannot pull the kids into it.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>A lake is trying to pull the kids into it."
2429,"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",There is no water in the lake.,contradiction,contradiction,"The lake is crystal and crisp looking, which means it is clear and clean.","There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.</s>There is no water in the lake."
2430,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",The people are on a family canoe trip.,neutral,neutral,The people are not necessarily a family.,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.</s>The people are on a family canoe trip."
2431,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A young man is canoeing.,entailment,entailment,"The young man is paddling through the water, while wearing a life jacket and smiling.","In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.</s>A young man is canoeing."
2432,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A group of people white water rafts down a raging river.,contradiction,neutral,The people in the background are not white water rafting.,"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.</s>A group of people white water rafts down a raging river."
2433,a child is paddleboarding outdoors,A child goes paddleboarding for the first time.,neutral,neutral,The child could have gone paddleboarding before.,a child is paddleboarding outdoors</s>A child goes paddleboarding for the first time.
2434,a child is paddleboarding outdoors,An old man falls off a paddleboard.,contradiction,contradiction,The child is not an old man.,a child is paddleboarding outdoors</s>An old man falls off a paddleboard.
2435,a child is paddleboarding outdoors,A small human in the water.,entailment,entailment,A child is a small human. Paddleboarding is in the water.,a child is paddleboarding outdoors</s>A small human in the water.
2436,A smiling young girl sitting at a table has an upturned bowl on her head.,A child has a bowl on her head.,entailment,entailment,A young girl is a child.,A smiling young girl sitting at a table has an upturned bowl on her head.</s>A child has a bowl on her head.
2437,A smiling young girl sitting at a table has an upturned bowl on her head.,A young girl has a bowl on her head filled with spaghetti.,neutral,neutral,The bowl is not necessarily filled with spaghetti.,A smiling young girl sitting at a table has an upturned bowl on her head.</s>A young girl has a bowl on her head filled with spaghetti.
2438,A smiling young girl sitting at a table has an upturned bowl on her head.,A girl has a plate on her head.,contradiction,contradiction,A bowl is not a plate.,A smiling young girl sitting at a table has an upturned bowl on her head.</s>A girl has a plate on her head.
2439,Three men sit together while one looks at a book.,Three men are reading the bible.,neutral,neutral,The men are not necessarily reading the bible.,Three men sit together while one looks at a book.</s>Three men are reading the bible.
2440,Three men sit together while one looks at a book.,People are staring at text.,entailment,entailment,The men are people. The book is text.,Three men sit together while one looks at a book.</s>People are staring at text.
2441,Three men sit together while one looks at a book.,Women are reading a book.,contradiction,contradiction,The men are not women.,Three men sit together while one looks at a book.</s>Women are reading a book.
2442,A nurse monitors a young child who appears to be post-op.,A nurse monitors a patient.,entailment,entailment,A young child is a patient.,A nurse monitors a young child who appears to be post-op.</s>A nurse monitors a patient.
2443,A nurse monitors a young child who appears to be post-op.,A nurse is administering an injection.,contradiction,contradiction,The nurse is not administering an injection.,A nurse monitors a young child who appears to be post-op.</s>A nurse is administering an injection.
2444,A nurse monitors a young child who appears to be post-op.,A woman watching over a person.,entailment,entailment,A nurse is a woman. A young child is a person.,A nurse monitors a young child who appears to be post-op.</s>A woman watching over a person.
2445,The little girl in the blue sweater is reading her book.,A little girl is playing a board game with her brother.,contradiction,contradiction,The little girl in the blue sweater is not the same as the little girl in the board game.,The little girl in the blue sweater is reading her book.</s>A little girl is playing a board game with her brother.
2446,The little girl in the blue sweater is reading her book.,A small child is reading her book to her stuffed animals.,neutral,entailment,The little girl in the blue sweater is a small child.,The little girl in the blue sweater is reading her book.</s>A small child is reading her book to her stuffed animals.
2447,The little girl in the blue sweater is reading her book.,A small child is holding a book.,entailment,entailment,The little girl is a small child.,The little girl in the blue sweater is reading her book.</s>A small child is holding a book.
2448,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is standing.,contradiction,contradiction,"The child is sleeping, so he cannot be standing.",The nurse smiles as she gently rubs the tummy of the sleeping child.</s>The sleeping child is standing.
2449,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is in the hospital.,entailment,entailment,The nurse is rubbing the tummy of the child.,The nurse smiles as she gently rubs the tummy of the sleeping child.</s>The sleeping child is in the hospital.
2450,The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child lies on a hospital bed.,neutral,entailment,The nurse is rubbing the tummy of the child. The child is sleeping. The nurse is smiling.,The nurse smiles as she gently rubs the tummy of the sleeping child.</s>The sleeping child lies on a hospital bed.
2451,A little girl with a backpack sitting down looking at a book.,the girl reads a book about dogs,neutral,neutral,"the girl is reading a book, but it is not necessarily about dogs.",A little girl with a backpack sitting down looking at a book.</s>the girl reads a book about dogs
2452,A little girl with a backpack sitting down looking at a book.,the girl reads a book,entailment,entailment,"the girl is looking at a book, so she is reading it.",A little girl with a backpack sitting down looking at a book.</s>the girl reads a book
2453,A little girl with a backpack sitting down looking at a book.,the dog eats rats,contradiction,neutral,The dog eating rats has nothing to do with the little girl.,A little girl with a backpack sitting down looking at a book.</s>the dog eats rats
2454,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",The crowd watches a baseball game,entailment,entailment,"The crowd is watching a baseball player, a catcher, and an umpire.","A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.</s>The crowd watches a baseball game"
2455,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",The crowd is watching a track meet.,contradiction,contradiction,The crowd is watching a baseball game.,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.</s>The crowd is watching a track meet."
2456,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",The Pirates are playing the Mets.,neutral,neutral,The Pirates and Mets are baseball teams.,"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.</s>The Pirates are playing the Mets."
2457,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",The final game of the championship is being played while many fans are in the stands.,neutral,neutral,The final game of the championship is not necessarily being played.,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.</s>The final game of the championship is being played while many fans are in the stands."
2458,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",Fans fill the seats as they watch their favorite soccer teams battle it out on the pitch.,contradiction, ,The baseball player is not a soccer player. The catcher is not a soccer player. The umpire is not a soccer player. The people in the stands are not,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.</s>Fans fill the seats as they watch their favorite soccer teams battle it out on the pitch."
2459,"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",A baseball game is being played.,entailment,entailment,"The baseball player is standing at home plate, the catcher is behind him, and the umpire is behind him.","There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.</s>A baseball game is being played."
2460,A baseball player getting ready to bat.,The baseball player is batting with a blue bat.,neutral,neutral,The baseball player is not necessarily batting with a blue bat.,A baseball player getting ready to bat.</s>The baseball player is batting with a blue bat.
2461,A baseball player getting ready to bat.,The player is ready to hit.,entailment,entailment,"The player is getting ready to bat, which means he is ready to hit.",A baseball player getting ready to bat.</s>The player is ready to hit.
2462,A baseball player getting ready to bat.,The basketball player is going to throw the ball.,contradiction,contradiction,The baseball player is not a basketball player.,A baseball player getting ready to bat.</s>The basketball player is going to throw the ball.
2463,A man in a red and white uniform holding a bat.,One man with a bat wearing red and white.,entailment,neutral,"The man is wearing red and white, but it is not specified that the uniform is red and white.",A man in a red and white uniform holding a bat.</s>One man with a bat wearing red and white.
2464,A man in a red and white uniform holding a bat.,Someone wearing green and yellow holds a crickett bat.,contradiction,neutral,The man in the red and white uniform is not necessarily wearing green and yellow.,A man in a red and white uniform holding a bat.</s>Someone wearing green and yellow holds a crickett bat.
2465,A man in a red and white uniform holding a bat.,A man is up next to bat.,neutral,entailment,"The man is holding a bat, so he is probably up next to bat.",A man in a red and white uniform holding a bat.</s>A man is up next to bat.
2466,A baseball player is holding a bat.,The person has a piece of athletic equipment.,entailment,entailment,A baseball bat is a piece of athletic equipment.,A baseball player is holding a bat.</s>The person has a piece of athletic equipment.
2467,A baseball player is holding a bat.,The man will hit a ball.,neutral,entailment,"The man is holding a bat, which is used to hit a ball.",A baseball player is holding a bat.</s>The man will hit a ball.
2468,A baseball player is holding a bat.,An athlete is playing piano.,contradiction,neutral,A baseball player is an athlete.,A baseball player is holding a bat.</s>An athlete is playing piano.
2469,A lone boat sitting in the water.,A boat sits alone at the docks edge.,entailment,neutral,The boat is not necessarily at the docks edge.,A lone boat sitting in the water.</s>A boat sits alone at the docks edge.
2470,A lone boat sitting in the water.,The boat was surrounded by other large steam ships.,contradiction,contradiction,The boat is not surrounded by other large steam ships.,A lone boat sitting in the water.</s>The boat was surrounded by other large steam ships.
2471,A lone boat sitting in the water.,A boat is floating.,neutral,entailment,A boat sitting in the water is floating.,A lone boat sitting in the water.</s>A boat is floating.
2472,A girl in a pink tank top and green pants is running through a field of tall flowers.,A girl in a tank top and pants is running.,entailment,entailment,The color of the tank top and pants are not important.,A girl in a pink tank top and green pants is running through a field of tall flowers.</s>A girl in a tank top and pants is running.
2473,A girl in a pink tank top and green pants is running through a field of tall flowers.,A girl in a pink tank top and green pants is running through a field of tall yellow flowers.,neutral,neutral,The flowers are not necessarily yellow.,A girl in a pink tank top and green pants is running through a field of tall flowers.</s>A girl in a pink tank top and green pants is running through a field of tall yellow flowers.
2474,A girl in a pink tank top and green pants is running through a field of tall flowers.,A girl in a blue dress is sitting under a tall tree.,contradiction,neutral,The girl in the pink tank top and green pants is not the same girl in the blue dress.,A girl in a pink tank top and green pants is running through a field of tall flowers.</s>A girl in a blue dress is sitting under a tall tree.
2475,Four ice skaters racing around a corner.,The people are sitting on a couch.,contradiction,contradiction,The people are not sitting on a couch.,Four ice skaters racing around a corner.</s>The people are sitting on a couch.
2476,Four ice skaters racing around a corner.,The people are all on the same team.,neutral,entailment,"The people are all wearing the same color, so they are on the same team.",Four ice skaters racing around a corner.</s>The people are all on the same team.
2477,Four ice skaters racing around a corner.,The people are racing.,entailment,entailment,The people are ice skaters.,Four ice skaters racing around a corner.</s>The people are racing.
2478,Two men talk at a crowded beach on a nice day.,Two men talk at the beach.,entailment,entailment,The beach is crowded and it is a nice day.,Two men talk at a crowded beach on a nice day.</s>Two men talk at the beach.
2479,Two men talk at a crowded beach on a nice day.,Two men talk in the rain.,contradiction,neutral,The beach is not necessarily crowded. The beach is not necessarily nice.,Two men talk at a crowded beach on a nice day.</s>Two men talk in the rain.
2480,Two men talk at a crowded beach on a nice day.,Two men talk about their wives at the beach.,neutral,neutral,The men could be talking about anything.,Two men talk at a crowded beach on a nice day.</s>Two men talk about their wives at the beach.
2481,"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are skating.,entailment,entailment,Skaters are people.,"Four skaters are competing in a high speed skating competition, and turning on the track.</s>Four people are skating."
2482,"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are at the bar.,contradiction,neutral,The skaters are not necessarily people.,"Four skaters are competing in a high speed skating competition, and turning on the track.</s>Four people are at the bar."
2483,"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are racing.,neutral,entailment,The skaters are people.,"Four skaters are competing in a high speed skating competition, and turning on the track.</s>Four people are racing."
