,index,premise,hypothesis,LLM_answer,rationale
3133,3134,A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.,A man wears cut off jean shorts.,entailment,Denim shorts are cut off jean shorts.
3134,3135,A man in denim shorts and green shoes is sitting and relaxing in a lawn chair.,A man wears jean shorts.,entailment,Denim shorts are jean shorts.
3135,3136,Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,The woman is holding a ceramic bowl.,entailment,The woman is holding a ceramic bowl.
3136,3137,Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,The woman just made the bowl.,neutral,"The woman is handling the bowl, not necessarily making it."
3137,3138,Woman with blue gloves and floral shirt handling a large ceramic bowl in a ceramic shop.,"The woman is wearing a plain, green shirt.",contradiction,"The woman is wearing a floral shirt, not a plain green shirt."
3138,3139,A little girl smiles as she slides down a tube on a sunny day.,A little girl slides down a tube.,entailment,The little girl is smiling while sliding down a tube.
3139,3140,A little girl smiles as she slides down a tube on a sunny day.,A little girl is crying as she slides down a tube.,contradiction,"The little girl is smiling, not crying."
3140,3141,A little girl smiles as she slides down a tube on a sunny day.,A little girl slides down a tube at a park.,entail,"The girl is smiling, so she is probably having fun. The girl is sliding down a tube, so she is probably at a park."
3141,3142,Two dogs chase another dog that has a ball.,The dogs are chasing each other after a long day cooped up in the house.,neutral,"The dogs are chasing each other, but not necessarily after a long day cooped up in the house."
3142,3143,Two dogs chase another dog that has a ball.,3 dogs are sitting in a dog shelter hoping someone will adopt them and play ball with them.,contradiction,The dogs are not sitting in a dog shelter.
3143,3144,Two dogs chase another dog that has a ball.,The dogs all want the same ball.,neutral,The dogs could be chasing the dog with the ball for other reasons.
3144,3145,A man wearing glasses is singing into a microphone.,A man sings into microphone,entailment,"The man is wearing glasses, but that is not important to the hypothesis."
3145,3146,A man wearing glasses is singing into a microphone.,A man is performing on stage,entailment,"The man is singing into a microphone, which is a way to perform on stage."
3146,3147,A man wearing glasses is singing into a microphone.,A man is dancing without a microphone,contradiction,"The man is singing into a microphone, not dancing."
3147,3148,A bride and groom share a kiss.,A bride and a groom french kiss.,entailment,A french kiss is a type of kiss.
3148,3149,A bride and groom share a kiss.,A bride and a groom kiss.,entailment,A bride and groom are a bride and a groom.
3149,3150,A bride and groom share a kiss.,A bride in a groom don't share a kiss.,contradiction,The bride and groom are sharing a kiss.
3150,3151,A man in a blue shirt walking down the street.,A man is walking to his neighbor's house.,neutral,"The man is walking down the street, but it is not specified where he is going."
3151,3152,A man in a blue shirt walking down the street.,A man is walking outside.,entailment,"The man is walking down the street, which is outside."
3152,3153,A man in a blue shirt walking down the street.,A man is walking around inside his house.,contradiction,"The man is walking down the street, not inside his house."
3153,3154,Fans are cheering at a performance.,The fans are driving.,contradiction,"The fans are cheering at a performance, not driving."
3154,3155,Fans are cheering at a performance.,All the fans like this performance the best.,entailment,"The fans are cheering, so they must like the performance."
3155,3156,Fans are cheering at a performance.,The performance has gotten the fans cheering.,entailment,The fans are cheering because of the performance.
3156,3157,"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are outdoors.,entailment,The playground is outdoors.
3157,3158,"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are silent/,contradiction,"The soldiers are having a discussion, so they are not silent."
3158,3159,"Three soldiers are having a discussion in front of a playground, while others look on.",The soldiers are having a discussion outdoors while others look.,entailment,The playground is outdoors.
3159,3160,A blond child is drinking from a garden hose.,The child is thirsty.,entailment,The child is drinking from a garden hose.
3160,3161,A blond child is drinking from a garden hose.,The redhead is drinking from the garden hose.,contradiction,The redhead is not the blond child.
3161,3162,A blond child is drinking from a garden hose.,The kid is using a garden hose for drinking.,neutral,"The kid is drinking from the hose, but it is not necessarily a garden hose."
3162,3163,Several armed forces officers and civilians are standing around a children's playground.,Armed forces officers balance their guns on childrens heads at a playground.,neutral,The officers are not necessarily balancing their guns on the children's heads.
3163,3164,Several armed forces officers and civilians are standing around a children's playground.,Civilians and armed forces officers trade insults at a playground,neutral,The officers and civilians are not necessarily trading insults.
3164,3165,Several armed forces officers and civilians are standing around a children's playground.,Armed forces officers stand around a playground.,neutral,The civilians are not armed forces officers.
3165,3166,"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are getting ready to deploy from a plane.,contradiction,The troops are not getting ready to deploy from a plane.
3166,3167,"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are laughing and talking.,neutral,The troops are not necessarily laughing and talking.
3167,3168,"US troops keeping calm in a no fly zone at one of the crucial points in Tripoli, Libya.",A group of troops are attempting to stay quiet .,neutral,The troops are not necessarily attempting to stay quiet.
3168,3169,Military men are conversing near a playground.,they are in the military,entailment,Military men are in the military.
3169,3170,Military men are conversing near a playground.,they are on mars,contradiction,the military men are not on mars
3170,3171,Military men are conversing near a playground.,they are at a park,entailment,Military men are conversing near a playground. Playgrounds are usually found in parks.
3171,3172,"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",The young children go shopping.,neutral,The young children are not necessarily going shopping.
3172,3173,"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",A young girl and her brothers walk down a rural road.,neutral,The two boys are not necessarily her brothers.
3173,3174,"A young girl wearing Mardi Gras beads and a green dress is accompanied by two boys, one on foot and one on a bicycle, as she walks down a dirt road.",A young girl and two boys travel down a dirt road., ,The girl is young and the boys are young. The girl is wearing Mardi Gras beads and a green dress. The boys are not wearing Mardi Gras beads and a
3174,3175,A group of boys enjoying a day by down the creek.,Some people fishing down near a creek.,entailment,The boys are people.
3175,3176,A group of boys enjoying a day by down the creek.,Some people enjoying the day by the farmhouse.,neutral,The farmhouse is not necessarily by the creek.
3176,3177,A group of boys enjoying a day by down the creek.,Some people down near a creek.,entailment,The boys are people.
3177,3178,Five boys standing a one boy sitting by the lake.,boys are congregating together by the water,entailment,The boys are congregating together by the water.
3178,3179,Five boys standing a one boy sitting by the lake.,girls are gossiping,contradiction,boys are not girls
3179,3180,Five boys standing a one boy sitting by the lake.,boys stand next to another boy sitting by the water,entailment,The boys are standing next to the boy sitting by the water.
3180,3181,Five young boys observe remote control boat in water.,Five young boys are near water.,entailment,"The boys are observing the boat in the water, so they must be near the water."
3181,3182,Five young boys observe remote control boat in water.,One boy is controlling a remote control boat while others watch.,neutral,The boy controlling the boat is not necessarily young.
3182,3183,Five young boys observe remote control boat in water.,Five young boys are in a boat on the water.,contradiction,"The boys are observing the boat, not in the boat."
3183,3184,Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,There are many Asians at the table.,entailment,There are many Asians at the table.
3184,3185,Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,The group of Asians are playing a round of golf.,contradiction,The group of Asians are not playing golf.
3185,3186,Group of asian boy on the right of the long table of vegetables and food and asian adults on the left.,The group Asians are eating dinner at the table.,neutral,The group of Asians are not necessarily eating dinner.
3186,3187,Boy jumping in the air with a girl on the couch punching towards him.,Nobody has their fist clenched.,contradiction,The girl on the couch has her fist clenched.
3187,3188,Boy jumping in the air with a girl on the couch punching towards him.,The girl is short.,neutral,"The boy is jumping in the air, so the girl could be tall."
3188,3189,Boy jumping in the air with a girl on the couch punching towards him.,Someone is jumping.,entailment,The boy is jumping.
3189,3190,three young african children in a poor part of africa one riding a bike.,Three children are outside.,entailment,The children are outside.
3190,3191,three young african children in a poor part of africa one riding a bike.,Three children are taking turns riding a bike.,neutral,The children are not necessarily taking turns.
3191,3192,three young african children in a poor part of africa one riding a bike.,Three children are swimming in a river.,contradiction,The children are not swimming in a river.
3192,3193,A child in a green shirt rides a bicycle.,The bicycle is moving.,entailment,"The child is riding the bicycle, so the bicycle is moving."
3193,3194,A child in a green shirt rides a bicycle.,The child is wearing a red shirt.,contradiction,"The child is wearing a green shirt, not a red shirt."
3194,3195,A child in a green shirt rides a bicycle.,The child is a boy.,neutral,The child is not necessarily a boy.
3195,3196,"An African American base player wearing a blue shirt, being backed up by a drummer.",A caucasian base player is wearing a gray shirt.,contradiction,"The base player is African American, not caucasian."
3196,3197,"An African American base player wearing a blue shirt, being backed up by a drummer.",A drummer is backing up a base player.,entailment,The base player is being backed up by the drummer.
3197,3198,"An African American base player wearing a blue shirt, being backed up by a drummer.",An African American base payer and a drummer are wearing blue shirts.,neutral,The drummer is not necessarily wearing a blue shirt.
3198,3199,A boat captain steering a large green wheel.,A man is steering a car.,entailment,A boat captain is a man. A large green wheel is a car.
3199,3200,A boat captain steering a large green wheel.,A guy is at the green helm of a boat.,entailment,A boat captain is a guy. A large green wheel is a green helm.
3200,3201,A boat captain steering a large green wheel.,The boat pilot is testing a new lightweight anodized aluminum steering wheel at the helm of a ship.,entailment,The boat captain is the boat pilot. The large green wheel is the new lightweight anodized aluminum steering wheel.
3201,3202,Pictured is the captain of a boat; he is steering.,the man is working a tractor,contradiction,"the man is not working a tractor, he is steering a boat."
3202,3203,Pictured is the captain of a boat; he is steering.,the man is going on a trip,entailment,"The man is steering the boat, so he is going somewhere."
3203,3204,Pictured is the captain of a boat; he is steering.,the man is on a boat,entailment,"the man is steering a boat, so he must be on a boat."
3204,3205,An older man in nautical gear smilingly turns a ship wheel.,A man standing beside a boat.,contradiction,The man is not standing beside a boat.
3205,3206,An older man in nautical gear smilingly turns a ship wheel.,A ship wheel is manned by a well-equipped older man.,neutral,The man is not necessarily well-equipped.
3206,3207,An older man in nautical gear smilingly turns a ship wheel.,An older man takes his ship on the sea., ,"The man is in nautical gear, so he is probably on a ship. He is turning the wheel, so he is probably taking the ship on the sea."
3207,3208,The smiling ship captain is holding the wheel of his wooden ship.,The ship captain has abandon his ship.,contradiction,The ship captain is holding the wheel of his ship.
3208,3209,The smiling ship captain is holding the wheel of his wooden ship.,The ship captain is holding the sterring wheel.,entailment,The wheel of a ship is the steering wheel.
3209,3210,The smiling ship captain is holding the wheel of his wooden ship.,The captain is on the bridge.,entailment,The captain is on the bridge because he is holding the wheel.
3210,3211,"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man sailing a ship,entailment,The man is wearing a captain's hat and uniform.
3211,3212,"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man wearing an outfit,entailment,"The man is wearing a captain's hat and uniform, which is an outfit."
3212,3213,"A large, green, navigating wheel is held by an older man in a captain's hat and uniform.",Older man having a pool party,contradiction,"The man is wearing a captain's hat and uniform, not a bathing suit."
3213,3214,Three firefighters enraged after a prank call.,Three firefighters are about to start shooting a themed porno.,contradiction,"The firefighters are enraged, not aroused."
3214,3215,Three firefighters enraged after a prank call.,Three men are looking to find the guy who prank called them.,entailment,The firefighters are enraged after a prank call. They are looking to find the guy who prank called them.
3215,3216,Three firefighters enraged after a prank call.,Three people are angry.,entailment,Firefighters are people.
3216,3217,Two brothers take a nap on a gray couch.,The brothers are racing towards home.,contradiction,"If the brothers are taking a nap, they cannot be racing towards home."
3217,3218,Two brothers take a nap on a gray couch.,The brothers are dreaming.,entailment,"The brothers are taking a nap, so they are sleeping. When you sleep, you dream."
3218,3219,Two brothers take a nap on a gray couch.,The brothers are napping on the couch.,entailment,The brothers are napping on the couch.
3219,3220,"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",a man makes coffee,entailment,The man is making coffee by pouring creamer into a cup of coffee.
3220,3221,"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",the man is making soup,contradiction,"The man is not making soup, he is making coffee."
3221,3222,"A man with hairy arms and a watch pours creamer into a cup of coffee, making color ripples along the surface.",the man is a chef,neutral,the man is not necessarily a chef.
3222,3223,A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,Nobody has clothing.,contradiction,The man is wearing camouflage pants and a backwards cap.
3223,3224,A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,A person has clothing.,entailment,A man is a person. Camouflage pants and a backwards cap are clothing.
3224,3225,A man in camouflage pants and a backwards cap carrying a toolbox and a backpack.,A tall person has clothing.,entailment,A man is a person. Camouflage pants and a backwards cap are clothing.
3225,3226,"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",The woman is speaking to the man.,entailment,"The woman is asking the man for directions, so she must be speaking to him."
3226,3227,"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",A woman challenges her karate instructor to a fight.,neutral,The woman is not necessarily challenging her karate instructor to a fight.
3227,3228,"A woman with brown hair, wearing sunglasses asking a asian gentleman for directions.",It is sunny outside.,entailment,The woman is wearing sunglasses.
3228,3229,Female street entertainer with horns doing a curtsey.,The people are watching her.,entailment,The people are watching her because she is doing a curtsey.
3229,3230,Female street entertainer with horns doing a curtsey.,The woman is inside taking a bath.,contradiction,"The woman is outside, not inside."
3230,3231,Female street entertainer with horns doing a curtsey.,The woman is on the street.,entailment,The woman is a street entertainer.
3231,3232,Little girl in pink coat on a swing.,A little girl at the park.,entailment,The swing is at the park.
3232,3233,Little girl in pink coat on a swing.,Little girl swinging.,entailment,"The little girl is on a swing, so she is swinging."
3233,3234,Little girl in pink coat on a swing.,Little girl napping on the chair.,contradiction,The little girl is not napping on the chair.
3234,3235,People under a tent at a reception.,Two bears are climbing a tree.,contradiction,The people under the tent are not necessarily bears.
3235,3236,People under a tent at a reception.,People are outside.,entailment,People under a tent are outside.
3236,3237,People under a tent at a reception.,People are at a wedding.,neutral,"People under a tent at a reception could be at a wedding, but they could also be at a party."
3237,3238,A formal band performing their works.,The band is eating dinner.,neutral,The band is not necessarily eating dinner.
3238,3239,A formal band performing their works.,The band is playing music for an audience.,entailment,The band is playing music for an audience.
3239,3240,A formal band performing their works.,The band is playing music.,entailment,The band is playing music because they are a band.
3240,3241,Several stall-shops selling various goods line a dimly-lit cobblestone street.,The vendors in stalls are on a street.,entailment,Stall-shops are stalls. Stalls are vendors.
3241,3242,Several stall-shops selling various goods line a dimly-lit cobblestone street.,Stalls on a cobblestone street are selling goods.,entailment,Stalls are selling goods. Cobblestone street is where the stalls are.
3242,3243,Several stall-shops selling various goods line a dimly-lit cobblestone street.,People are shopping in the mall.,neutral,Stall-shops are not necessarily in a mall.
3243,3244,A cowboy riding on the back of a bronco in a competition.,the horse was running,entailment,"The horse is a bronco, and broncos are known to be wild and hard to tame."
3244,3245,A cowboy riding on the back of a bronco in a competition.,the cowboy was winning the competition,neutral,"The cowboy is riding the bronco, but it doesn't say if he is winning or not."
3245,3246,A cowboy riding on the back of a bronco in a competition.,the cowboy rode the sheep,contradiction,"the cowboy is riding a bronco, not a sheep."
3246,3247,three chinese people eat soup.,The men are eating chicken noodle soup.,contradiction,"The people are chinese, not men."
3247,3248,three chinese people eat soup.,The women are eating pizza.,neutral,The women are not necessarily chinese.
3248,3249,three chinese people eat soup.,The people are eating soup.,entailment,The people are chinese.
3249,3250,A woman in orange sunglasses jogs.,The woman walks around the track.,contradiction,"The woman is jogging, not walking."
3250,3251,A woman in orange sunglasses jogs.,The woman jogs on an indoor track.,neutral,"The woman is wearing sunglasses, which are not necessary for indoor tracks."
3251,3252,A woman in orange sunglasses jogs.,A person is jogging.,entailment,A woman is a person.
3252,3253,Two women and a man are sitting at a round table.,three people sitting at a round table,entailment,The two women and the man are three people.
3253,3254,Two women and a man are sitting at a round table.,the people know eachother,entailment,"The people are sitting at a round table, so they are probably friends."
3254,3255,Two women and a man are sitting at a round table.,the people are plotting an assassination,neutral,The people are sitting at a round table.
3255,3256,a family deciding what to other at a restaurant,A family looks over a menu at a restaurant,entailment,"The family is deciding what to order, so they are looking over the menu."
3256,3257,a family deciding what to other at a restaurant,A young family at a local steak house decide which cut of meat they want,entailment,The family is young and at a restaurant. The restaurant is a steak house.
3257,3258,a family deciding what to other at a restaurant,A family at home orders a delivery pizza,contradiction,"The family is at a restaurant, not at home."
3258,3259,Three people sit and talk about the menu at a chinese restaurant.,A puppy is sitting.,neutral,The people are not necessarily sitting with a puppy.
3259,3260,Three people sit and talk about the menu at a chinese restaurant.,A family is getting ready to order.,neutral,"The people could be friends, not family."
3260,3261,Three people sit and talk about the menu at a chinese restaurant.,People are conversing.,entailment,Conversing is a synonym for talking.
3261,3262,The Chines people are doing something.,The Chinese people are busy with something.,entailment,The Chinese people are busy with something is a way to paraphrase that the Chinese people are doing something.
3262,3263,The Chines people are doing something.,The Chinese people are taking pictures.,entailment,The Chinese people are doing something. Taking pictures is something.
3263,3264,The Chines people are doing something.,The Chinese poeple arent doing anything.,contradiction,"The Chinese people are doing something, so they cannot be doing nothing."
3264,3265,Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a clay sculpture.,contradiction,A mural is a painting on a wall. A clay sculpture is not a painting.
3265,3266,Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a mural.,entailment,Pedestrians are people.
3266,3267,Pedestrians stop to watch a man create a mural on a wall at the side of a street.,people are watching a man create a mural of flowers.,neutral,The mural is not necessarily of flowers.
3267,3268,An older man with glasses clasps his hands together as two seated individuals watch him.,Two men are playing basketball while a man is clasping his hands.,neutral,The two men are not necessarily playing basketball.
3268,3269,An older man with glasses clasps his hands together as two seated individuals watch him.,A woman and a man is sitting and another is man is clasping his hand.,neutral,The two seated individuals are not necessarily a woman and a man.
3269,3270,An older man with glasses clasps his hands together as two seated individuals watch him.,There are three people there.,entailment,The two seated individuals are watching the older man with glasses.
3270,3271,A woman with beads around her neck is performing a dance as part of a parade.,The woman is sitting down with family.,contradiction,The woman is not sitting down.
3271,3272,A woman with beads around her neck is performing a dance as part of a parade.,The woman is performing in the parade.,entailment,The woman is performing a dance as part of a parade.
3272,3273,A woman with beads around her neck is performing a dance as part of a parade.,The woman is dancing a traditional dance.,neutral,The beads around her neck are not necessarily traditional.
3273,3274,A person painting a mural on the side of a building while people are standing around watching.,The painter is sleeping near his easle.,contradiction,The painter is not sleeping.
3274,3275,A person painting a mural on the side of a building while people are standing around watching.,The painter is painting an ad for a local moving company.,contradiction,"The painter is painting a mural, not an ad."
3275,3276,A person painting a mural on the side of a building while people are standing around watching.,People watch as a person paints the side of a building.,entailment,The people are watching the person paint the side of the building.
3276,3277,A crowd of people underneath a Hi-Pointe neon sign.,A crowd of people stand under a sign in Las Vegas.,neutral,The neon sign is not necessarily in Las Vegas.
3277,3278,A crowd of people underneath a Hi-Pointe neon sign.,A crowd of people standing on the summit of a mountain.,neutral,The crowd of people are not necessarily on a mountain.
3278,3279,A crowd of people underneath a Hi-Pointe neon sign.,A crowd of people stand under a sign.,entailment,The neon sign is a sign.
3279,3280,A crowd of young adults outside a nightclub.,The people are outside a pool,contradiction,"The people are outside a nightclub, not a pool."
3280,3281,A crowd of young adults outside a nightclub.,The adults are outside,entailment,The adults are outside the nightclub.
3281,3282,A crowd of young adults outside a nightclub.,the people are load,entailment,"the people are outside a nightclub, so they are probably loud."
3282,3283,"A small white car is stuck on the track, while the train car that hit it at a slow speed, sits still, as a rescue worker helps the driver.",THe driver did not see the approaching train.,neutral,The driver could have seen the train but was unable to move the car.
3283,3284,"A small white car is stuck on the track, while the train car that hit it at a slow speed, sits still, as a rescue worker helps the driver.",The car is near a train.,entailment,"The car is stuck on the track, and the train is on the track."
3284,3285,"A small white car is stuck on the track, while the train car that hit it at a slow speed, sits still, as a rescue worker helps the driver.",The small car is blue.,contradiction,"The car is white, not blue."
3285,3286,A male is looking at different colored yarn wearing a white shirt.,The man is wearing a white shirt,entailment,The man is wearing a white shirt.
3286,3287,A male is looking at different colored yarn wearing a white shirt.,The man had a green shirt on earlier today,contradiction,"The man is wearing a white shirt, not a green shirt."
3287,3288,A male is looking at different colored yarn wearing a white shirt.,The man is an armadillo,contradiction,The man is not an armadillo.
3288,3289,A young man and an older man sit on a plaid loveseat.,A young man and an older man play street hockey.,neutral,The young man and the older man are not necessarily playing street hockey.
3289,3290,A young man and an older man sit on a plaid loveseat.,Two men are sitting.,entailment,A young man is a man. An older man is a man.
3290,3291,A young man and an older man sit on a plaid loveseat.,A grandfather sits and watches his favorite tv show whithhis grandson.,neutral,The young man and the older man are not necessarily related.
3291,3292,"A man plays the piano, while a second man plays a guitar and a third man plays the saxophone.",Three men are in a garage working under the hood of an old car.,contradiction,"The men are playing instruments, not working on a car."
3292,3293,"A man plays the piano, while a second man plays a guitar and a third man plays the saxophone.",Three men are playing musical instruments., ,The man playing the piano is playing a musical instrument. The man playing the guitar is playing a musical instrument. The man playing the saxophone is playing a musical instrument
3293,3294,"A man plays the piano, while a second man plays a guitar and a third man plays the saxophone.",Three men are performing on stage in front of a crowd of people who are cheering.,neutral,The men could be performing in front of a crowd of people who are not cheering.
3294,3295,Three men work at a construction site.,Three men working,entailment,The men are working at a construction site.
3295,3296,Three men work at a construction site.,A guy taking a nap,neutral,The man taking a nap is not necessarily at a construction site.
3296,3297,Three men work at a construction site.,Three construction workers working at a site,entailment,"The men are working at a construction site, so they are construction workers."
3297,3298,A painting of a man drinking from a bottle on the side of a building.,A man is not indoors,entailment,The man is not indoors because he is on the side of a building.
3298,3299,A painting of a man drinking from a bottle on the side of a building.,A homeless man is drinking booze outside the liquor store, ,The man in the painting is not necessarily homeless. The man in the painting is not necessarily drinking booze. The man in the painting is not necessarily outside a liquor
3299,3300,A painting of a man drinking from a bottle on the side of a building.,A woman is sitting in her living room sipping on champagne, ,"The painting is of a man, not a woman. The man is drinking from a bottle, not sipping champagne. The man is on the side of a building"
3300,3301,Three construction men on a beam working with high rises in the background.,Three construction men are taking a lunch break.,neutral,The men are not necessarily taking a lunch break.
3301,3302,Three construction men on a beam working with high rises in the background.,A building is being worked on.,neutral,"The men are working on a beam, not necessarily a building."
3302,3303,Three construction men on a beam working with high rises in the background.,A manager is directing the workers from below.,neutral,"The men are working on a beam, not a high rise."
3303,3304,A man performing dangerous construction work.,The construction worker is walking an I-beam 30 feet in the air without a harness., ,The construction worker is a man. The I-beam is 30 feet in the air. The construction worker is not wearing a harness.
3304,3305,A man performing dangerous construction work.,A person is working.,entailment,A man is a person.
3305,3306,A man performing dangerous construction work.,A construction worker is at lunch.,neutral,The man is not necessarily a construction worker.
3306,3307,Two guys in blue shirts are standing on top of a construction surface doing construction work.,It is almost time for the men to quit for the day,neutral,The men are working on a construction site.
3307,3308,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men do construction work.,entailment,Guys are men.
3308,3309,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two guys are restructuring a roof,entailment,"The two guys are doing construction work, and the construction surface is a roof."
3309,3310,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men drink wine and watch the opera.,contradiction,The men in the picture are not drinking wine and watching the opera.
3310,3311,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men are working outdoors,entailment,The men are working outdoors because they are on top of a construction surface.
3311,3312,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two guys are doing construction work,entailment,The two guys are wearing blue shirts and are standing on top of a construction surface.
3312,3313,Two guys in blue shirts are standing on top of a construction surface doing construction work.,These two men are security guards,contradiction,"The men are wearing blue shirts, not security guard uniforms."
3313,3314,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men operate hammers on a surface.,neutral,The men are not necessarily operating hammers.
3314,3315,Two guys in blue shirts are standing on top of a construction surface doing construction work.,A couple of workers are are doing construction.,entailment,The two guys in blue shirts are workers.
3315,3316,Two guys in blue shirts are standing on top of a construction surface doing construction work.,There are two men wearing blue uniforms who are working atop a house that is being built.,"entailment

Pre",The two men are guys. The blue shirts are blue uniforms. The construction surface is a house that is being built.
3316,3317,Two guys in blue shirts are standing on top of a construction surface doing construction work.,The two men are working on a job.,entailment,The two men are working on a job.
3317,3318,Two guys in blue shirts are standing on top of a construction surface doing construction work.,The construction workers are taking a shower.,contradiction,The construction workers are not taking a shower.
3318,3319,Two guys in blue shirts are standing on top of a construction surface doing construction work.,A few miners are working on extracting ore from the earth.,neutral,The guys in blue shirts are not necessarily miners.
3319,3320,Two guys in blue shirts are standing on top of a construction surface doing construction work.,Two men are on break at a restaurant,contradiction,The men are not on break at a restaurant. They are doing construction work.
3320,3321,Two guys in blue shirts are standing on top of a construction surface doing construction work.,The workers are getting ready to jackhammer into the street to fix a water main leak.,neutral,The workers are not necessarily getting ready to jackhammer into the street to fix a water main leak.
3321,3322,Workers on a platform work together to carry an item with skyscrapers in the background.,Workers on a platform work to carry an item with tall buildings in the background,entailment,Skyscrapers are tall buildings.
3322,3323,Workers on a platform work together to carry an item with skyscrapers in the background.,Male workers on a platform work together to carry a piece of metal with skyscrapers in the background,entailment,The workers are male. The item they are carrying is a piece of metal.
3323,3324,Workers on a platform work together to carry an item with skyscrapers in the background.,Workers on a platform work to clean windows by the ocean.,neutral,The skyscrapers in the background are not necessarily by the ocean.
3324,3325,Three older men playing live music in a grand hall.,A trio of jazz muscicians performing at a nightclub.,entailment,"The men are playing live music, so they are musicians. The grand hall is a nightclub."
3325,3326,Three older men playing live music in a grand hall.,A trio of older gentlemen play chamber music in a concert hall., ,"The men are older, so they are gentlemen. The men are playing live music, so they are playing chamber music. The grand hall is a concert hall."
3326,3327,Three older men playing live music in a grand hall.,A trio of older gentlemen performing in a musical concert.,entailment,"The men are playing live music, so they are performing. The grand hall is a place for a musical concert."
3327,3328,Two children perform a karate move on a red mat.,The children are watching a karate movie on the floor.,contradiction,"The children are not watching a movie, they are performing a karate move."
3328,3329,Two children perform a karate move on a red mat.,The two kids are physically active.,entailment,"The two kids are performing a karate move, which is a physical activity."
3329,3330,Two children perform a karate move on a red mat.,Two children are arguing and fighting each other.,neutral,The children are not necessarily arguing and fighting each other.
3330,3331,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A man is performing at a cafe,entailment,"The man is singing into a microphone, so he is performing. The man is performing at a cafe."
3331,3332,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A man is rapping at a hip hop show, ,"The man is singing into a microphone, so he is a singer. The man is wearing a polka-dotted shirt, so he is a rapper.
Answer"
3332,3333,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",The man is naked in the shower by himself., ,"The man is not naked, he is wearing a shirt and pants. The man is not in the shower, he is on a stage. The man is not"
3333,3334,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A man is singing,entailment,The man is singing into a microphone.
3334,3335,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",The man is wearing black shoes.,entailment,The man is wearing black pants and a black and white polka-dotted shirt.
3335,3336,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",a man sings into a mic,entailment,The man is singing into a mic.
3336,3337,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",The man is near the microphone.,entailment,The man is holding the microphone.
3337,3338,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",Donkey drive a bus into a herd of waffles,"contradiction

Pre","The man is not a donkey, he is not driving a bus, and he is not driving into a herd of waffles."
3338,3339,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",Young country boy tries to rap for the first time,neutral,The man is not necessarily a country boy.
3339,3340,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",a man performs for the first time,neutral,The man could have performed before.
3340,3341,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A white man has black hair.,entailment,The man is white and has black hair.
3341,3342,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A white man has white hair.,contradiction,The man in the picture is not white.
3342,3343,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",A white man has light black hair.,entailment,"The man is white, but his hair is black."
