,premise,hypothesis,label,llm_label,rationale,input
150,a crippled women playing a sport.,A disabled woman is participating in a sport.,entailment,entailment,A crippled woman is a disabled woman.,a crippled women playing a sport.</s>A disabled woman is participating in a sport.
151,a crippled women playing a sport.,A disabled woman is playing soccer.,neutral,entailment,A crippled woman is a disabled woman.,a crippled women playing a sport.</s>A disabled woman is playing soccer.
152,a crippled women playing a sport.,A baby yawns at his mother.,contradiction,contradiction,The crippled women is not a baby.,a crippled women playing a sport.</s>A baby yawns at his mother.
153,A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.,A smiling boy is in the grass.,entailment,contradiction,"The boy is on a slide, not in the grass.",A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.</s>A smiling boy is in the grass.
154,A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.,A sad boy is being dragged home on the sidewalk.,contradiction, ,"The boy is smiling, not sad. The boy is on a slide, not being dragged. The boy is on the grass, not on the sidewalk.",A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.</s>A sad boy is being dragged home on the sidewalk.
155,A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.,A boy is at the park.,neutral,entailment,"The boy is smiling and on a slide, which is a place where kids play.",A smiling boy with a blue sweatshirt and camouflage shorts on a metal slide in the grass.</s>A boy is at the park.
156,"A bearded man, and a girl in a red dress are getting married.",The two people are getting married.,entailment,entailment,The bearded man and the girl in a red dress are the two people.,"A bearded man, and a girl in a red dress are getting married.</s>The two people are getting married."
157,"A bearded man, and a girl in a red dress are getting married.",The two people are going to live happily ever after.,neutral,neutral,"The two people are getting married, but that doesn't mean they will live happily ever after.","A bearded man, and a girl in a red dress are getting married.</s>The two people are going to live happily ever after."
158,"A bearded man, and a girl in a red dress are getting married.",The beared man and the girl are getting a divorce.,contradiction,contradiction,"The bearded man and the girl are getting married, not divorced.","A bearded man, and a girl in a red dress are getting married.</s>The beared man and the girl are getting a divorce."
159,A man with a white hat on a scooter.,A man is on a 2 wheeler.,entailment,entailment,A scooter is a 2 wheeler.,A man with a white hat on a scooter.</s>A man is on a 2 wheeler.
160,A man with a white hat on a scooter.,The Statue of Liberty does the polka.,contradiction,contradiction,The man with a white hat on a scooter is not the Statue of Liberty.,A man with a white hat on a scooter.</s>The Statue of Liberty does the polka.
161,A man with a white hat on a scooter.,Someone is outdoors.,neutral,entailment,"The man is on a scooter, which is an outdoor vehicle.",A man with a white hat on a scooter.</s>Someone is outdoors.
162,A white British Airways plane on the airstrip.,there is a plane,entailment,entailment,British Airways is a plane company.,A white British Airways plane on the airstrip.</s>there is a plane
163,A white British Airways plane on the airstrip.,the plane is full,neutral,neutral,the plane is not necessarily full.,A white British Airways plane on the airstrip.</s>the plane is full
164,A white British Airways plane on the airstrip.,the plane is orange,contradiction,contradiction,"the plane is white, not orange",A white British Airways plane on the airstrip.</s>the plane is orange
165,People walking around on a busy sidewalk at night.,People walking around on a sidewalk at night.,entailment,entailment,Busy is a way to describe the sidewalk.,People walking around on a busy sidewalk at night.</s>People walking around on a sidewalk at night.
166,People walking around on a busy sidewalk at night.,Men walking around on a busy sidewalk at night.,neutral,entailment,People can be men.,People walking around on a busy sidewalk at night.</s>Men walking around on a busy sidewalk at night.
167,People walking around on a busy sidewalk at night.,Dogs walking around on a busy sidewalk at night.,contradiction,contradiction,People are not dogs.,People walking around on a busy sidewalk at night.</s>Dogs walking around on a busy sidewalk at night.
168,A dog carries a very big stick through the water.,the dog is carrying a branch that is bigger than him,neutral,entailment,A stick is a branch.,A dog carries a very big stick through the water.</s>the dog is carrying a branch that is bigger than him
169,A dog carries a very big stick through the water.,the dog carries the stick through water,entailment,entailment,The dog is carrying the stick through water.,A dog carries a very big stick through the water.</s>the dog carries the stick through water
170,A dog carries a very big stick through the water.,the dog is running over the field with a ball,contradiction,contradiction,"the dog is not running over the field with a ball, it is carrying a stick through the water.",A dog carries a very big stick through the water.</s>the dog is running over the field with a ball
171,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,The man is going to be in a picture.,entailment,entailment,"The man is smiling for the camera, so he is going to be in a picture.",The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>The man is going to be in a picture.
172,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,There is a person smiling.,entailment,entailment,The man is a person.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>There is a person smiling.
173,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,There is a woman taking a picture.,contradiction, ,"The man is smiling for the camera, so there must be a camera. The camera is being held by someone, so there must be a person holding the camera",The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>There is a woman taking a picture.
174,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,Nobody had a camera.,contradiction,contradiction,The man is smiling for the camera.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>Nobody had a camera.
175,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a man is starting a forest fire,contradiction,contradiction,The man is not wearing a colorful outfit. He is not holding something in both hands. He is not smiling for the camera.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a man is starting a forest fire
176,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,A person in an outfit.,entailment,entailment,A person is a man. An outfit is colorful.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>A person in an outfit.
177,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a girl takes pictures of a sad man,contradiction,contradiction,"The man is not sad, he is smiling.",The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a girl takes pictures of a sad man
178,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,There is an old man holding something.,neutral,entailment,The man is old.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>There is an old man holding something.
179,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a man posing happily for the camera,entailment,neutral,The colorful outfit is not necessarily a costume.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a man posing happily for the camera
180,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,The man is asleep.,contradiction,contradiction,"The man is smiling for the camera, so he is not asleep.",The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>The man is asleep.
181,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,The man is huge.,neutral,contradiction,The man is not huge.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>The man is huge.
182,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a man holds something and smiles,entailment,neutral,The colorful outfit is not necessary to hold something and smile.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a man holds something and smiles
183,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,The man is a clown in a picture.,neutral,entailment,The colorful outfit is a clown outfit. The man is smiling for the camera.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>The man is a clown in a picture.
184,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a man holds a prize for the camera,neutral,neutral,The colorful outfit is not necessarily a prize.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a man holds a prize for the camera
185,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.,a man is posing happily for the camera on his birthday,neutral,neutral,The colorful outfit is not necessarily a birthday outfit.,The man wearing a colorful outfit is holding something in both hands and smiling for the camera.</s>a man is posing happily for the camera on his birthday
186,Children watching a man and another child in front of them.,Two kids watch a dad and his son play catch.,neutral,neutral,The man could be the father of the other child.,Children watching a man and another child in front of them.</s>Two kids watch a dad and his son play catch.
187,Children watching a man and another child in front of them.,A child watches a dad and his son play catch.,neutral,neutral,"The man could be the child's uncle, brother, or grandfather.",Children watching a man and another child in front of them.</s>A child watches a dad and his son play catch.
188,Children watching a man and another child in front of them.,Children observe other people.,entailment,entailment,Children are observing a man and another child.,Children watching a man and another child in front of them.</s>Children observe other people.
189,Ten men inspect and gather huge fishing nets on a sandy beach.,Ten men are out at sea deep-sea fishing for swordfish and tuna.,contradiction,neutral,The men are not necessarily out at sea. They could be on a lake.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Ten men are out at sea deep-sea fishing for swordfish and tuna.
190,Ten men inspect and gather huge fishing nets on a sandy beach.,Tired people inspecting,neutral,neutral,The men are not necessarily tired.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Tired people inspecting
191,Ten men inspect and gather huge fishing nets on a sandy beach.,There are huge fishing nets gathered on a beach.,entailment,entailment,"The men are gathering the nets, so they are not just inspecting them.",Ten men inspect and gather huge fishing nets on a sandy beach.</s>There are huge fishing nets gathered on a beach.
192,Ten men inspect and gather huge fishing nets on a sandy beach.,Two men inspect fishing nets on a beach.,entailment,entailment,Ten men is a subset of two men.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Two men inspect fishing nets on a beach.
193,Ten men inspect and gather huge fishing nets on a sandy beach.,Two men inspect fishing nets on a beach to catch fish to eat.,neutral,neutral,The men are not necessarily inspecting the nets to catch fish to eat.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Two men inspect fishing nets on a beach to catch fish to eat.
194,Ten men inspect and gather huge fishing nets on a sandy beach.,A group of men are working with fishing nets.,entailment,entailment,Ten men is a group of men.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>A group of men are working with fishing nets.
195,Ten men inspect and gather huge fishing nets on a sandy beach.,People inspecting,entailment,entailment,The men are people.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>People inspecting
196,Ten men inspect and gather huge fishing nets on a sandy beach.,An empty field.,contradiction,contradiction,"There are no men, no nets, and no beach.",Ten men inspect and gather huge fishing nets on a sandy beach.</s>An empty field.
197,Ten men inspect and gather huge fishing nets on a sandy beach.,Two women inspect fishing nets on a beach to catch fish to eat.,contradiction,neutral,The men are not necessarily women. The men are not necessarily inspecting the nets to catch fish to eat.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Two women inspect fishing nets on a beach to catch fish to eat.
198,Ten men inspect and gather huge fishing nets on a sandy beach.,The men are getting ready to go on a fishing excursion.,neutral,neutral,The men are not necessarily going on a fishing excursion.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>The men are getting ready to go on a fishing excursion.
199,Ten men inspect and gather huge fishing nets on a sandy beach.,Ten men playing football on the beach.,contradiction,contradiction,The men are not playing football. They are inspecting and gathering huge fishing nets.,Ten men inspect and gather huge fishing nets on a sandy beach.</s>Ten men playing football on the beach.
