question,premise,hypothesis,label,llm_label,rationale,input
A person skiing downhill.</s>Someone is enjoying a winter sport.,A person skiing downhill.,Someone is enjoying a winter sport.,entailment,entailment,Skiing is a winter sport.,A person skiing downhill.</s>Someone is enjoying a winter sport.
The adult is helping the child into the swing.</s>A herd of cows are eating some hummus.,The adult is helping the child into the swing.,A herd of cows are eating some hummus.,contradiction,contradiction,The adult is not a cow. The child is not a cow. The swing is not a cow. The swing is not hummus.,The adult is helping the child into the swing.</s>A herd of cows are eating some hummus.
The back of two women looking at something which ca n't be seen but the reflection of one of the women can be seen in the mirror on the table.</s>Two women are shopping at a flea market.,The back of two women looking at something which ca n't be seen but the reflection of one of the women can be seen in the mirror on the table.,Two women are shopping at a flea market.,neutral, ,"The women are looking at something which can't be seen. The reflection of one of the women can be seen in the mirror on the table.
Answer",The back of two women looking at something which ca n't be seen but the reflection of one of the women can be seen in the mirror on the table.</s>Two women are shopping at a flea market.
A man in a blue shirt is carrying a bag over his right shoulder.</s>There is a bag on the shoulder of the mane wearing the blue shirt.,A man in a blue shirt is carrying a bag over his right shoulder.,There is a bag on the shoulder of the mane wearing the blue shirt.,entailment,entailment,The bag is on the shoulder of the man wearing the blue shirt.,A man in a blue shirt is carrying a bag over his right shoulder.</s>There is a bag on the shoulder of the mane wearing the blue shirt.
A little girl is running through the incoming surf on a beach.</s>A little girl is running after a seal.,A little girl is running through the incoming surf on a beach.,A little girl is running after a seal.,neutral,neutral,"The girl is running through the incoming surf, not after a seal.",A little girl is running through the incoming surf on a beach.</s>A little girl is running after a seal.
Two people ridding a colorfully decorated bicycle.</s>A married couple are on a date.,Two people ridding a colorfully decorated bicycle.,A married couple are on a date.,neutral,neutral,The two people are not necessarily a married couple.,Two people ridding a colorfully decorated bicycle.</s>A married couple are on a date.
A woman with a satchel is riding on a bike smiling.</s>The woman is running,A woman with a satchel is riding on a bike smiling.,The woman is running,contradiction,contradiction,"The woman is riding a bike, not running.",A woman with a satchel is riding on a bike smiling.</s>The woman is running
Police in riot gear fill a street lined with spectators in red clothing.</s>Police get ready to calm down crowds.,Police in riot gear fill a street lined with spectators in red clothing.,Police get ready to calm down crowds.,entailment,entailment,Police in riot gear are getting ready to calm down crowds.,Police in riot gear fill a street lined with spectators in red clothing.</s>Police get ready to calm down crowds.
"A young female softball outfielder has just thrown a ball, while players run to their bases.</s>Nobody is throwing","A young female softball outfielder has just thrown a ball, while players run to their bases.",Nobody is throwing,contradiction,contradiction,The young female softball outfielder is throwing the ball.,"A young female softball outfielder has just thrown a ball, while players run to their bases.</s>Nobody is throwing"
Four people walking down the street and one is trying to jump in a shopping cart.</s>Four people walking down the street coming from a party and one jumps in the shopping cart.,Four people walking down the street and one is trying to jump in a shopping cart.,Four people walking down the street coming from a party and one jumps in the shopping cart.,neutral,neutral,The people are not necessarily coming from a party.,Four people walking down the street and one is trying to jump in a shopping cart.</s>Four people walking down the street coming from a party and one jumps in the shopping cart.
A man is sitting in the street eating fast food and using a cellphone.</s>A man is sitting in the street.,A man is sitting in the street eating fast food and using a cellphone.,A man is sitting in the street.,entailment,entailment,The man is sitting in the street.,A man is sitting in the street eating fast food and using a cellphone.</s>A man is sitting in the street.
An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.</s>A family is enjoying a night out of camping.,An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.,A family is enjoying a night out of camping.,neutral,neutral,The adult and the young schoolgirl are not necessarily a family.,An adult is braiding the hair of a young schoolgirl who sitting in a wooden chair in front of a tent with a baby in her lap.</s>A family is enjoying a night out of camping.
"There are two small boys wearing ball caps, playing T-Ball in green grass with three adult men watching.</s>Two boys are wearing baseball caps","There are two small boys wearing ball caps, playing T-Ball in green grass with three adult men watching.",Two boys are wearing baseball caps,entailment,entailment,Ball caps are baseball caps.,"There are two small boys wearing ball caps, playing T-Ball in green grass with three adult men watching.</s>Two boys are wearing baseball caps"
Two people sitting on rocks and a pack at their feet.</s>Two people are sitting.,Two people sitting on rocks and a pack at their feet.,Two people are sitting.,entailment,entailment,The two people are sitting on rocks.,Two people sitting on rocks and a pack at their feet.</s>Two people are sitting.
a young boy and girl playing a video game.</s>The children are playing a game.,a young boy and girl playing a video game.,The children are playing a game.,entailment,entailment,"The children are playing a video game, which is a type of game.",a young boy and girl playing a video game.</s>The children are playing a game.
Two Asian men writing in an airport.</s>People are at the airport.,Two Asian men writing in an airport.,People are at the airport.,entailment,entailment,The two Asian men are people.,Two Asian men writing in an airport.</s>People are at the airport.
In a public park kids gather to play in an inflatable bouncer.</s>The kids are praying in the Sunday School classroom.,In a public park kids gather to play in an inflatable bouncer.,The kids are praying in the Sunday School classroom.,contradiction,contradiction,The kids are not praying in the Sunday School classroom. They are playing in an inflatable bouncer.,In a public park kids gather to play in an inflatable bouncer.</s>The kids are praying in the Sunday School classroom.
A woman runs on a trail in nature.</s>A woman runs on a long trail in nature.,A woman runs on a trail in nature.,A woman runs on a long trail in nature.,neutral,entailment,A trail is a long trail.,A woman runs on a trail in nature.</s>A woman runs on a long trail in nature.
A bicyclist attempting to pay for a transportation ticket at a kiosk.</s>A person is buying a ticket from the young lady.,A bicyclist attempting to pay for a transportation ticket at a kiosk.,A person is buying a ticket from the young lady.,neutral,neutral,The young lady is not necessarily a person.,A bicyclist attempting to pay for a transportation ticket at a kiosk.</s>A person is buying a ticket from the young lady.
"A blond woman is dancing, while wearing red leg warmers.</s>The woman is naked.","A blond woman is dancing, while wearing red leg warmers.",The woman is naked.,contradiction,contradiction,"The woman is wearing leg warmers, so she is not naked.","A blond woman is dancing, while wearing red leg warmers.</s>The woman is naked."
"Woman with an iced coffee in hand, walking down the street.</s>a woman is outside","Woman with an iced coffee in hand, walking down the street.",a woman is outside,entailment,entailment,The woman is outside because she is walking down the street.,"Woman with an iced coffee in hand, walking down the street.</s>a woman is outside"
A young girl is taking photographs of the view near forest areas while wearing a summer shirt.</s>A young girl is taking pictures for a school project.,A young girl is taking photographs of the view near forest areas while wearing a summer shirt.,A young girl is taking pictures for a school project.,neutral,neutral,The girl is taking pictures of the view near forest areas. The girl is wearing a summer shirt.,A young girl is taking photographs of the view near forest areas while wearing a summer shirt.</s>A young girl is taking pictures for a school project.
An old man with glasses hugs a young woman at a gathering of quite a few people.</s>A married couple hugs at an event.,An old man with glasses hugs a young woman at a gathering of quite a few people.,A married couple hugs at an event.,neutral,neutral,The old man and young woman could be married.,An old man with glasses hugs a young woman at a gathering of quite a few people.</s>A married couple hugs at an event.
A man in drag with his face painted rides by on a bicycle.</s>a guy dressed like a woman rides a bike,A man in drag with his face painted rides by on a bicycle.,a guy dressed like a woman rides a bike,entailment,entailment,A man in drag is a guy dressed like a woman.,A man in drag with his face painted rides by on a bicycle.</s>a guy dressed like a woman rides a bike
Two females holding their cellphones.</s>The women are texting.,Two females holding their cellphones.,The women are texting.,neutral,neutral,"The women are holding their cellphones, but they could be doing something else on their phones.",Two females holding their cellphones.</s>The women are texting.
A group of musicians perform on the street for donations.</s>A group of harmonica players are performing on the street.,A group of musicians perform on the street for donations.,A group of harmonica players are performing on the street.,neutral,entailment,A group of harmonica players are musicians.,A group of musicians perform on the street for donations.</s>A group of harmonica players are performing on the street.
A young woman in a white shirt and black pants holding a top hat entertaining some people sitting at a table</s>A woman is juggling at the table.,A young woman in a white shirt and black pants holding a top hat entertaining some people sitting at a table,A woman is juggling at the table.,neutral,entailment,"The woman is holding a top hat, which is a prop for juggling.",A young woman in a white shirt and black pants holding a top hat entertaining some people sitting at a table</s>A woman is juggling at the table.
An older lady walking by a man who is laying on the table looking at something.</s>A lady is sitting in a chair.,An older lady walking by a man who is laying on the table looking at something.,A lady is sitting in a chair.,contradiction,contradiction,The lady is not sitting in a chair.,An older lady walking by a man who is laying on the table looking at something.</s>A lady is sitting in a chair.
"A dog tags a nap on a rug near his favorite toy, a plush centipede.</s>A dog is asleep on the floor.","A dog tags a nap on a rug near his favorite toy, a plush centipede.",A dog is asleep on the floor.,entailment,entailment,A dog is asleep on the floor is a way to paraphrase that a dog is taking a nap on a rug.,"A dog tags a nap on a rug near his favorite toy, a plush centipede.</s>A dog is asleep on the floor."
"A woman in a child's classroom is helping a child build a sculpture, while other children play by themselves.</s>Children are playing outside on the playground.","A woman in a child's classroom is helping a child build a sculpture, while other children play by themselves.",Children are playing outside on the playground.,contradiction,neutral,"The children are playing by themselves, but not necessarily outside on the playground.","A woman in a child's classroom is helping a child build a sculpture, while other children play by themselves.</s>Children are playing outside on the playground."
A boy wearing a red shirt is riding his bike right next to a mound of dirt.</s>a boy is riding a red bike with a horn near some dirt,A boy wearing a red shirt is riding his bike right next to a mound of dirt.,a boy is riding a red bike with a horn near some dirt,neutral, ,"The boy is wearing a red shirt, not riding a red bike. The boy is riding his bike next to a mound of dirt, not near some dirt.",A boy wearing a red shirt is riding his bike right next to a mound of dirt.</s>a boy is riding a red bike with a horn near some dirt
Two men are standing and talking.</s>Two men are standing and talking about their girlfriends.,Two men are standing and talking.,Two men are standing and talking about their girlfriends.,neutral,neutral,The men could be talking about anything.,Two men are standing and talking.</s>Two men are standing and talking about their girlfriends.
Two children are eating ice cream.</s>the kids eat ice cream after school,Two children are eating ice cream.,the kids eat ice cream after school,neutral,neutral,"The kids are eating ice cream, but it is not necessarily after school.",Two children are eating ice cream.</s>the kids eat ice cream after school
A man in a bright orange vest and white construction helmet leads a group of other men in bright colored jackets through a site.</s>The men are riding bicycles.,A man in a bright orange vest and white construction helmet leads a group of other men in bright colored jackets through a site.,The men are riding bicycles.,contradiction,contradiction,The men are not riding bicycles.,A man in a bright orange vest and white construction helmet leads a group of other men in bright colored jackets through a site.</s>The men are riding bicycles.
Two men enjoying a game of pool.</s>Some men holding wooden poles.,Two men enjoying a game of pool.,Some men holding wooden poles.,entailment,neutral,The men are not necessarily holding wooden poles.,Two men enjoying a game of pool.</s>Some men holding wooden poles.
A man is making pottery and peering closely at the object he is making.</s>There is man working with art.,A man is making pottery and peering closely at the object he is making.,There is man working with art.,entailment,entailment,Pottery is a form of art.,A man is making pottery and peering closely at the object he is making.</s>There is man working with art.
The worker in the fluorescent vest is taking a break and sitting down.</s>The man thinks about his job,The worker in the fluorescent vest is taking a break and sitting down.,The man thinks about his job,neutral,neutral,"The man is taking a break, so he is not working.",The worker in the fluorescent vest is taking a break and sitting down.</s>The man thinks about his job
Two women in white dresses are posing on a blanket for photographs in the middle of a park.</s>Two women in white dresses are posing on a blanket for photographs in the middle of a park,Two women in white dresses are posing on a blanket for photographs in the middle of a park.,Two women in white dresses are posing on a blanket for photographs in the middle of a park,entailment,entailment,The two sentences are the same.,Two women in white dresses are posing on a blanket for photographs in the middle of a park.</s>Two women in white dresses are posing on a blanket for photographs in the middle of a park
A guy with a red shirt and black apron on working standing with his hand in a shopping cart.</s>The man is moving the shopping carts to a new location.,A guy with a red shirt and black apron on working standing with his hand in a shopping cart.,The man is moving the shopping carts to a new location.,neutral,neutral,The man is not necessarily moving the shopping carts to a new location.,A guy with a red shirt and black apron on working standing with his hand in a shopping cart.</s>The man is moving the shopping carts to a new location.
a man in a black leather jacket is shuffling down the sidewalk.</s>The man is slowly walking down the sidewalk.,a man in a black leather jacket is shuffling down the sidewalk.,The man is slowly walking down the sidewalk.,contradiction,entailment,Shuffling is a slow way of walking.,a man in a black leather jacket is shuffling down the sidewalk.</s>The man is slowly walking down the sidewalk.
Two dogs are running in the water while a man watches from the dock.</s>A man is watching from his boat.,Two dogs are running in the water while a man watches from the dock.,A man is watching from his boat.,contradiction,contradiction,A dock is not a boat.,Two dogs are running in the water while a man watches from the dock.</s>A man is watching from his boat.
A man in a long coat and dress pants looks up at a sign on a bus as it passes by</s>A man is looking at the bus.,A man in a long coat and dress pants looks up at a sign on a bus as it passes by,A man is looking at the bus.,neutral,entailment,The man is looking at the sign on the bus.,A man in a long coat and dress pants looks up at a sign on a bus as it passes by</s>A man is looking at the bus.
Students posing for their year book on there last field trip.</s>the students are female,Students posing for their year book on there last field trip.,the students are female,neutral,entailment,the students are female because they have long hair and are wearing dresses.,Students posing for their year book on there last field trip.</s>the students are female
People are riding a bus.</s>People are going to work.,People are riding a bus.,People are going to work.,neutral,neutral,People riding a bus are not necessarily going to work.,People are riding a bus.</s>People are going to work.
A small kid hitting a Cinderella Pinata.</s>A senior citizen playing bingo.,A small kid hitting a Cinderella Pinata.,A senior citizen playing bingo.,contradiction,contradiction,The kid is not a senior citizen.,A small kid hitting a Cinderella Pinata.</s>A senior citizen playing bingo.
A woman in a red shirt is hanging her arm out of a window.</s>She eats an apple.,A woman in a red shirt is hanging her arm out of a window.,She eats an apple.,contradiction,neutral,The woman in the red shirt is not necessarily eating an apple.,A woman in a red shirt is hanging her arm out of a window.</s>She eats an apple.
Three smiling children swing in a tire swing at a playground.</s>The children are playing outside.,Three smiling children swing in a tire swing at a playground.,The children are playing outside.,entailment,entailment,The children are smiling and swinging in a tire swing.,Three smiling children swing in a tire swing at a playground.</s>The children are playing outside.
A young woman practices a string instrument indoors.</s>A girl is watching movies.,A young woman practices a string instrument indoors.,A girl is watching movies.,contradiction,neutral,The young woman is not necessarily a girl.,A young woman practices a string instrument indoors.</s>A girl is watching movies.
A man and a woman are sitting on a bench and are playing stringed instruments.</s>A man and woman are kissing on the bed,A man and a woman are sitting on a bench and are playing stringed instruments.,A man and woman are kissing on the bed,contradiction,contradiction,The man and woman are not kissing on the bed.,A man and a woman are sitting on a bench and are playing stringed instruments.</s>A man and woman are kissing on the bed
"Two people dressed in battle gear, are practicing sparring in a gymnasium.</s>The people are dressed to practice a renaissance fight.","Two people dressed in battle gear, are practicing sparring in a gymnasium.",The people are dressed to practice a renaissance fight.,neutral,entailment,"The people are dressed in battle gear, which is similar to renaissance fight.","Two people dressed in battle gear, are practicing sparring in a gymnasium.</s>The people are dressed to practice a renaissance fight."
"A man in black is holding a microphone on a stage, while another person in the background playing the drums.</s>They are dancing.","A man in black is holding a microphone on a stage, while another person in the background playing the drums.",They are dancing.,contradiction,"contradiction

Pre","The man in black is holding a microphone, not dancing. The person in the background is playing the drums, not dancing.","A man in black is holding a microphone on a stage, while another person in the background playing the drums.</s>They are dancing."
The gray and white dog is running through the snow.</s>The dog is outside.,The gray and white dog is running through the snow.,The dog is outside.,entailment,entailment,"The dog is running through the snow, so it must be outside.",The gray and white dog is running through the snow.</s>The dog is outside.
"Two soccer players, one in red one in blue, running to kick the ball in soccer game.</s>Soccer players are trying to win the game.","Two soccer players, one in red one in blue, running to kick the ball in soccer game.",Soccer players are trying to win the game.,neutral,entailment,Soccer players are trying to win the game by kicking the ball.,"Two soccer players, one in red one in blue, running to kick the ball in soccer game.</s>Soccer players are trying to win the game."
"A man sits in the sunlight, on a bench, playing a banjo while a Canadian Goose looks on.</s>The is a man sitting on a bench playing an instrument.","A man sits in the sunlight, on a bench, playing a banjo while a Canadian Goose looks on.",The is a man sitting on a bench playing an instrument.,entailment,entailment,The man is sitting on a bench and playing an instrument.,"A man sits in the sunlight, on a bench, playing a banjo while a Canadian Goose looks on.</s>The is a man sitting on a bench playing an instrument."
Five people wearing scuba diving gear are gathered together in calm waters.</s>The people are scuba diving,Five people wearing scuba diving gear are gathered together in calm waters.,The people are scuba diving,entailment,entailment,"The people are wearing scuba diving gear, so they are scuba diving.",Five people wearing scuba diving gear are gathered together in calm waters.</s>The people are scuba diving
A little boy wearing goggles is holding a gun.</s>The man is holding up a bank at gunpoint.,A little boy wearing goggles is holding a gun.,The man is holding up a bank at gunpoint.,contradiction,contradiction,The little boy is not a man.,A little boy wearing goggles is holding a gun.</s>The man is holding up a bank at gunpoint.
A man in a jacket is looking at some oranges in the grocery store.</s>A man is shopping.,A man in a jacket is looking at some oranges in the grocery store.,A man is shopping.,entailment,neutral,The man is looking at oranges in the grocery store. He is not necessarily shopping.,A man in a jacket is looking at some oranges in the grocery store.</s>A man is shopping.
The sun is setting behind a group of people.</s>The run is rising in front of the people.,The sun is setting behind a group of people.,The run is rising in front of the people.,contradiction,contradiction,The sun cannot be setting and rising at the same time.,The sun is setting behind a group of people.</s>The run is rising in front of the people.
A male in a black shirt near a large curved archway.</s>A man is near an arch.,A male in a black shirt near a large curved archway.,A man is near an arch.,entailment,entailment,A male is a man. A large curved archway is an arch.,A male in a black shirt near a large curved archway.</s>A man is near an arch.
Two female soldiers in uniform sit behind a desk while reading and sorting through piles of papers.</s>Some people are in an office.,Two female soldiers in uniform sit behind a desk while reading and sorting through piles of papers.,Some people are in an office.,entailment,entailment,The people in the picture are in an office.,Two female soldiers in uniform sit behind a desk while reading and sorting through piles of papers.</s>Some people are in an office.
A man with sunglasses on top of his head is playing a slot machine.</s>A man with sunglasses on top of his head is gambling at the slot machine,A man with sunglasses on top of his head is playing a slot machine.,A man with sunglasses on top of his head is gambling at the slot machine,entailment,entailment,"The man is playing the slot machine, which is gambling.",A man with sunglasses on top of his head is playing a slot machine.</s>A man with sunglasses on top of his head is gambling at the slot machine
A black and white dog with a blue dog toy in its mouth walks across a grassy yard.</s>dogs with a toy,A black and white dog with a blue dog toy in its mouth walks across a grassy yard.,dogs with a toy,entailment,neutral,The dog is not necessarily black and white.,A black and white dog with a blue dog toy in its mouth walks across a grassy yard.</s>dogs with a toy
"Men are in a work zone, working across the street from a DSW store.</s>People are in a work zone, working across the street from a DSW store.","Men are in a work zone, working across the street from a DSW store.","People are in a work zone, working across the street from a DSW store.",entailment,entailment,Men are people.,"Men are in a work zone, working across the street from a DSW store.</s>People are in a work zone, working across the street from a DSW store."
A group of people walking together.</s>A single man sitting in the park.,A group of people walking together.,A single man sitting in the park.,contradiction,contradiction,A group of people walking together is not a single man sitting in the park.,A group of people walking together.</s>A single man sitting in the park.
"Father in white shirt and khaki shorts tenderly kisses his son, seen wearing a dark red shirt and denim pants, on the head as they share a quiet moment while sitting in the doorway of a van.</s>Father comforting his son after school.","Father in white shirt and khaki shorts tenderly kisses his son, seen wearing a dark red shirt and denim pants, on the head as they share a quiet moment while sitting in the doorway of a van.",Father comforting his son after school.,neutral,entailment,The father is comforting his son. The son is wearing a school uniform.,"Father in white shirt and khaki shorts tenderly kisses his son, seen wearing a dark red shirt and denim pants, on the head as they share a quiet moment while sitting in the doorway of a van.</s>Father comforting his son after school."
A smiling boy slides down a rope while hanging on.</s>The smiling boy sits on the floor while other people play.,A smiling boy slides down a rope while hanging on.,The smiling boy sits on the floor while other people play.,contradiction,contradiction,The boy is not sitting on the floor.,A smiling boy slides down a rope while hanging on.</s>The smiling boy sits on the floor while other people play.
Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape</s>The men are outside.,Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape,The men are outside.,entailment,entailment,"The men are in a boat, which is outside.",Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape</s>The men are outside.
A walk on the beach after a storm.</s>There was a storm and carrots fell from the sky.,A walk on the beach after a storm.,There was a storm and carrots fell from the sky.,contradiction,neutral,The storm could have been a storm of carrots.,A walk on the beach after a storm.</s>There was a storm and carrots fell from the sky.
Two workers work in an industrial bakery.</s>People have jobs.,Two workers work in an industrial bakery.,People have jobs.,entailment,entailment,The two workers are people.,Two workers work in an industrial bakery.</s>People have jobs.
A young boy with a necklace on in the water.</s>A child wearing jewelry is in water.,A young boy with a necklace on in the water.,A child wearing jewelry is in water.,entailment,entailment,A young boy is a child. A necklace is a type of jewelry.,A young boy with a necklace on in the water.</s>A child wearing jewelry is in water.
A gathering of people with computers and videocameras.</s>the people were on concrete,A gathering of people with computers and videocameras.,the people were on concrete,contradiction,entailment,the people were on concrete,A gathering of people with computers and videocameras.</s>the people were on concrete
Two young girls with headscarves stand near a door while one reads a book.</s>The two school kids wait by the door for the public library to open.,Two young girls with headscarves stand near a door while one reads a book.,The two school kids wait by the door for the public library to open.,neutral,entail,The two girls are school kids. The two girls are waiting by the door. The two girls are waiting for the public library to open.,Two young girls with headscarves stand near a door while one reads a book.</s>The two school kids wait by the door for the public library to open.
Two hispanic women walking.</s>Two hispanic women are running to a time limited sale.,Two hispanic women walking.,Two hispanic women are running to a time limited sale.,contradiction,contradiction,Walking is not running.,Two hispanic women walking.</s>Two hispanic women are running to a time limited sale.
"A choir of about fifty teens, the men in black pants and white tuxedo jackets and the women in blue gowns and white gloves, performs in a church setting, led by a conductor.</s>The teen choir in casual attire practices in an auditorium.","A choir of about fifty teens, the men in black pants and white tuxedo jackets and the women in blue gowns and white gloves, performs in a church setting, led by a conductor.",The teen choir in casual attire practices in an auditorium.,contradiction,contradiction,The choir is not in casual attire. They are in formal attire.,"A choir of about fifty teens, the men in black pants and white tuxedo jackets and the women in blue gowns and white gloves, performs in a church setting, led by a conductor.</s>The teen choir in casual attire practices in an auditorium."
Four men socializing on a sidewalk.</s>Four men are talking on a sidewalk.,Four men socializing on a sidewalk.,Four men are talking on a sidewalk.,entailment,entailment,Socializing is a synonym for talking.,Four men socializing on a sidewalk.</s>Four men are talking on a sidewalk.
Guy getting really into his guitar solo.</s>A woman is singing.,Guy getting really into his guitar solo.,A woman is singing.,contradiction,contradiction,"The guy is playing the guitar, not singing.",Guy getting really into his guitar solo.</s>A woman is singing.
A black and brown dog playing in the water at a beach.</s>The dog is at the huse.,A black and brown dog playing in the water at a beach.,The dog is at the huse.,contradiction,contradiction,"The dog is at the beach, not at the house.",A black and brown dog playing in the water at a beach.</s>The dog is at the huse.
A female photographer jumping for joy in a quiet winter park.</s>A lady is outside in the cold.,A female photographer jumping for joy in a quiet winter park.,A lady is outside in the cold.,entailment,entailment,The photographer is a lady. The park is outside. The park is cold.,A female photographer jumping for joy in a quiet winter park.</s>A lady is outside in the cold.
Two people in white martial arts suits are shown as one pins the other to the ground.</s>Two people are on the ground in martial arts suits.,Two people in white martial arts suits are shown as one pins the other to the ground.,Two people are on the ground in martial arts suits.,entailment,neutral,"The two people are on the ground, but one is pinning the other.",Two people in white martial arts suits are shown as one pins the other to the ground.</s>Two people are on the ground in martial arts suits.
A man in a camouflage tank top standing next to a man in a gray t-shirt with a fountain in the background.</s>Two men stand in front of a fountain.,A man in a camouflage tank top standing next to a man in a gray t-shirt with a fountain in the background.,Two men stand in front of a fountain.,entailment,neutral,The camouflage tank top is not necessarily a gray t-shirt.,A man in a camouflage tank top standing next to a man in a gray t-shirt with a fountain in the background.</s>Two men stand in front of a fountain.
A young lady lying on the ground near water relaxing while reading a book.</s>a frog eats chips,A young lady lying on the ground near water relaxing while reading a book.,a frog eats chips,contradiction,neutral,The frog eating chips has nothing to do with the young lady relaxing.,A young lady lying on the ground near water relaxing while reading a book.</s>a frog eats chips
Man standing at a food and beverage stand.</s>A kid asks for ice-cream.,Man standing at a food and beverage stand.,A kid asks for ice-cream.,contradiction,contradiction,The man is not necessarily a kid.,Man standing at a food and beverage stand.</s>A kid asks for ice-cream.
"There are people on the sidewalk.</s>The apocolypse is happening, and noone is outside.",There are people on the sidewalk.,"The apocolypse is happening, and noone is outside.",contradiction,contradiction,"If the apocolypse is happening, then there would be no people on the sidewalk.","There are people on the sidewalk.</s>The apocolypse is happening, and noone is outside."
"A red shirted man is renovating his kitchen, prepping the wall behind where his counter will sit.</s>A man prepping.","A red shirted man is renovating his kitchen, prepping the wall behind where his counter will sit.",A man prepping.,entailment,neutral,A man prepping is not necessarily renovating his kitchen.,"A red shirted man is renovating his kitchen, prepping the wall behind where his counter will sit.</s>A man prepping."
A young man wearing minimal clothing walks along the sidewalk amidst children and other people.</s>A barley dressed young man is walking outside.,A young man wearing minimal clothing walks along the sidewalk amidst children and other people.,A barley dressed young man is walking outside.,entailment,entailment,Minimal clothing is a way to say barley dressed.,A young man wearing minimal clothing walks along the sidewalk amidst children and other people.</s>A barley dressed young man is walking outside.
A young boy wearing rubber boots dark shorts and a checkered shirt is lying down sleeping on stacks of yellow metal guard rails.</s>Young children sleeping on a train track rail,A young boy wearing rubber boots dark shorts and a checkered shirt is lying down sleeping on stacks of yellow metal guard rails.,Young children sleeping on a train track rail,neutral,neutral,The boy is not necessarily a young child. The guard rails are not necessarily train tracks.,A young boy wearing rubber boots dark shorts and a checkered shirt is lying down sleeping on stacks of yellow metal guard rails.</s>Young children sleeping on a train track rail
"A boy in a blue, yellow, and orange shirt holding his arms out from his sides.</s>A girl dressed in bikinis walk graciously past a group of gentlemen at the beach","A boy in a blue, yellow, and orange shirt holding his arms out from his sides.",A girl dressed in bikinis walk graciously past a group of gentlemen at the beach,contradiction,contradiction,"The boy in the blue, yellow, and orange shirt is not a girl in a bikini.","A boy in a blue, yellow, and orange shirt holding his arms out from his sides.</s>A girl dressed in bikinis walk graciously past a group of gentlemen at the beach"
A kid in a white shirt and white hat and jeans skateboards down a ramp.</s>The kid in the white shirt is reading a book.,A kid in a white shirt and white hat and jeans skateboards down a ramp.,The kid in the white shirt is reading a book.,contradiction,contradiction,"The kid in the white shirt is skateboarding, not reading a book.",A kid in a white shirt and white hat and jeans skateboards down a ramp.</s>The kid in the white shirt is reading a book.
"A man with brown hair, eyeglasses, and a gray long-sleeved shirt is holding a telephone in his left hand.</s>The blonde man was listening to his iPod.","A man with brown hair, eyeglasses, and a gray long-sleeved shirt is holding a telephone in his left hand.",The blonde man was listening to his iPod.,contradiction,contradiction,The man in the picture is not blonde.,"A man with brown hair, eyeglasses, and a gray long-sleeved shirt is holding a telephone in his left hand.</s>The blonde man was listening to his iPod."
A man sitting playing guitar and mouth piece at the same time.</s>Someone is playing two musical instruments at the same time.,A man sitting playing guitar and mouth piece at the same time.,Someone is playing two musical instruments at the same time.,entailment,entailment,A guitar and a mouth piece are both musical instruments.,A man sitting playing guitar and mouth piece at the same time.</s>Someone is playing two musical instruments at the same time.
Many children are gathered outside with toy noses on and are shouting.</s>Humans gathered.,Many children are gathered outside with toy noses on and are shouting.,Humans gathered.,entailment,entailment,Children are humans.,Many children are gathered outside with toy noses on and are shouting.</s>Humans gathered.
Skateboarder not wearing a shirt does a cool trick.</s>A skateboard not wearing pants does a cool trick.,Skateboarder not wearing a shirt does a cool trick.,A skateboard not wearing pants does a cool trick.,contradiction,contradiction,A skateboard is not a person.,Skateboarder not wearing a shirt does a cool trick.</s>A skateboard not wearing pants does a cool trick.
A man performs at a concert.</s>A human performing,A man performs at a concert.,A human performing,entailment,entailment,A man is a human.,A man performs at a concert.</s>A human performing
A little boy in a samurai costume holds a toy sword as he stands in front of a stroller.</s>a boy is wearing a costume,A little boy in a samurai costume holds a toy sword as he stands in front of a stroller.,a boy is wearing a costume,entailment,entailment,A samurai costume is a costume.,A little boy in a samurai costume holds a toy sword as he stands in front of a stroller.</s>a boy is wearing a costume
A skateboarder catches air over a dumpster as one friend observes and the other friend jests.</s>Nobody is observing,A skateboarder catches air over a dumpster as one friend observes and the other friend jests.,Nobody is observing,contradiction,contradiction,The friend is observing the skateboarder.,A skateboarder catches air over a dumpster as one friend observes and the other friend jests.</s>Nobody is observing
"A lady with red-hair in leather pants, boots, and jacket walks down the sidewalk with a little boy.</s>A lady is  going with her son to market.","A lady with red-hair in leather pants, boots, and jacket walks down the sidewalk with a little boy.",A lady is  going with her son to market.,neutral,neutral,The lady is not necessarily the boy's mother.,"A lady with red-hair in leather pants, boots, and jacket walks down the sidewalk with a little boy.</s>A lady is  going with her son to market."
A woman in a green tank top holding a purse opens her mouth and looks excited.</s>A woman just got exciting news.,A woman in a green tank top holding a purse opens her mouth and looks excited.,A woman just got exciting news.,neutral,entailment,The woman is opening her mouth and looks excited.,A woman in a green tank top holding a purse opens her mouth and looks excited.</s>A woman just got exciting news.
