question,choices
"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['the reward money', 'hurt feelings', 'being found out', 'problems', 'trouble']"
"Seating is usually thought to be best in the center of the room, about halfway back, in what place?","['bus depot', 'rest area', 'theatre', 'church', 'classroom']"
"Seeing his idea become reality should have brought joy to James.  Instead, it only brought what emotion?","['over joy', 'fulfilling', 'inspiration', 'pain', 'excitement']"
"Seeing old things made him what to explore more, it made him very what?","['painful memories', 'new memories', 'reverence', 'remind', 'curiosity']"
"Seeing people play the game made Victor remember when he played the game.  He experienced something, remembering his past.  What might he have felt?","['hunger', 'boredom', 'entertainment', 'longing', 'enjoyable']"
"Several other people were standing around James.  They were jumping up and down, screaming loudly, and banging their heads.  Where might James have been?","['water', 'in class', 'meeting', 'mall', 'concert']"
"Sex is easy to get, but the easiest sex to get does what?","['last hour', 'cloud judgment', 'a concussion', 'cost money', 'sell beer']"
"Shane was supposed to speak at his fathers funeral.  He was a clown, and acted very ridiculous.  This cheerfulness turned off people who expected the funeral to be what?","['solemn', 'compete', 'serious', 'somber', 'straightforward']"
"Sharks can be dangerous to encounter, they can be found in each of the whats?","['great oceans', 'tropical waters', 'sea world', 'great outdoors', 'lake michigan']"
"She a deep love for all her friends, every Friday she had an open invitation for them as she loved to host and what?","['wait for', 'eat out', 'entertain', 'please parents', 'paint']"
"She already had many friends, but she never stopped socialising to what?","['having fun', 'become popular', 'become more popular', 'anxiety', 'she cannot do that when all are for her .']"
"She always kept an umbrella handy for the frequent rain, where did she likely live?","['seattle', 'rain forest', 'beach', 'store', 'suitcase']"
"She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?","['nightmares', 'death', 'dreams', 'erections', 'vaccines']"
"She always wondered how safe it was to use her hair dryer straight after a hot shower, it was always so wet and steamy in the what?","['jungle', 'drug store', 'box', 'beauty salon', 'bathroom']"
"She asked to swallow semen, he shrugged and replied it was fine if that's what?","[""you're into"", 'prostitute', 'in a porn movie', 'pornstar', ""you're curious""]"
"She began to play violin at a young age, she had a passion to do what?","['inspiring', 'like music', 'be musician', 'make music', 'tune']"
"She caught the first snowflake of her life on her tongue, she was naively excited to be spending a what in a region that actually had snow?","['cloud', 'december', 'air', 'africa', 'winter']"
"She celebrated her success by giving a speech, where was she?","['graveyard', 'awards ceremony', 'various situations', 'vocation', 'working hard']"
"She choked while eating hamburger, what was the result?","['satisfaction', 'yum', 'gas', 'death', 'gain weight']"
"She complained about the radio, what was it doing?","['radiotracking', 'turn on', 'train', 'blaring', 'play music']"
"She considered a wig, her hair had begun to what up top?","['composted', 'thin out', 'curl', 'worn free', 'fall out']"
"She could wait for her new terrace to be covered in green next year, it was the final piece of her dream what?","['garden', 'yard', 'southern europe', 'rice paddy', 'house']"
"She couldn't hide she liked the boy she was talking to, she had a constant what?","['make eye contact', 'smile', 'another person', 'listening', 'compliment']"
"She couldn't wait to see the performance, she stood in the line for the box office where?","['theatre', 'venue', 'theater district', 'movie theater', 'ballpark']"
"She created music to share how she felt with another, what was her goal?","['express emotion', 'quiet mind', 'beautifull', 'boredom', 'irritate']"
"She curled up under a blanket to get warm, this made her what on the couch as they started movie?","['sleep', 'feel more comfortable', 'sweating', 'blush', 'cuddle']"
"She dug around her what, but just could not find the baby bottle she swore she packed?","['medicine cabinet', 'grocery store', 'diaper bag', 'dishwasher', 'liquor store']"
"She enjoyed fabric as a medium, her creativity really showed when she would what?","['create art', 'draw', 'sew', 'write', 'express yourself']"
"She enjoyed the song, it was a famous one about a girl with eyes that where what?","['sad', 'green', 'tear up', 'brown', 'blue']"
"She explained that you won't always get what you want with a goal, but you should still do what with it?","['know how to find', 'work hard', 'remember where', 'reach for', 'purchase']"
"She felt like she never had any support, people always seemed to what?","['marriage', 'ignore', 'let down', 'aid', 'neglect']"
"She felt like she was getting a cold, she was not looking forward to this what?","['let down', 'disappointment', 'satisfaction', 'gratitude', 'illness']"
"She felt so alone on campus, she just wanted to be what?","['with someone', 'together', 'in crowd', 'many people', 'confined']"
"She felt the need to continue to lose weight, this was despite her already being what?","['skinny', 'feel better', 'under weight', 'lift weights', 'healthy']"
"She filled the thing with water and went to plug it in, she had finally finished her garden with what centerpiece?","['stream', 'perfume', 'sink', 'fountain', 'swamp']"
"She finally gave up smoking when they decided to grow their family, this was because she had heard it can cause what?","['pleasure', 'ill-omen', 'birth defects', 'bad breath', 'persistent cough']"
"She found out who her father was, discovering truth had led her to feel what?","['conclusion', 'pain', 'very sad', 'relief', 'happiness']"
"She found the housing option in the midwest were plain, where should she look for houses for less plain architecture?","['landscape', 'azawakh', 'middle america', 'georgia', 'countryside']"
"She found the trend quite odd, but it seemed that this was the new what?","['even', 'common', 'regular', 'normal', 'thing to do']"
"She got a snack and drink and laid back in her chaise lounge, the day was finally over and she could just read book and what?","['choose one', 'open up', 'get comfortable', 'plot world domination', 'learn to read']"
"She got an extra blanket to get warm, this would hopefully make her even what?","['more comfortable', 'were cold', 'less cold', ""you're cold"", 'feel comfortable']"
"She got home and needed to put away her shirts, where did she put them?","['buttons', 'suitcase', 'washing machine', 'sporting goods store', 'closet']"
"She got in the car after becoming inebriated, what did she cause afterwards?","['fall down', 'arrest', 'pass out', 'flew out', 'death and destruction']"
"She grabbed the handle very tightly to work out the knots, she began to what?","['juggling', 'brush', 'carry purse', 'umbrella', 'saucepan']"
"She ha money and an extravagant hat, where was she heading to gamble with it all?","['race track', 'casino', 'bank account', 'port', 'supermarket']"
"She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?","['health', 'become wet', 'skin irritation', 'dry skin', 'medium']"
"She had a busy schedule, she had to run errands and pick up the kids the second she did what?","['make time for', 'take money', 'go outdoors', 'leave work', 'field']"
"She had a knack for entertaining, everybody told he she had a what?","['fun', 'talent', 'learn about', 'intelligence', 'recognize']"
"She had a problem that she would always spend money, her favorite hobby was to what?","['make things', 'earn more', 'buy things', 'make money', 'go shopping']"
"She had a vision before going to bed, what was she doing?","['falling asleep', 'rest', 'cooking food', 'dreaming of', 'laziness']"
"She had an addiction to buying products, it was the act of shopping she was after not actually what anything?","['spending money', 'interacting', 'bankruptcy', 'agony', 'owning']"
"She had an alacrity for anything life threw her way, but when it came to relationships she had some what?","['reluctance', 'hesitance', 'indifference', 'disinclination', 'apathy']"
"She had been applying for job for weeks with no call back, she knew she was qualified, so what did she feel?","['employment', 'frustration', 'stress', 'working hard', 'love']"
"She had been looking through pictures for hours, she just couldn't eye a suspect among all the what?","[""person's head"", 'faces', 'mammal', 'potato', 'someones face']"
"She had finally saved enough spending money to buy exactly what her goal was, it gave her great what?","['clutter', 'getting', 'bankruptcy', 'confidence', 'satisfaction']"
"She had grown to despise her husband, she though committing murder was the only way to end her what?","['prosecution', 'fear', 'distress', 'marriage', 'misery']"
"She had learned how to make bread that was quite good, she had finished a new loaf and now all there was left to do was to what?","['fresher', 'tastes better than storebought', 'eat bread', ""i'm hungry"", 'throw it away']"
"She had locked her key in her car again, but luckily she always kept a spare in her what?","['own home', 'front door', 'pocket', 'garden gnome', 'purse']"
"She had seen over 50 marble fountains that day, where was she?","[""lenin's crypt"", 'front of casino', 'rome', 'public place', 'city']"
"She had to comfort friend that day, she gave her a big ole what?","['friendly', 'sympathetic', 'handshake', 'cook', 'hug']"
"She had to finish reading book for school, but it was late and she kept what?","['fall asleep', 'falling asleep', 'learning', 'sit', 'the light on']"
"She had to run errands that day, she did it right away because she prefers to what?","['complete tasks', 'gain', 'make tea', 'helpful', 'get things done']"
"She had trouble remembering her happy wedding day, but when she did, what did she experience?","['hunger', 'knowing', 'depression', 'knowledge', 'pleasure']"
"She had worked hard her whole life saving money, featuring her dream entrance hall she bought a new what?","['hat rack', 'school', 'large home', 'palace', 'gateway']"
"She heard a gong while walking through new york city, where was she likely?","['tibet', 'orchestra', 'new york stock exchange', 'music store', 'chinatown']"
"She knew what presents she was getting, none of them were what she wanted and so she felt what?","['excited', 'ownership', 'satisfaction', 'being happy', 'disappointment']"
"She left the states and traveled across the pond, her next art gallery was in what city?","['soho', 'london', 'art museum', 'new york city', 'on a mural']"
"She let him know he was being over the top, and that his antics where a little what?","['much', 'plenty', 'larger', 'lot of', 'big']"
"She like her job at the reception desk, but didn't like her long commute, what did she likely live far away from?","['motel', 'lunch restaurant', 'office park', 'lobby', 'building']"
"She looked at all the noisy flashing one-armed bandits, if she was going to play she was going to be what?","['saving money', 'spending money', 'being entertained', 'intermission', 'sleepiness']"
"She looked longingly at her unrequited love, what did she want to be for him?","['get money from', 'go to college', 'fall down', 'whatever', 'matter to']"
"She loved buying products, she was driven by her what to shop more than any practical needs?","['desire', 'money', 'time', 'credit', 'spending money']"
"She loved finding the art in nature, and loved how what would explain it?","['science', 'math', 'graffiti', 'logic', 'education']"
"She loved the music so much, how did she describe it?","['silent', 'express emotion', 'beautifull', 'irritate', 'quiet mind']"
"She needed a diaphragm, she went to buy one where?","['valve', 'drugstore', 'human', 'organ', ""person's chest""]"
"She needed a new night table, what does she need to visit to get one legally?","['furniture store', 'homes', 'hotel', 'hallway', 'grocery']"
"She needed cabbage and make-up, so where did she go to buy both?","['freezer', 'refrigerator', 'plate', 'grocery store', 'supermarket']"
"She needs to visit a bookshop after buying the latest fashion, where should she look?","['student union', 'mall', 'department store', 'library', 'town or city']"
"She often spent money she didn't have buying products, this lead to what?","['spending money', 'owning', 'pleasure', 'surplus of cash', 'debt']"
"She preferred the light blanket, what did she think of the older blanket?","['empty', 'calorific', 'crucial', 'cumbersome', 'forceful']"
"She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?","['conversation', ""friend's house"", 'race track', 'building', 'bookstore']"
"She put on some soft music, she just wanted to do what at the end of the day?","['dance', 'opera', 'listen', 'relax', 'skate']"
"She really enjoyed to make bread, because when you made your own it was always what?","['fresher', 'healthier', ""i'm hungry"", 'eat bread', 'tastes better than storebought']"
"She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?","['wherever', 'medium', 'void', 'nowhere', 'being']"
"She said it was her turn to watch television, it was time for her to what?","['entertained', 'plug in', ""you're bored"", 'see favorite show', 'sit']"
"She said you had to pay extra for her to swallow semen, something you'd only hear from a what?","[""you're curious"", 'prostitute', 'pornstar', 'gay man in love', ""you're into""]"
"She spent the whole night getting drunk, now she refused to get up off the floor because she figured she would just what again?","['walk', 'vomit', 'throw up', 'staggering', 'fall down']"
"She suffered from mental illness her whole life, but despite that she still what?","['recur', 'cause irrational behaviour', 'effectively treated', 'cause hallucination', 'managed']"
"She sure didn't have a green thumb, every time she thought she was making grow something it would what?","['growth', 'flowering', 'ground', 'die', 'plants']"
"She thought she had some old clothes that might work for the costume, she went to retrieve them down in the what?","['basement', 'box', 'trunk', 'store', 'attic']"
"She told her child it was okay he was that way, and that everyone is what?","['afraid of', 'part old', 'different', 'good at', 'smart']"
"She tried to show her grandma she could look up the restaurant's information on her smartphone, but the old lady wanted to just use the what?","['yellow pages', 'new york', 'business sector', 'canada', 'big city']"
"She used her connections to get an interview, where did she want to work?","['wall', 'store', 'computer network', 'company', 'airport']"
"She usually didn't like Adam Sandler, so she found it surprising that she found his latest movie what?","['startled', 'important', 'funny', 'shocked', 'laughter']"
"She wanted a condominium near the Gulf of Mexico, where should she look for one?","['michigan', 'washington', 'california', 'community', 'florida']"
"She wanted to be a star, so where did she move?","['solar system', 'theatre', 'constellation', 'hollywood', 'night sky']"
"She wanted to donate her old clothes to charity, she began folding and stacking the clothing into a what?","['box', 'basement', 'trash', 'bag', 'trunk']"
"She wanted to learn to needlepoint, what was he goal competency?","['collection of folk art', 'sewing', 'livingroom', 'paint', 'frame']"
"She wanted to make a quilt of velvet, where should she look?","['grandma', 'clothing', 'jewelry store', 'clothes', 'fabric store']"
"She wanted to try out her brand new hair dryer, but her hair practically dried on it's own before she got it out of the well packaged what?","['bathroom', 'trash', 'drug store', 'beauty salon', 'box']"
"She wanted to use television but couldn't find the remote, and she didn't know how to manually what?","['switch on', 'kill', 'open eyes', 'plug in', 'watch tv']"
"She wants authentic barbecue while visiting southeast Michigan, where should she look?","['retail store', 'garage', 'australia', 'park', 'detroit']"
"She was a horrible pet owner, she would put a what on her cat?","['leave outside', 'sharp teeth', 'get wet', 'wool sweater', 'eat vegetables']"
"She was a human in America who wanted to live well, what was a given for her situation?","['think critically', 'need money', 'say hello', 'think critically', 'drink tea']"
"She was a very vain person, in a crowd she loved nothing more than to do what?","['come home', 'make money', 'draw attention to themselves', 'say thank you', 'catch cold']"
"She was always falling on the ice in comical ways,  what was she growing sick of?","['hair pulling', 'being laughed at', 'contact with', 'lacerations', 'injury']"
"She was bad at dancing, so what basic skill did the instructor teach her?","['euphoria', 'rhythmic movement', 'music', 'moving body', 'having fun']"
"She was beginning to age, an early sign of her memory problems was showing short term what?","['increase in emotional resonance', 'forgetting', 'brainless', 'take shape', 'forgetfulness']"
"She was competing, but felt inadequate, what did she apply to improve performance?","['steroids', 'anger', 'increased effort', 'adrenaline rush', 'vain thoughts']"
"She was contemplating which make-up to where, what prompted her to think about this?","['food', 'action', 'thinking', 'reflection', 'discovery']"
"She was determined that night, she was a flirt looking to do what with the right man?","['attract attention', 'get in bed', 'have sex', 'train', 'get laid']"
"She was distracted in thought in class, she felt alone even what?","['with someone', 'many people', 'with others', 'surrounded', 'in crowd']"
"She was famous for her needlepoint, this one was going to be round so she grabbed her round wooden what?","['livingroom', 'artscraft store', 'sewing', 'frame', 'artefact']"
"She was found guilty of neglect, the judge taking away the child was a serious what?","['notice', 'taking care', 'good', 'regard', 'consideration']"
"She was giggling and flirting, his mustache elicited what for her?","['joyfulness', 'smile', 'getting excited', 'enthusiasm', 'sexual attraction']"
"She was going to barbecue some kangaroo meat while camping in the outback, where was she?","['retail store', 'detroit', 'wyoming', 'australia', 'michigan park']"
"She was going to bed at 11 at night, what was she looking to do?","['falling asleep', 'relaxing', 'rest', 'dreaming of', 'laziness']"
"She was in a kitchen of people who just moved in to town, where was she?","['home', 'tree house', ""friend's house"", ""neighbor's house"", 'restaurant']"
"She was jogging faster and faster, pushing herself, what was she looking to improve?","['fitness', 'getting in shape', 'sweating', 'wholeness', 'fatigue']"
"She was known for be soft and sensitive, but when all their wills were tested she was the only one who stood what?","['non sensitive', 'resistant', 'stoic', 'hardened', 'uncaring']"
"She was new at playing violin, what did she immediately notice developing?","['look melodramatic', 'string', 'read music', 'calluses', 'making music']"
"She was not lying intentionally, but she had a powerful what?","['duplicitous', 'dishonesty', 'poker face', 'imagination', 'deceitful']"
"She was on a diet, resisting the indulgent chocolates would be what?","['difficult', 'harsh', 'hard', 'severe', 'strict']"
"She was playing violin with the hope of recording it someday, what did she want to do with her talent?","['calluses', 'playing wrong note', 'audition', 'making music', 'read music']"
"She was pretending to be happy for others, she would always what?","['religion', 'forget', 'smile', 'play', 'eat']"
"She was processing the wool, she kept her leg bouncing to operate the what?","['hospital bed', 'legroom', 'spinning wheel', 'grand piano', 'rhythm']"
"She was really hoping for queen so she could win, what was she involved with?","['play', 'castle', 'deck of cards', 'monarchy', 'beehive']"
"She was sick and staying in bed the day of the event, unfortunately this meant she was what?","['resting', 'sleep more', 'bed sores', 'missing out', 'comfort']"
"She was taken aback by his real personality, what were other past boyfriends like to her?","['a figment of her imagination', 'fictitious', 'artificial', 'fiction', 'imaginary']"
"She was the youngest and always got stuck in the middle seat, she never got the what of a bench seat?","['left right', 'outsides', 'window', 'extremes', 'outer']"
"She was there for for just one location and one pair of jeans, but she spent hours looking at everything and anything in the what?","['clothing store', 'shopping plaza', 'shopping mall', 'laundromat', 'thrift store']"
"She was very saddened about the condition of the person, it was who she most what?","['own house', 'care about', 'basement', 'know everything', 'spare time']"
"She was worried about driving car, she was worried what might flare up during a long drive?","['michigan', 'car crash', 'automobile accidents', 'backache', 'getting tired']"
"She wasn't just out windows shopping, she was filling up her cart and doing what?","['debt', 'giving up', 'meeting friends', 'purchasing', 'compare prices']"
"She wore tight jeans, she wanted everybody to see her thigh what?","['thrift store', 'closet', 'gap', 'bulge', 'clothing store']"
"She would cogitate over every little thing, she was what?","['obsessive compulsive', 'sit quietly', 'sit and think', 'have brain', 'schizophrenic']"
"Simon asked his father to read him a story.  His father couldn't find Simon's book, so looked everywhere for it. Where might it be?","['eat cake', 'end badly', 'communicating moral', 'near end', 'floor']"
"Simon brought his computer to up the stairs, through his door, and set it up by the sofa.  Where did he take the computer?","['classroom', 'to park', 'apartment', 'school', 'demonstration']"
"Since we aren't immortal, people should what?","['expect to die', 'pay bills', 'buy pets', 'stay in', 'eat corn']"
"Sitting down was a wobbly affair, it seem all four what were uneven?","['sit on', 'flatulence', 'legs', 'chair', 'comfort']"
"Skiing can be very risky, it can be the cause of a very serious what?","['fall down', 'fall in', 'getting cold', 'accident', 'trip and fall']"
"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?","['injury', 'death', 'playing uno', 'coma', 'falling down']"
"Snoopy thought Charlie wanted to play fetch, but Charlie was just treating his pet what for fleas?","['house', 'cat', 'carpet', 'rug', 'dog']"
"So as not to disrupt instruction, there were always spare pencils in the what?","['on teachers desk', 'cabinet', 'classroom', 'backpack', 'store']"
"Socialising with the in crowd was tiring, she found herself always suffering what when seeing what everybody had that she didn't?","['friendships', 'making friends', 'conflicts', 'interruptions', 'jealousy']"
"Some do not enjoy getting drunk, it gives them what?","['intoxication', 'relaxation', 'fights', 'nausea', 'death']"
"Some envy children's bliss, meanwhile some children wish they were what so they could do anything they want?","['old people', 'parents', 'the president', 'grown ups', 'play with toys']"
"Some horses are white others are black, but many are this color which might lead some people to think their milk would taste like chocolate?","['big but gentle', 'kept in stables', 'cuddly', 'brown', 'running in herd']"
"Some human beings have chocolate in their pockets, what happens to them as a result?","['transcend reality', 'read newspapers', 'experience spirituality', 'melt', 'act']"
"Some kids are shy in school, so taking a shower where can be intimidating?","['bath room', 'motel room', 'pool', 'locker room', 'at hotel']"
"Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?","['riots', 'vote', 'change yourself', 'social activism', 'change clothes']"
"Some people add up to something, but others put in no effort in their lives ending with what result?","['amount to nothing', 'talking loudly', 'mathematics', 'learn from each other', 'state facts']"
"Some people are morning people, others don't get going until after lunch in the what?","['night time', 'dusk', 'nighttime', 'afternoon', 'morning']"
"Some people believe that giving assistance to those in need will remove their ability to assist themselves, building what?","['good will', 'helpfulness', 'dependence', 'smiles', 'problems']"
"Some people don't have insurance, they can expect a long wait in the waiting room when they go to the walk in what?","['maternity ward', ""dentist's office"", ""doctor's office"", 'private doctor', 'clinic']"
"Some people get carried away with shopping, they'll often be buying products they wouldn't even find themselves what?","['being able to use', 'disagreements', 'spending money', 'economic boom', 'wrapping']"
"Some people hate attending meeting, they're worried it'll bore and they will what?","['fall asleep', 'being laid off', 'result', 'understanding', 'have fun']"
"Some people have many pairs of jeans, they store them in their what?","['gap', 'mailbox', 'shopping mall', 'closet', 'thrift store']"
"Some people just keep on buying things, showing that they have a pathological need to do what?","['having to pay for', 'now own', 'using money', 'horde', 'possessing more']"
"Some people just want to get away from it all, but that can be a problem if many people are also visiting the what?","['disneyland', 'circus', 'supermarket', 'carnival', 'state park']"
"Some people like to get things from as close to the source as possible, to achieve this for a potato you'd have to go where?","['roots', 'ireland', 'soil', ""farmer's field"", 'food market']"
"Some people like to live life fast, they participate in activities that can what?","['cause death', 'spring forth', 'last 100 years', 'created', 'end']"
"Some people really enjoy others, for them socialising is a way of what?","['anxiety', 'become more popular', 'become popular', 'meeting new people', 'having fun']"
"Some people really love competing, it is usually a safe way to get out a little what?","['wins', 'defeat', 'stress', 'aggression', 'sweat']"
"Some people really loved beer, they call it what gold?","['alcohol in', 'intoxicating', 'liquid', 'hair of the dog', 'harmful']"
"Some say they are at odds, but many find solace in both science and what?","['history studies', 'geography', 'religion', 'math', 'ghosts']"
"Some stores trick women to buy products, the sales make it seem like if you buy more you what?","['get money', 'pay money', 'go shopping', 'lose money', 'save money']"
"Some times I have trouble expressing myself, but I use clothing, sometimes even ugly clothing as a form of this.","['fun', 'fashion', 'pain', 'communication', 'embarrassment']"
"Someone is putting is carpeting that can handle shoes and heavy foot traffic, where is it being installed?","['gym', 'home or office', 'bedroom', 'church', 'houses']"
"Someone left their shopping bag behind when they grabbed a bit to eat, where is the bag likely?","['atlantis', 'retail store', 'closet', 'grocery store', 'restaurant']"
"Someone who is selfish wouldn't share a sandwich with their hungry friend, someone who is what might though?","['philanthropic', 'unselfish', 'selfless', 'altruistic', 'not hungry']"
"Something I haven't done recently is have rest, how do I feel?","['were very tired', 'rested', 'worked all day', 'exhausted', 'muscles tired']"
"Sometimes a human has an office job, being seated all day means they should big a quality and comfortable what?","['chair', 'desk', 'workplace', 'internet cafe', 'submarine']"
"Sometimes fighting inflation isn't even what, because it is so negligible?","['economic instability', 'not noticeable', 'spend more', 'rising interest rates', 'boring']"
"Sometimes people are wronged, and sometimes getting revenge brings them what?","['being happy', 'satisfaction', 'ownership', 'joy', 'disappointment']"
"Sometimes people seem like robots, but really we're all just what?","['stupid', 'inhumane', 'human', 'dangerous', 'strange']"
"Sometimes playing game means losing, he wasn't good at losing though and showed lots of what?","['having fun', 'entertain', 'injury', 'enjoying', 'anger']"
"Sometimes the garbage men are sloppy, the garbage waste seems to miss the truck and end up in the where?","['street', 'sewer', 'landfile will not use for garbage', 'landfile', 'garbage dump']"
"Sometimes things don't concern people themselves, this often leads them to what about the result?","['care less', 'talk to each other', 'play golf', 'trip over', 'pay attention']"
"Sometimes when animals meet, what happens?","['fight each other', 'procreate', 'sleep', 'live lives', 'listen to each other']"
"Sometimes when people think some wrongdoing has ocurred in government, how do they react?","['talk to each other', 'cook food', 'demand justice', 'learn from each other', 'share food']"
"Sometimes when you go into a deep trance, what happens when you no longer feel attached to your body?","['meditation', 'closed eyes', 'loss of control', 'tingling', 'memory loss']"
"South America is in winter when North America is in summer, this is because it is located where?","['occident', 'america', 'southern hemisphere', 'far', 'western hemisphere']"
"Space, planets, moons and everything we can observe is part of what?","['front', 'sentence', 'universe', 'lifestyle', 'jar']"
"Sterotypically, people read the newspaper with their family early in the morning.  What is something else that people also do with their family when they first wake up?","['aggravation', 'go  for a walk', 'zip cup of tea', 'drink coffee', 'eat breakfast']"
"Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles?","['human', ""woman's body"", 'valve', 'pay debts', 'drugstore']"
"Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?","['aloft', 'overhead', 'upwards', 'upstairs', 'above']"
"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","['grief', 'confusion', 'relief', 'depression', 'happiness']"
"Stopping being married to each other seemed to be the best option, they decided to what?","['being lonely', 'argue', 'get divorced', 'legal fees', 'pleasure']"
"Stopping being married to her allowed him to again pursue his dreams, it brought him what?","['depression', 'wrong', 'relief', 'rememberance', 'pleasure']"
"Stopping being married to one another was a costly task, the lawyers and their what were astronomical?","['free time', 'pleasure', 'get divorced', 'legal fees', 'being lonely']"
"Stress can affect your mood, sometimes even leading to what?","['headache', 'high blood pressure', 'fatigue', 'depression', 'heart attacks']"
"Studying for taking final exams can be nerve wracking, especially if you're afraid of what?","['success', 'graduation', 'failure', 'anxiety', 'studying']"
"Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?","['nightclub', 'restaurant', 'miami', 'las vegas', 'new york city']"
"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?","['turn on', 'play music', 'eat cake', 'space shuttle', 'blaring']"
"Susan was a mean person. But even so, she could show what?","['mean cruel', 'friendly', 'kindness', 'nice', 'generous']"
"Susan was an ordinatry person, but her skills were not ordinary, they were what?","['exceptional', 'strange', 'spectacular', 'unusual', 'special']"
"Susan was attending a meeting of the KKK, even though she did not believe in their cause.  Why might she have been doing so?","['sharing ideas', 'sell hotdogs', 'fall asleep', 'getting information', 'sharing information']"
"Suzan is fiddling while Johnny, Jerry, and the rest are having some wild fun with not particular rhyme or pattern.  What might they be doing?","['shuffle', 'dancing about', 'troubles', 'square dancing', 'discovery']"
"Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?","['white house', 'school', ""friend's house"", 'museum', 'apartment']"
"Sweet is a great taste on its own, but it also goes great with what?","['bitter', 'salty', 'dry', 'sour', 'savory']"
"THe apiarist bought a new queen, where was the queen bound?","['england', 'beehive', 'farmyard', 'monarchy', 'deck of cards']"
"Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?","['dry mouth', 'changing behavior', 'hurt feelings', 'communicating with others', 'anger']"
"Teachers play many roles such as babysitter, but they get the most out of just simply doing what?","['answering questions', 'teach children', 'writing', 'talk too much', 'open boxes']"
"Terrorism is a nasty thing, though cause by a few it can lead to all out what?","['detonating bombs', 'help victims', 'death', 'sadness', 'war']"
"Texas has a very long shoreline, but it isn't the longest of the nearby whats?","['gulf states', 'united states', 'rivers', 'southwest', 'texoma']"
"The  broken bathroom faucet sprayed liquid high up into the air , like what?","['water fountain', 'waterfall', 'directing flow of water', 'restroom', 'sink']"
"The Andes pop up through many countries, alphabetically starting with where?","['ecuador', 'peru', 'colombia', 'bolivia', 'argentina']"
"The Blowfish make music for their lead, they are a what?","['rock band', 'sea of japan', 'atlantic ocean', 'fish market', 'seafood']"
"The CEO's curiosity about the product got the best of her, so she decided to do what with it?","['hear news', 'purchase it', 'examine thing', 'attend school', 'go to market']"
"The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?","['main course', 'prince edward island', 'ireland', 'french fries', 'idaho']"
"The Canadian was travelling, he visited where in the southwest?","['canada', 'texas', 'peru', 'oklahoma', 'new mexico']"
"The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?","['drive in movie', 'monitor', 'movies', 'home', 'theatre']"
"The Mississippi is a very large river, it is the largest in the North American what?","['wilderness', 'country', 'city', 'bridge', 'continent']"
"The Mormon owned steak house was always busy, it was a great place to visit where?","['utah', 'nebraska', 'the sun', 'new york', 'strip mall']"
"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['car', 'fuel system', 'accelerate', 'boat', 'airplane']"
"The accountant used a calculator regularly, he kept one at home and one at the what?","['desk drawer', 'desktop', 'office', 'wristwatch', 'city hall']"
"The act of traveling is simple, you're just what?","['relocation', 'disorientation', 'meeting new people', 'statue', 'getting somewhere']"
"The advertisement appeared outside of a central Wisconsin town, where was it located?","['web page', 'la ville', 'magazine', 'email', 'fargo']"
"The agent of change had a loath feeling for the king, he would set for a plan to have him what?","['recycled', 'inclined', 'disposed', 'avid', 'enthusiastic']"
"The aggressive soldiers were getting drunk, what are they at they at risk of doing with the locals?","['nausea', 'erections', 'fights', 'relaxation', 'procreation']"
"The aging rockstar had to finally stop playing guitar, his hands just wouldn't cooperate because of the what?","['singing', 'arthritis', 'listening to music', 'making music', 'playing music']"
"The agricultural specialist walked from row to row, so where was he likely?","['sequence of similar things', ""farmer's field"", 'working field', 'auditorium', 'vegetable garden']"
"The air conditioning went out during a film, and the clientele walked out due to discomfort, what were they leaving?","['house', 'offices', 'book store', 'car', 'movie theatre']"
"The aisle that John was on had macaroni, rice, and hamburger helper. What sort of store is John most likely shopping at?","['grocery store', 'church', 'drugstore', 'hardware store', 'department store']"
"The all decided to sit down on the stools, and each order a what?","['mindset', 'fart', 'relax', 'find seat', 'drink']"
"The all star was still playing ball in the championship, he wasn't one hundred percent because of a what?","['having fun', 'pleasure', 'trauma', 'injury', 'throwing']"
"The alley cats were all beginning to gather together, but one loud crash sent them all what?","['disburse', 'charming', 'scattering', 'spread', 'dispense']"
"The always greeted each other with a kiss, it was a simple way to do what?","['manipulate', 'show affection', 'companion', 'seperate', 'electrical circuit']"
