,question,choices,answer,rationales
1863,"Sometimes when animals meet, what happens?","['fight each other', 'procreate', 'sleep', 'live lives', 'listen to each other']",fight each other,
1864,"Sometimes when people think some wrongdoing has ocurred in government, how do they react?","['talk to each other', 'cook food', 'demand justice', 'learn from each other', 'share food']",demand justice,
1865,"Sometimes when you go into a deep trance, what happens when you no longer feel attached to your body?","['meditation', 'closed eyes', 'loss of control', 'tingling', 'memory loss']",loss of control,
1866,"South America is in winter when North America is in summer, this is because it is located where?","['occident', 'america', 'southern hemisphere', 'far', 'western hemisphere']",southern hemisphere,
1867,"Space, planets, moons and everything we can observe is part of what?","['front', 'sentence', 'universe', 'lifestyle', 'jar']",universe,
1868,"Sterotypically, people read the newspaper with their family early in the morning.  What is something else that people also do with their family when they first wake up?","['aggravation', 'go  for a walk', 'zip cup of tea', 'drink coffee', 'eat breakfast']",eat breakfast,
1869,"Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles?","['human', ""woman's body"", 'valve', 'pay debts', 'drugstore']",human,
1870,"Stood below the balloons and studied them closely.  As he looked to the sky, he didn't see anything holding them up.  He wondered what the balloons where?","['aloft', 'overhead', 'upwards', 'upstairs', 'above']",aloft,
1871,"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","['grief', 'confusion', 'relief', 'depression', 'happiness']",happiness,
1872,"Stopping being married to each other seemed to be the best option, they decided to what?","['being lonely', 'argue', 'get divorced', 'legal fees', 'pleasure']",get divorced,
1873,"Stopping being married to her allowed him to again pursue his dreams, it brought him what?","['depression', 'wrong', 'relief', 'rememberance', 'pleasure']",pleasure,
1874,"Stopping being married to one another was a costly task, the lawyers and their what were astronomical?","['free time', 'pleasure', 'get divorced', 'legal fees', 'being lonely']",legal fees,
1875,"Stress can affect your mood, sometimes even leading to what?","['headache', 'high blood pressure', 'fatigue', 'depression', 'heart attacks']",depression,
1876,"Studying for taking final exams can be nerve wracking, especially if you're afraid of what?","['success', 'graduation', 'failure', 'anxiety', 'studying']",failure,
1877,"Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?","['nightclub', 'restaurant', 'miami', 'las vegas', 'new york city']",las vegas,
1878,"Susan listened to the radio most of the day.  She didn't care for talk shows, so she mostly listened to the stations that did what?","['turn on', 'play music', 'eat cake', 'space shuttle', 'blaring']",play music,
1879,"Susan was a mean person. But even so, she could show what?","['mean cruel', 'friendly', 'kindness', 'nice', 'generous']",kindness,
1880,"Susan was an ordinatry person, but her skills were not ordinary, they were what?","['exceptional', 'strange', 'spectacular', 'unusual', 'special']",exceptional,
1881,"Susan was attending a meeting of the KKK, even though she did not believe in their cause.  Why might she have been doing so?","['sharing ideas', 'sell hotdogs', 'fall asleep', 'getting information', 'sharing information']",getting information,
1882,"Suzan is fiddling while Johnny, Jerry, and the rest are having some wild fun with not particular rhyme or pattern.  What might they be doing?","['shuffle', 'dancing about', 'troubles', 'square dancing', 'discovery']",dancing about,
1883,"Suzie waited in a room covered with posters of celeberties and robots.  She liked this place, but she wished it was better decorated.  Where might she be?","['white house', 'school', ""friend's house"", 'museum', 'apartment']",friend's house,
1884,"Sweet is a great taste on its own, but it also goes great with what?","['bitter', 'salty', 'dry', 'sour', 'savory']",sour,
1885,"THe apiarist bought a new queen, where was the queen bound?","['england', 'beehive', 'farmyard', 'monarchy', 'deck of cards']",beehive,
1886,"Talking to others can make you feel better, but when the people you talk to are mean, then can cause what?","['dry mouth', 'changing behavior', 'hurt feelings', 'communicating with others', 'anger']",hurt feelings,
1887,"Teachers play many roles such as babysitter, but they get the most out of just simply doing what?","['answering questions', 'teach children', 'writing', 'talk too much', 'open boxes']",teach children,
1888,"Terrorism is a nasty thing, though cause by a few it can lead to all out what?","['detonating bombs', 'help victims', 'death', 'sadness', 'war']",war,
1889,"Texas has a very long shoreline, but it isn't the longest of the nearby whats?","['gulf states', 'united states', 'rivers', 'southwest', 'texoma']",gulf states,
1890,"The  broken bathroom faucet sprayed liquid high up into the air , like what?","['water fountain', 'waterfall', 'directing flow of water', 'restroom', 'sink']",water fountain,
1891,"The Andes pop up through many countries, alphabetically starting with where?","['ecuador', 'peru', 'colombia', 'bolivia', 'argentina']",argentina,
1892,"The Blowfish make music for their lead, they are a what?","['rock band', 'sea of japan', 'atlantic ocean', 'fish market', 'seafood']",rock band,
1893,"The CEO's curiosity about the product got the best of her, so she decided to do what with it?","['hear news', 'purchase it', 'examine thing', 'attend school', 'go to market']",go to market,
1894,"The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?","['main course', 'prince edward island', 'ireland', 'french fries', 'idaho']",prince edward island,
1895,"The Canadian was travelling, he visited where in the southwest?","['canada', 'texas', 'peru', 'oklahoma', 'new mexico']",new mexico,
1896,"The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?","['drive in movie', 'monitor', 'movies', 'home', 'theatre']",theatre,
1897,"The Mississippi is a very large river, it is the largest in the North American what?","['wilderness', 'country', 'city', 'bridge', 'continent']",continent,
1898,"The Mormon owned steak house was always busy, it was a great place to visit where?","['utah', 'nebraska', 'the sun', 'new york', 'strip mall']",utah,
1899,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['car', 'fuel system', 'accelerate', 'boat', 'airplane']",airplane,
1900,"The accountant used a calculator regularly, he kept one at home and one at the what?","['desk drawer', 'desktop', 'office', 'wristwatch', 'city hall']",office,
1901,"The act of traveling is simple, you're just what?","['relocation', 'disorientation', 'meeting new people', 'statue', 'getting somewhere']",getting somewhere,
1902,"The advertisement appeared outside of a central Wisconsin town, where was it located?","['web page', 'la ville', 'magazine', 'email', 'fargo']",la ville,
1903,"The agent of change had a loath feeling for the king, he would set for a plan to have him what?","['recycled', 'inclined', 'disposed', 'avid', 'enthusiastic']",disposed,
1904,"The aggressive soldiers were getting drunk, what are they at they at risk of doing with the locals?","['nausea', 'erections', 'fights', 'relaxation', 'procreation']",fights,
1905,"The aging rockstar had to finally stop playing guitar, his hands just wouldn't cooperate because of the what?","['singing', 'arthritis', 'listening to music', 'making music', 'playing music']",arthritis,
1906,"The agricultural specialist walked from row to row, so where was he likely?","['sequence of similar things', ""farmer's field"", 'working field', 'auditorium', 'vegetable garden']",farmer's field,
1907,"The air conditioning went out during a film, and the clientele walked out due to discomfort, what were they leaving?","['house', 'offices', 'book store', 'car', 'movie theatre']",movie theatre,
1908,"The aisle that John was on had macaroni, rice, and hamburger helper. What sort of store is John most likely shopping at?","['grocery store', 'church', 'drugstore', 'hardware store', 'department store']",grocery store,
1909,"The all decided to sit down on the stools, and each order a what?","['mindset', 'fart', 'relax', 'find seat', 'drink']",drink,
1910,"The all star was still playing ball in the championship, he wasn't one hundred percent because of a what?","['having fun', 'pleasure', 'trauma', 'injury', 'throwing']",injury,
1911,"The alley cats were all beginning to gather together, but one loud crash sent them all what?","['disburse', 'charming', 'scattering', 'spread', 'dispense']",scattering,
1912,"The always greeted each other with a kiss, it was a simple way to do what?","['manipulate', 'show affection', 'companion', 'seperate', 'electrical circuit']",show affection,
1913,"The amount of effort put into the losing project was negligible, how much effort was put into the winning project?","['significant', 'considerable', 'important', 'unignorable', 'useful']",considerable,
1914,"The anemone was being harvested for sale in New York, where was it likely taken from?","['tide pool', 'nursery', 'michigan', 'atlantic ocean', 'ocean floor']",atlantic ocean,
1915,"The animals didn't have any sense of shame.  They just had sex by the water, and sometimes dipped in to do what?","['feel pain', 'bathe', 'die of cancer', 'copulate', 'attack']",bathe,
1916,"The animals had eaten and taken a mud bath in the sun, what happened to them as a result?","['feel pleasure', 'die of cancer', 'procreate', 'baked', 'pass water']",feel pleasure,
1917,"The animals were acting rabid at the sight of a bucket, why?","['fight each other', 'need to eat', 'feared the bucket', 'feel pain', 'live lives']",need to eat,
1918,"The animals were not thirsty, so what did they do when they were by the river?","['feel pain', 'fly', 'pass water', 'die of cancer', 'feel pleasure']",pass water,
1919,"The animals weren't good at swimming, so it was hard for them to do what?","['pass water', 'bathe', 'listen to each other', 'feel pleasure', 'reproduce asexually']",pass water,
1920,"The annoying person always had a comment to share, he must think he must what?","['know everything', 'compliments', 'confidence', 'care about', 'spare time']",know everything,
1921,"The antarctic ocean touches a few others, but the next in line alphabetically is which one?","['indian ocean', 'atlantic', 'antarctic', 'medium', 'pacific']",atlantic,
1922,"The apple tree was located outside the car factory, it was one of many where?","['maine', 'india', 'oregon', 'washington state', 'detroit']",detroit,
1923,"The arch was just one of many sites to see, but most preferred the stained glass at the what?","['doorway', 'cathedral', 'ancient rome', 'building', 'chapel']",cathedral,
1924,"The archaeologist was seeing artifacts that he had lost long ago while reading a textbook, what did this bring up?","['painful memories', 'poor planning', 'thinking', 'learning', 'angry']",painful memories,
1925,"The archaeologist was seeing artifacts that he knew were fake, how did he feel?","['pleasure', 'awe inspiring', 'angry', 'thinking', 'painful memories']",angry,
1926,"The archaeologist was seeing artifacts that made no sense, so what did he do?","['angry', 'thinking', 'painful memories', 'consider the options', 'learning']",thinking,
1927,"The argument was becoming more heated, but when somebody threw fruit at another is when things really started to what?","['taste sweet', 'market', 'go off', 'keep fresh', 'become ripe']",go off,
1928,"The art project called for a big wooden rod, so she went where to get one?","['hardware store', 'tree stump', 'old clock', 'old houses', 'broom closet']",hardware store,
1929,"The artificial intelligence was constantly analysing the data, it was programmed to always be what?","['learning more about', 'healing', 'better knowledge', 'enlightened', 'change']",learning more about,
1930,"The artist didn't use many colors to capture the view, he was famous for his very plain what?","['landscape', 'east side', 'countryside', 'middle america', 'georgia']",landscape,
1931,"The artist felt creating art was more than just making a picture, he felt his work had to evoke what?","['strong emotion', 'work of art', 'pleasure', 'anger', 'enlightenment']",strong emotion,
1932,"The artist knew that this was the peak of his fandom, so he decided it was time for cashing in by doing what?","['selling out', 'happy', 'fishing', 'receiving money', 'getting paid']",selling out,
1933,"The artist used a stylus on a pad to draw digitally, he kept a very steady what?","['foot', 'record player', 'palm pilot', 'ink', 'hand']",hand,
1934,"The artists created an elaborate wood carving for the location, it was a spiritual experience for him working at a where?","['synagogue', 'carpet', 'street', 'tree', 'lumberyard']",synagogue,
1935,"The astronaut wanted to find the United States from outer space, so where did he aim his spacecraft?","['history book', 'atlas', 'map', 'towards ocean', 'northern hemisphere']",northern hemisphere,
1936,"The astronauts were trying to figure out how to get to the moon, where did they have to pas through first?","['night sky', 'universe', 'atmosphere', 'outer space', 'air']",outer space,
1937,"The atheist extolled virtues of secular thought, what ideas was he likely opposing?","['eternal', 'religious', 'church', 'monastic', 'unpredictable']",religious,
1938,"The athlete needed cooling off, but after ten seconds in an ice bath he had the whats?","['calm down', 'chills', 'loss of heat', 'better decisions', 'bloated']",chills,
1939,"The athlete was competing in a race and saw the finish line, what did he feel as a result?","['strength', 'increased effort', 'vain thoughts', 'adrenaline rush', 'winning or losing']",adrenaline rush,
1940,"The attack took the player by surprise, he say the game was over and his opponent would win so he decided to just what?","['work harder', 'cease fire', 'surrender', 'defend', 'defence']",surrender,
1941,"The audience watched the principal speaking, where were they seated?","['sporting event', 'lecture', 'school', 'concert hall', 'hockey game']",school,
1942,"The automaton wanted to save money like normal humans, what did it need to learn about?","['museum', 'banking', 'science fiction plot', 'lab', 'computer work']",banking,
1943,"The automobile was left outside when the man got home from work, where was i left?","['exit ramp', 'repair shop', 'driveway', 'front yard', 'garage']",driveway,
1944,"The baby came unexpectedly, what did it do?","['died', 'boy or girl', 'learn to walk', 'talk nonsense', 'arrive early']",arrive early,
1945,"The baby heard his mom talk for months, what did he do as a result?","['learn to speak', 'talk nonsense', 'talk rubbish', 'boy or girl', 'begin to talk']",begin to talk,
1946,"The baby was thirsty, so it's mother allowed it to do what?","['arrive on time', 'bring joy', 'nurse', 'boy or girl', 'earn to speak']",nurse,
1947,"The bachelor didn't bother cleaning his sink, where was the unfortunate sink located?","['chemistry lab', 'front desk', 'apartment', 'laundry room', 'laboratory']",apartment,
1948,"The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?","['retail store', 'refrigerator', 'supermarket', 'car trunk', 'storage cabinet']",storage cabinet,
1949,"The back courtyard led to a walkout basement, where was it attached to?","['suburbs', 'large house', 'farm house', 'palace', 'country estate']",large house,
1950,"The back courtyard was common feature of every house in the neighborhood, where could they be found?","['palace', 'poor suburbs', 'suburbs', 'country estate', 'large house']",suburbs,
1951,"The baker got a new delivery of sugar, he opened the bag and poured it in the storage what?","['container', ""neighbor's house"", 'kitchen', 'coffee', 'pancake mix.']",container,
1952,"The bald eagle avoided big cities, what kinds of place did he prefer to be?","['canada', 'maine', 'countryside', 'united states of america', 'florida']",countryside,
1953,"The bald eagle can be a symbol, it elicits feeling of patriotism where?","['forrest', 'grand canyon', 'canada', 'u.s', 'india']",u.s,
1954,"The bald eagle has been a protected species, this is in part due to a dwindling what?","['nest', 'everglades', 'high places', 'in washington', 'natural habitat']",natural habitat,
1955,"The bald eagle made a nest in a tree surrounded by others, it made it's home in a vast what?","['u.s', 'forrest', 'grand canyon', 'park', 'canada']",forrest,
1956,"The bald eagle was perched on a redwood, what region was it in?","['pacific northwest', 'michigan', 'washington state', 'northern california', 'in washington']",northern california,
1957,"The ball was in Lucy's court, which was good, since she played handball here all the time.  Where might she be/","['field', 'street', 'playground', 'bearing', 'gymnasium']",gymnasium,
1958,"The balloon was purchased along with other weekly household essentials, where was it purchased?","['birthday party', ""child's hand"", 'clown', 'grocery store', 'sky']",grocery store,
1959,"The band enjoyed their success and fans, they loved to what at the start of every concert?","['hear crowd go mad', 'working hard', 'clap', 'reproduce', 'celebrate']",hear crowd go mad,
1960,"The band was performing live, but if you looked close enough you'd realize the sound was previously what?","['animated', 'broadcast', 'recorded', 'mixed', 'neutral']",recorded,
1961,"The banjo finds it's history in the Caribbean, but it's probably most famous where?","['music shop', 'music store', 'jug band', 'united states', 'among nice people']",united states,
1962,"The banjo was sent off to be sold retail after it was built, where was it bound?","['united states', 'office', 'music store', 'music shop', 'jug band']",music store,
1963,"The barn was torn to shreds and all the pieces of board became one projectile after another flying through the air, it was a powerful what?","['tornado', 'weapon', 'baseball', 'air', 'canon']",tornado,
1964,"The bat was abducted and absconded to top secret government facilities, where did this happen?","['office building', 'new mexico', 'bridge', 'belfry', 'dug out']",new mexico,
1965,"The bathroom was dirty and messy.  It was cleaned every day, but it was always full of water and pee by morning.  Where is the bathroom located?","['school', 'at hotel', ""neighbor's house"", 'college', 'flat']",school,
1966,"The battleship fleet had all sorts of ships, the small one was called a what?","['submarine', 'corvette', 'destroyer', 'gambit', 'frigate']",frigate,
1967,"The beach had a pathway for riding bike, peacefully cruising along brought many what?","['enjoyment', 'pleasure', 'falling down', 'anger', 'get somewhere']",pleasure,
1968,"The beautiful women walked up and down the catwalk, the cameras flashed and everybody was enjoying the what?","['performance', 'theater', 'fashion show', 'construction site', 'theatre']",fashion show,
1969,"The beaver swam through the country he symbolized, where was he likely to be?","['japan', 'ontario', 'washington', 'woodlands', 'books']",ontario,
1970,"The bedroom is pretty much the only room, that's the common layout where?","['dwelling', 'apartment', 'bed and breakfast', 'at hotel', 'loft']",at hotel,
1971,"The bee had to be shipped down south to avoid the cold winter, where was it originally from?","['michigan', 'united states', 'sky', 'china', 'apiary']",michigan,
1972,"The best place for the troublemaker to sneak a smoke while he was in where, was in the bathroom?","['playground', 'school', 'at hotel', 'theater', 'convenience store']",school,
1973,"The big man was all size and no talent, but the coach taught him to defend the key and make it his home on the what?","['action', 'florida', 'basketball court', 'pocket', 'purse']",basketball court,
1974,"The bill was passed in hopes of fighting inflation on the products, but it failed to force the companies into what?","['raising interest rates', 'lowering prices', 'higher interest rates', 'save money', 'sell more products']",lowering prices,
1975,"The billionaire donated a large sum to his former college, this allowed them to construct a new science what?","['fraternity house', 'bank', 'big town', 'big city', 'building']",building,
1976,"The bird flew around and around, finally it landed on a branch with its what?","['having for pet', 'falling down', 'feathers', 'two legs', 'two wings']",two legs,
1977,"The bird is young and still nesting, what does it need to do soon to move on?","['spread wings', 'squawk', 'learn to fly', 'attempt to fly', 'catch food']",learn to fly,
1978,"The bird is young and still nesting, what is it likely to do soon?","['spread wings', 'learn to fly', 'squawk', 'swim', 'attempt to fly']",attempt to fly,
1979,"The bird was tired, where did it land?","['cage', 'sky', 'on the head of a man', 'roof', 'countryside']",roof,
1980,"The birds were looking around in August, what were they looking to do?","['breathe', 'sky', 'build a nest', 'pick berries', 'reproduce']",pick berries,
1981,"The blade would catch the air and turn, this powered the what engine to create power?","['machine', 'windmill', 'turbine', 'propeller', 'rollerblade']",turbine,
1982,"The blood was everywhere in the operating room, what were the surgeons operating on?","['soccer game', 'musle', 'vein', 'animals', 'person']",person,
1983,"The blowfish was being served at a Michelin starred restaurant, where was this likely happening?","['france', 'japan', 'atlantic ocean', 'fish market', 'books']",france,
1984,"The board game instructed that you must conquer opponent, only the what would come out on top?","['top piece', 'strong', 'win', 'total domination', 'best']",best,
1985,"The body guard was good at his duties, he made the person who hired him what?","['better job', 'irritated', 'feel safe', 'save money', 'headache']",feel safe,
1986,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?","['shoe box', 'suitcase', 'synagogue', 'briefcase', 'backpack']",briefcase,
1987,"The bookshop only sold specialty items, so where should someone go for popular books?","['shopping center', 'department store', 'student union', 'mall', 'school']",department store,
1988,"The bookshop specializes in course texts, where is it located?","['mall', 'sea shore', 'shopping center', 'student union', 'department store']",student union,
1989,"The boss gave him the money to appease the clients, he had to what?","['buy a train ticket', 'create art', 'apply for job', 'take care of proposals', 'stand in line']",take care of proposals,
1990,"The botanist knew the plant was living, what did he observe that led him to know that?","['interaction', 'death', 'respiration', 'expiration', 'chlorophyll']",respiration,
1991,"The boy had a lot of might, but he had something else, and the villain learned how to exploit his what?","['definitely', 'weak', 'weakness', 'wont', 'will']",weakness,
1992,"The boy is good at making friends, what happens as an immediate and obvious result?","['popularity', 'having friends', 'happiness', 'conflict', 'good feeling']",having friends,
1993,"The boy pondered commititng suicide, but didn't think of the consequences, what would he do should he carry though with it?","['extreme pain', 'die', 'dying', 'interruption', 'sit down']",die,
1994,"The boy was popular, but because of the things he liked he was considered a bit of a what?","['disliked', 'weirdo', 'nerdy', 'unknown', 'geek']",geek,
1995,"The boy was too nervous to dance, so what was he doing progressively at the ball?","['dance like crazy', 'standing still', 'wallflower', 'stand still', 'like dancing']",standing still,
1996,"The boy's mind was not right.  He couldn't care for himself, so he had to be what?","['play tricks on', 'form images', 'tended', 'michigan', 'mindblown']",tended,
1997,"The broadcast studio had a booth set up for interviews, the host sat down and adjusted his what so the audience could hear?","['large room', 'microphone', 'guest speaker', 'radio station', 'television station']",microphone,
1998,"The brothers were punching angrily, why would they do that?","['cause pain', 'to defend themselves.', 'broken bones', 'bruise', 'pain for']",cause pain,
1999,"The buffalo was hunted until it was scare, but after much effort and many years they are now what again?","['available', 'endangered', 'plentiful', 'common', 'abundant']",abundant,
2000,"The buffalo were big thick and easy to spot, but the were hunted to the point that their numbers were what?","['thin', 'stomach', 'clear', 'sparse', 'thickskin']",sparse,
2001,"The building could accommodate many people.  The entrance hall alone was impressive, being wide enough to admit a hundred shoulder to shoulder.  But the building was owned by a billionaire and used only for his personal entertainment.  How would you describe this place?","['convention center', 'public building', 'large building', 'school', 'town hall']",large building,
2002,"The building was ready for flooring, and that's where the flooring who came in to the picture?","['builders', 'architect', 'target', 'tornado', 'tradesmen']",tradesmen,
2003,"The buildings were designed to hold a lot of people, where should it be built?","['small', 'in a hole', 'large city', 'university', 'town']",large city,
2004,"The bull was old, but it still had enough energy to have a lot of sex.  It wasn't what?","['charge rider', 'bullbleep', 'female', 'cow', 'feeble']",feeble,
2005,"The bully said mean words, what was the affect on others?","['mean many things', 'hurt people', 'hurtful', 'ring true', 'fighting']",hurt people,
2006,"The bungalow overlooked a sidewalk and welcomed spontaneous interaction, where was it located?","['suburbia', 'gated community', 'suburbs', 'neighborhood', 'woods']",neighborhood,
2007,"The bus stop implemented a size restriction for luggage, where was the bus stop going?","['boarding bus', 'city', 'fast', 'urban area', 'airport']",airport,
2008,"The bus stop was downtown, who likely is responsible for operating it?","['city', 'urban area', 'towns', 'bus operator', 'airport']",city,
2009,"The business man had a big meeting that day, but his small child had gotten marker all over his fancy leather what?","['drawer', 'desk', 'briefcase', 'medium', 'office supply store']",briefcase,
2010,"The business meeting was more casual and not standard protocol, what was it like?","['informal', 'nonstandard', 'colloquial', 'stanine', 'standard wing']",informal,
2011,"The cabin wasn't as small as it seemed.  It was, in fact, multiple bunkrooms connected by a what?","['room', 'hall', 'palace', 'spacecraft', 'villa']",hall,
2012,"The cafe had seating outside, but you could also sit inside the what?","['paris', 'large city', 'jail', 'london', 'building']",building,
2013,"The calm seas weren't going to stay that way long, their sails filled as it got what?","['disturbed', 'stressed', 'give up', 'windy', 'flustered']",windy,
2014,"The camper looked up at the vast night sky, it left him feeling mighty what?","['unimportant', 'insignificant', 'stellar', 'somewhat', 'helpless']",insignificant,
2015,"The car had its turn signal one, where was it stopped?","[""neighbor's house"", 'in phoenix', 'repair shop', 'sidewalk', 'street corner']",street corner,
2016,"The car hit a post, but the driver didn't stop.  He did what?","['seatbelt', 'suffer damage', 'gain speed', 'slow down', 'rush away']",rush away,
2017,"The car hit the curb at high speed, what happened as a result?","['go downtown', 'roll over', 'appear suddenly', 'bottom out', 'dissappeared']",bottom out,
2018,"The car needed to be parked while the crew refinished his driveway, where did he park it?","['parking lot', 'street corner', 'in phoenix', 'garden', ""neighbor's house""]",neighbor's house,
2019,"The car preferred hunting in the dark, what ability did it have that its prey did not?","['night time', 'run away', 'sleep all day', 'see at night', 'cast shadow']",see at night,
2020,"The car was out in the sun all day, what happened to the interior?","['set off', 'melted', 'heat up', 'back up', 'red']",heat up,
2021,"The car was overheating, where was it located?","['airport', ""neighbor's house"", 'in phoenix', 'repair shop', 'street corner']",in phoenix,
2022,"The carpet needed to be calm and and productive, where was it being installed?","['building', 'floor', 'bowling alley', 'office', 'church']",office,
2023,"The cars were all fully loaded, and had spacious whats?","['bumpers', 'windows', 'seat belts', 'trunks', 'heavy']",trunks,
2024,"The cashier enjoyed her job.  Her workplace was informal, and she loved antiques. Where might she be working.","['fast food restaurant', 'bookstore', 'supermarket', 'shop', 'grocery store']",shop,
2025,"The cat pawed demurely at the couch and walked in front of the TV, where was the cat?","['family room', 'back yard', 'residential area', 'bathroom', 'comfortable position']",family room,
2026,"The cat saw animal control approaching her, what did she decide to do?","['sleep all day', 'cast shadow', 'run away', 'bark like a dog', 'see at night']",run away,
2027,"The cat seemed calm around the stranger, but it was actually quite what and ready to claw?","['medium', 'excited', 'agitated', 'frantic', 'frenzied']",agitated,
2028,"The catwalk was five stories up and exposed, everybody had to wear helmets and harnesses at the where?","['mountain', 'construction site', 'theatre', 'fieldhouse', 'fashion show']",construction site,
2029,"The central passage was a big arched hallway, you could pay your bills or register to vote at this what?","['public building', 'thunderdome', 'access rooms', 'tomb', 'arena']",public building,
2030,"The chain kept coming off of Bill's bike.  Because of this, you couldn't use what?","['gear shift', 'wheels', 'garage', 'hardware store', 'motorbike']",gear shift,
2031,"The champagne was good, it was both sweet and what?","['bitter', 'decaying', 'spicy', 'sour', 'dry']",dry,
2032,"The chief of police was answering questions as fast as possible, what was he trying to avoid?","['anger', 'teaching', 'confusion', 'panic', 'satisfaction']",panic,
2033,"The child always talked about being hungry, but the mom was in a hurry, what did the child have to do?","['wash dishes', 'eat vegetables', 'eat quickly', 'have food', 'eat hamburger']",eat quickly,
2034,"The child asked what a mammoth was, so his grandpa got a volume of the what out to show the child?","['ancient times', 'excavations', 'south dakota', 'encyclopedia', 'backyard']",encyclopedia,
2035,"The child couldn't lift the box of lead, it was what?","['toxic', 'light', 'isolated from sulphide pbs', 'very heavy', 'very dense']",very heavy,
2036,"The child had learned music by ear, he had never even seen it what?","['opera', 'written on paper', 'composed', 'teacher', 'stolen']",written on paper,
2037,"The child had never seen a jellyfish in real life, he had only seen them in a what?","['pacific ocean', 'shore', 'tank', 'movie', 'sea']",movie,
2038,"The child ran to fast and hit his foot on a rock, what happened next?","['play tag', 'fall down', 'flying rock', 'breathe', 'become adult']",fall down,
2039,"The child really enjoyed the movie, while she liked lady her brother liked who?","['guy', 'lower class', 'look pretty', 'tramp', 'gentlemen']",tramp,
2040,"The child really wanted to teach his grandpa to read, he thought it was wrong that he had spent his whole life what?","['ignore', 'write', 'learn new things', 'illiterate', 'having fun']",illiterate,
2041,"The child remarked that despite the name the famous bridge was red, this site was just one of the many highlights of the family vacation where?","['california', 'river valley', 'over water', 'dentist', 'neverland']",california,
2042,"The child wanted his cereal bowl and knew he could reach it, where would he find it?","['breakfast food', 'china shop', 'kitchen cabinet', 'refrigerator', 'cupboard']",kitchen cabinet,
2043,"The child wanted to test electricity, so what did he feel as a result?","['cause fire', 'shock', 'short fuse', 'kill if used improperly', 'produce heat']",shock,
2044,"The child was asked where his ear is, what did the child respond with?","[""person's head"", ""serial killer's bedroom"", 'ground', 'side of head', 'missing']",side of head,
2045,"The child was complaining of boredom, so his dad began to goof around to do what?","['entertain', 'listen to music', 'play chess', 'knit sweaters', 'meet interesting people']",entertain,
2046,"The child was curious about something, what did he do?","['grow up', 'become adult', 'ask questions', 'play games', 'acting out']",ask questions,
2047,"The child was lonely, what did he want from his parents?","['overabundance', 'comprehensive', 'plentitude', 'superabundance', 'presence']",presence,
2048,"The child was pretending he was in space, regular items were parts of his spaceship thanks to his what?","['acting skills', 'imagining', 'creativity', 'making up story', 'alien intelligence']",imagining,
2049,"The child was skipping pebbles in nature, so where was he?","['street', 'playground', 'parking lot', 'aquarium', 'pond']",pond,
2050,"The child was spiteful of his parents, what did he do?","['become adult', 'succeeded', 'grow up', 'ask questions', 'acting out']",acting out,
2051,"The child was suffering from neglect, luckily the teach took what?","['regard', 'taking care', 'consideration', 'assumed', 'notice']",notice,
2052,"The children all got their shot to become actors, the school was putting on a what?","['movies', 'television', 'fancy dress', 'play', 'show']",play,
2053,"The children had been using television all Saturday morning, their parents made them go outside and play before they all suffered what?","['entertained', 'visual', 'boredom', 'eye strain', 'laziness boredom']",eye strain,
2054,"The children play cards often, but they make their own rules because they can't what the originals?","['bid', 'concentrate', 'winning', 'count', 'remember']",remember,
2055,"The children saw superman fly overhead, what did they exclaim as a result?","['ouch', 'skip', 'enjoyed', 'awesome', 'watch television']",awesome,
2056,"The children thought it was a good movie, they began to play they were in the movie and what they were the characters?","['cry', 'go to movie', 'pretend', 'stand in line', 'wait in line']",pretend,
2057,"The children were going to play, the parents encouraged it hoping it resulted in what?","['being entertained', 'spending money', 'intermission', 'weight loss', 'sleepiness']",sleepiness,
2058,"The children were making each other laugh, they did this via what?","['play ball', 'reading a book', 'jump rope', 'tickle', 'see exhibits']",tickle,
2059,"The children were running late for school, after eating breakfast they left behind their what?","['being satisfied', 'dirty dishes', 'bad breath', 'blue bus', 'gas']",dirty dishes,
2060,"The christian Sunday school teacher gave out a punishment, this happened when the students did what to her orders?","['stumble', 'rebel', 'disobey', 'go astray', 'commit sin']",disobey,
2061,"The christian rock band was on a large stage, the singer's foot got caught on a wire and he had a small what?","['commit sin', 'fail', 'disobey', 'stumble', 'boo boo']",stumble,
2062,"The churchyard looked peaceful after the fresh snow, the frozen great lake added to the serene scene where?","['england', 'maine', 'michigan', 'country side', 'city']",michigan,
2063,"The churchyard was the furthest east in all the contiguous states, it was located in which?","['country side', 'near the ocean', 'city', 'michigan', 'maine']",maine,
2064,"The circus monkey waived a white surrender flag, the conductor joked the monkey must work in the what?","['french government', ""friend's house"", 'zoo', 'south africa', 'madagascar']",french government,
2065,"The class got to tour the launch pad, one student looked up imagining all the shuttle launches from where?","['nasa', 'space center', 'movie', 'florida', 'cape kennedy']",cape kennedy,
