question,premise,hypothesis,rationales,split,correct_index,LLM_answer
A man with a black shirt watching a baby.</s>George washington sails the sea.,A man with a black shirt watching a baby.,George washington sails the sea.,"9. The most likely answer is ""contradiction"". The premise describes a man with a black shirt watching a baby, which has no relationship to the hypothesis that George Washington sails the sea."," is ""contradiction"". the premise describes a man with a black shirt watching a baby, which has no relationship to the hypothesis that george washington sails the sea.",{'contradiction': 5},contradiction
A young man is riding a very small bike in the city.</s>A man is dodging traffic as he rides his bike through the city.,A young man is riding a very small bike in the city.,A man is dodging traffic as he rides his bike through the city.,"10. The most likely answer is ""entailment"". The premise describes a young man riding a very small bike in the city, which implies that he is dodging traffic as he rides his bike through the city."," is ""entailment"". the premise describes a young man riding a very small bike in the city, which implies that he is dodging traffic as he rides his bike through the city.",{'entailment': 5},entailment
"Large group of people, most setting down on a walkway with two boys standing up holding plates.</s>Someone holded nameplate in hand.","Large group of people, most setting down on a walkway with two boys standing up holding plates.",Someone holded nameplate in hand.,"1. The most likely answer is ""contradiction"" because the premise states that two boys are holding plates, not nameplates."," is ""contradiction"" because the premise states that two boys are holding plates, not nameplates.",{'contradiction': 5},contradiction
A young couple relaxing against a stone wall.</s>a young couple are talking about their future next to a stone wall,A young couple relaxing against a stone wall.,a young couple are talking about their future next to a stone wall,"2. The most likely answer is ""neutral"" because the premise does not provide any information about whether the couple is talking about their future."," is ""neutral"" because the premise does not provide any information about whether the couple is talking about their future.",{'neutral': 5},neutral
A sky-view of men digging a hole through concrete.</s>A drone films the scene below.,A sky-view of men digging a hole through concrete.,A drone films the scene below.,"3. The most likely answer is ""entailment"" because the hypothesis states that a drone is filming the scene below, which is consistent with the premise of a sky-view."," is ""entailment"" because the hypothesis states that a drone is filming the scene below, which is consistent with the premise of a sky-view.",{'entailment': 5},entailment
A couple posing for the camera with rain jackets on.</s>A couple posing for the camera outside with rain jackets on.,A couple posing for the camera with rain jackets on.,A couple posing for the camera outside with rain jackets on.,"4. The most likely answer is ""entailment"" because the hypothesis adds additional information to the premise by specifying that the couple is outside."," is ""entailment"" because the hypothesis adds additional information to the premise by specifying that the couple is outside.",{'entailment': 5},entailment
A black dog is in midair as a woman behind it cheers.</s>dog performs trick for the first time,A black dog is in midair as a woman behind it cheers.,dog performs trick for the first time,"5. The most likely answer is ""entailment"" because the hypothesis states that the dog is performing a trick, which is implied by the premise of the dog being in midair."," is ""entailment"" because the hypothesis states that the dog is performing a trick, which is implied by the premise of the dog being in midair.",{'entailment': 5},entailment
three people sit on a bench outside.</s>Some people are sitting on a bench.,three people sit on a bench outside.,Some people are sitting on a bench.,"6. The most likely answer is ""entailment"" because the hypothesis adds additional information to the premise by specifying that there are people sitting on the bench."," is ""entailment"" because the hypothesis adds additional information to the premise by specifying that there are people sitting on the bench.",{'entailment': 5},entailment
A man and a woman are standing in the grass talking with the man's arm around the woman's shoulder.</s>They are outdoors.,A man and a woman are standing in the grass talking with the man's arm around the woman's shoulder.,They are outdoors.,"7. The most likely answer is ""entailment"" because the hypothesis states that they are outdoors, which is consistent with the premise of them standing in the grass."," is ""entailment"" because the hypothesis states that they are outdoors, which is consistent with the premise of them standing in the grass.",{'entailment': 5},entailment
People are walking together on a street.</s>People walking together to a bar.,People are walking together on a street.,People walking together to a bar.,"8. The most likely answer is ""neutral"" because the hypothesis does not provide any additional information or contradict the premise."," is ""neutral"" because the hypothesis does not provide any additional information or contradict the premise.",{'neutral': 5},neutral
A woman in pink with a camera.</s>She is wearing a purple shirt.,A woman in pink with a camera.,She is wearing a purple shirt.,"9. The most likely answer is ""contradiction"" because the hypothesis states that the woman is wearing a purple shirt, which contradicts the premise of her being in pink."," is ""contradiction"" because the hypothesis states that the woman is wearing a purple shirt, which contradicts the premise of her being in pink.","{'contradiction': 5, 'contradicts': 98}",contradiction
"An elder man is examining cleaning products in an aisle at Walmart.</s>An elder man is drinking coffee in the,morning.",An elder man is examining cleaning products in an aisle at Walmart.,"An elder man is drinking coffee in the,morning.","10. The most likely answer is ""neutral"" because the hypothesis does not provide any additional information or contradict the premise."," is ""neutral"" because the hypothesis does not provide any additional information or contradict the premise.",{'neutral': 5},neutral
Martial arts students practice outside building.</s>A group of musicians is having a jam session in a nightclub's back room.,Martial arts students practice outside building.,A group of musicians is having a jam session in a nightclub's back room.,"1. Most likely answer: Contradiction. This is because the premise states that martial arts students are practicing outside, while the hypothesis suggests that musicians are having a jam session indoors in a nightclub. These two statements contradict each other as they describe different locations and activities.",": contradiction. this is because the premise states that martial arts students are practicing outside, while the hypothesis suggests that musicians are having a jam session indoors in a nightclub. these two statements contradict each other as they describe different locations and activities.",{'contradiction': 2},contradiction
A person with a large bag walking on the sidewalk next to a large brick wall.</s>A person is riding his bike.,A person with a large bag walking on the sidewalk next to a large brick wall.,A person is riding his bike.,"2. Most likely answer: Neutral. The premise describes a person with a large bag walking on the sidewalk, while the hypothesis suggests that a person is riding a bike. These two statements do not directly contradict each other, but they also do not necessarily imply or entail each other either.",": neutral. the premise describes a person with a large bag walking on the sidewalk, while the hypothesis suggests that a person is riding a bike. these two statements do not directly contradict each other, but they also do not necessarily imply or entail each other either.",{'neutral': 2},neutral
A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.</s>Everyone in the photo is riding a bicycle.,A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.,Everyone in the photo is riding a bicycle.,"3. Most likely answer: Neutral. The premise describes a woman and man with bikes standing by a man with a guitar, while the hypothesis states that everyone in the photo is riding a bicycle. These statements are related, but the premise does not explicitly confirm or deny the hypothesis, so it is not a contradiction.",": neutral. the premise describes a woman and man with bikes standing by a man with a guitar, while the hypothesis states that everyone in the photo is riding a bicycle. these statements are related, but the premise does not explicitly confirm or deny the hypothesis, so it is not a contradiction.","{'neutral': 2, 'contradiction': 282}",neutral
Three women standing together talk with each other.</s>A few women are having a discussion.,Three women standing together talk with each other.,A few women are having a discussion.,"4. Most likely answer: Entailment. The premise states that three women are standing together and talking, while the hypothesis suggests that a few women are having a discussion. The premise necessarily includes the hypothesis since three women talking implies that at least a few women are having a discussion.",": entailment. the premise states that three women are standing together and talking, while the hypothesis suggests that a few women are having a discussion. the premise necessarily includes the hypothesis since three women talking implies that at least a few women are having a discussion.",{'entailment': 2},entailment
A girl in a pink jacket looking intently at something that a girl in black is doing.</s>A girl has a pink jacket.,A girl in a pink jacket looking intently at something that a girl in black is doing.,A girl has a pink jacket.,"5. Most likely answer: Entailment. The premise describes a girl in a pink jacket looking at something a girl in black is doing, while the hypothesis states that a girl has a pink jacket. The premise necessarily includes the hypothesis since it confirms that there is indeed a girl in a pink jacket.",": entailment. the premise describes a girl in a pink jacket looking at something a girl in black is doing, while the hypothesis states that a girl has a pink jacket. the premise necessarily includes the hypothesis since it confirms that there is indeed a girl in a pink jacket.",{'entailment': 2},entailment
A tired old man in a tan outfit relaxing by a fountain in the park.</s>an old man is sleeping,A tired old man in a tan outfit relaxing by a fountain in the park.,an old man is sleeping,"6. Most likely answer: Contradiction. The premise describes a tired old man relaxing by a fountain, while the hypothesis suggests that an old man is sleeping. These two statements contradict each other as they describe different activities.",": contradiction. the premise describes a tired old man relaxing by a fountain, while the hypothesis suggests that an old man is sleeping. these two statements contradict each other as they describe different activities.",{'contradiction': 2},contradiction
There is a kid jumping off a diving board into a pool.</s>A kid is sitting on the park bench.,There is a kid jumping off a diving board into a pool.,A kid is sitting on the park bench.,"7. Most likely answer: Contradiction. The premise states that there is a kid jumping off a diving board into a pool, while the hypothesis suggests that a kid is sitting on a park bench. These two statements contradict each other as they describe different locations and activities.",": contradiction. the premise states that there is a kid jumping off a diving board into a pool, while the hypothesis suggests that a kid is sitting on a park bench. these two statements contradict each other as they describe different locations and activities.",{'contradiction': 2},contradiction
A room of young adults are using computer and read books.</s>The people are studying.,A room of young adults are using computer and read books.,The people are studying.,"8. Most likely answer: Entailment. The premise describes a room full of young adults using computers and reading books, while the hypothesis states that the people are studying. The premise necessarily includes the hypothesis since using computers and reading books can be considered as studying.",": entailment. the premise describes a room full of young adults using computers and reading books, while the hypothesis states that the people are studying. the premise necessarily includes the hypothesis since using computers and reading books can be considered as studying.",{'entailment': 2},entailment
A boy in a Marvel comics shirt is brushing his teeth in front of a sink.</s>The man is sitting on the toilet.,A boy in a Marvel comics shirt is brushing his teeth in front of a sink.,The man is sitting on the toilet.,"9. Most likely answer: Contradiction. The premise describes a boy in a Marvel comics shirt brushing his teeth, while the hypothesis suggests that a man is sitting on the toilet. These two statements contradict each other as they describe different activities and locations.",": contradiction. the premise describes a boy in a marvel comics shirt brushing his teeth, while the hypothesis suggests that a man is sitting on the toilet. these two statements contradict each other as they describe different activities and locations.",{'contradiction': 2},contradiction
"Couple, man and woman, with little girl all of them dressed in wedding apparel while standing along shoreline.</s>A family is at the beach.","Couple, man and woman, with little girl all of them dressed in wedding apparel while standing along shoreline.",A family is at the beach.,"10. Most likely answer: Entailment. The premise describes a couple, a man and woman, with a little girl dressed in wedding apparel standing along the shoreline, while the hypothesis suggests that a family is at the beach. The premise necessarily includes the hypothesis since a couple with a little girl can be considered a family, and they are indeed at the beach.",": entailment. the premise describes a couple, a man and woman, with a little girl dressed in wedding apparel standing along the shoreline, while the hypothesis suggests that a family is at the beach. the premise necessarily includes the hypothesis since a couple with a little girl can be considered a family, and they are indeed at the beach.",{'entailment': 2},entailment
Several people preparing for winter sporting activities such as snowboarding and skiing.</s>People gearing up for fun.,Several people preparing for winter sporting activities such as snowboarding and skiing.,People gearing up for fun.,"1. The most likely answer is ""entailment."" The premise suggests that people are preparing for winter sporting activities, and the hypothesis suggests they are gearing up for fun. The hypothesis logically follows from the premise, indicating an entailment."," is ""entailment."" the premise suggests that people are preparing for winter sporting activities, and the hypothesis suggests they are gearing up for fun. the hypothesis logically follows from the premise, indicating an entailment.",{'entailment': 5},entailment
A man is carving a strangely-shaped figure out of stone using a long-rodded tool.</s>The man is making some sort of folk art.,A man is carving a strangely-shaped figure out of stone using a long-rodded tool.,The man is making some sort of folk art.,"2. The most likely answer is ""entailment."" The premise describes a man carving a figure out of stone, and the hypothesis suggests he is making folk art. The hypothesis is a logical consequence of the premise, indicating an entailment."," is ""entailment."" the premise describes a man carving a figure out of stone, and the hypothesis suggests he is making folk art. the hypothesis is a logical consequence of the premise, indicating an entailment.",{'entailment': 5},entailment
A foreign family is walking along a dirt path next to the water.</s>they are trying not to fall in the water,A foreign family is walking along a dirt path next to the water.,they are trying not to fall in the water,"3. The most likely answer is ""neutral."" The premise describes a foreign family walking along a dirt path next to the water, but the hypothesis suggests they are trying not to fall in the water. The premise does not confirm or contradict the hypothesis, so it is a neutral relationship."," is ""neutral."" the premise describes a foreign family walking along a dirt path next to the water, but the hypothesis suggests they are trying not to fall in the water. the premise does not confirm or contradict the hypothesis, so it is a neutral relationship.",{'neutral': 5},neutral
A young man is involved in a game at an outdoor carnival while two girls in background are at the bouncy house.</s>People are enjoying themselves at a carnival.,A young man is involved in a game at an outdoor carnival while two girls in background are at the bouncy house.,People are enjoying themselves at a carnival.,"4. The most likely answer is ""entailment."" The premise describes people involved in activities at an outdoor carnival, and the hypothesis suggests they are enjoying themselves. The hypothesis is a logical consequence of the premise, indicating an entailment."," is ""entailment."" the premise describes people involved in activities at an outdoor carnival, and the hypothesis suggests they are enjoying themselves. the hypothesis is a logical consequence of the premise, indicating an entailment.",{'entailment': 5},entailment
A workman with lots of pipe is fixing a rail.</s>A workman is sleeping in a chair.,A workman with lots of pipe is fixing a rail.,A workman is sleeping in a chair.,"5. The most likely answer is ""contradiction."" The premise states that a workman is fixing a rail, but the hypothesis states that the workman is sleeping in a chair. These two statements contradict each other, indicating a contradiction."," is ""contradiction."" the premise states that a workman is fixing a rail, but the hypothesis states that the workman is sleeping in a chair. these two statements contradict each other, indicating a contradiction.",{'contradiction': 5},contradiction
"A woman in a gray shirt is hunched over, with her arm on her hip.</s>The woman in a gray shirt has one arm on her hip","A woman in a gray shirt is hunched over, with her arm on her hip.",The woman in a gray shirt has one arm on her hip,"6. The most likely answer is ""entailment."" The premise describes a woman in a gray shirt hunched over with her arm on her hip, and the hypothesis suggests she has one arm on her hip. The hypothesis is a logical consequence of the premise, indicating an entailment."," is ""entailment."" the premise describes a woman in a gray shirt hunched over with her arm on her hip, and the hypothesis suggests she has one arm on her hip. the hypothesis is a logical consequence of the premise, indicating an entailment.",{'entailment': 5},entailment
A man scoops out ice cream for a female customer in a cafe.</s>A man scoops out chocolate chip ice cream for a customer.,A man scoops out ice cream for a female customer in a cafe.,A man scoops out chocolate chip ice cream for a customer.,"7. The most likely answer is ""entailment."" The premise states that a man is scooping ice cream for a female customer in a cafe, and the hypothesis suggests he is scooping chocolate chip ice cream. The hypothesis is a logical consequence of the premise, indicating an entailment."," is ""entailment."" the premise states that a man is scooping ice cream for a female customer in a cafe, and the hypothesis suggests he is scooping chocolate chip ice cream. the hypothesis is a logical consequence of the premise, indicating an entailment.",{'entailment': 5},entailment
A guy in a huge wooden tub while people are looking over.</s>A man having a bath outside.,A guy in a huge wooden tub while people are looking over.,A man having a bath outside.,"8. The most likely answer is ""neutral."" The premise describes a guy in a huge wooden tub while people are looking over, and the hypothesis suggests he is having a bath outside. The premise does not confirm or contradict the hypothesis, so it is a neutral relationship."," is ""neutral."" the premise describes a guy in a huge wooden tub while people are looking over, and the hypothesis suggests he is having a bath outside. the premise does not confirm or contradict the hypothesis, so it is a neutral relationship.",{'neutral': 5},neutral
Two men wearing backpacks are walking on opposite sides of the street.</s>Two people are walking down the road on opposite sides while carrying their bags.,Two men wearing backpacks are walking on opposite sides of the street.,Two people are walking down the road on opposite sides while carrying their bags.,"9. The most likely answer is ""entailment."" The premise states that two men wearing backpacks are walking on opposite sides of the street, and the hypothesis suggests they are walking down the road on opposite sides while carrying their bags. The hypothesis logically follows from the premise, indicating an entailment."," is ""entailment."" the premise states that two men wearing backpacks are walking on opposite sides of the street, and the hypothesis suggests they are walking down the road on opposite sides while carrying their bags. the hypothesis logically follows from the premise, indicating an entailment.",{'entailment': 5},entailment
A man in a white shirt is sitting in front of a large amount of computer equipment.</s>A man is sitting down,A man in a white shirt is sitting in front of a large amount of computer equipment.,A man is sitting down,"10. The most likely answer is ""contradiction."" The premise describes a man in a white shirt sitting in front of computer equipment, but the hypothesis simply states that a man is sitting down. These two statements contradict each other, indicating a contradiction."," is ""contradiction."" the premise describes a man in a white shirt sitting in front of computer equipment, but the hypothesis simply states that a man is sitting down. these two statements contradict each other, indicating a contradiction.",{'contradiction': 5},contradiction
Children are dressed in vibrant colors.</s>The children are getting ready for their Easter Egg hunt.,Children are dressed in vibrant colors.,The children are getting ready for their Easter Egg hunt.,"1. The most likely answer is ""entailment"" because the vibrant colors of the children's clothes are consistent with them getting ready for an Easter Egg hunt."," is ""entailment"" because the vibrant colors of the children's clothes are consistent with them getting ready for an easter egg hunt.",{'entailment': 5},entailment
A lady is applying black fingernail on a dressing table.</s>Lady manicuring nails at a table.,A lady is applying black fingernail on a dressing table.,Lady manicuring nails at a table.,"2. The most likely answer is ""entailment"" because the premise implies that the lady is indeed manicuring her nails at a table."," is ""entailment"" because the premise implies that the lady is indeed manicuring her nails at a table.",{'entailment': 5},entailment
A man with gray hair in boots and cowboy hat dancing.</s>There is a man with gray hair.,A man with gray hair in boots and cowboy hat dancing.,There is a man with gray hair.,"3. The most likely answer is ""neutral"" because the premise does not provide sufficient information to determine whether there is a man with gray hair."," is ""neutral"" because the premise does not provide sufficient information to determine whether there is a man with gray hair.",{'neutral': 5},neutral
"A girl, a boy, and a woman looking in the same direction.</s>The girls are looking one way and the boy the opposite direction.","A girl, a boy, and a woman looking in the same direction.",The girls are looking one way and the boy the opposite direction.,"4. The most likely answer is ""neutral"" because the premise does not specify whether the boy is looking in the opposite direction."," is ""neutral"" because the premise does not specify whether the boy is looking in the opposite direction.",{'neutral': 5},neutral
A woman combing another woman's hair.</s>A woman is combing a woman's hair.,A woman combing another woman's hair.,A woman is combing a woman's hair.,"5. The most likely answer is ""entailment"" because the hypothesis restates the premise in a different way."," is ""entailment"" because the hypothesis restates the premise in a different way.",{'entailment': 5},entailment
A woman in a dress with two children.</s>A woman walks with her two children.,A woman in a dress with two children.,A woman walks with her two children.,"6. The most likely answer is ""entailment"" because the woman in the premise is seen with her two children, implying that she walks with them."," is ""entailment"" because the woman in the premise is seen with her two children, implying that she walks with them.",{'entailment': 5},entailment
"An elderly man lies on a couch in an alleyway, both the couch and man are quite dirty.</s>The man is fresh and clean.","An elderly man lies on a couch in an alleyway, both the couch and man are quite dirty.",The man is fresh and clean.,"7. The most likely answer is ""contradiction"" because the premise states that the man and the couch are dirty, while the hypothesis states that the man is fresh and clean."," is ""contradiction"" because the premise states that the man and the couch are dirty, while the hypothesis states that the man is fresh and clean.",{'contradiction': 5},contradiction
A man in swim trunks is in a shallow portion of a lake with his hand on a portion of a small dock.</s>A man is in water.,A man in swim trunks is in a shallow portion of a lake with his hand on a portion of a small dock.,A man is in water.,"8. The most likely answer is ""entailment"" because the man in swim trunks being in a shallow portion of a lake implies that he is in water."," is ""entailment"" because the man in swim trunks being in a shallow portion of a lake implies that he is in water.",{'entailment': 5},entailment
A man holds a coffee cup while in the bathroom.</s>A man is looking in the mirror.,A man holds a coffee cup while in the bathroom.,A man is looking in the mirror.,"9. The most likely answer is ""contradiction"" because holding a coffee cup does not necessarily imply that the man is looking in the mirror."," is ""contradiction"" because holding a coffee cup does not necessarily imply that the man is looking in the mirror.",{'contradiction': 5},contradiction
A man is docking a boat</s>A man is near a boat.,A man is docking a boat,A man is near a boat.,"10. The most likely answer is ""entailment"" because docking a boat implies being near it."," is ""entailment"" because docking a boat implies being near it.",{'entailment': 5},entailment
A bus filled with passengers in Chicago at night.</s>The people are going to a concert.,A bus filled with passengers in Chicago at night.,The people are going to a concert.,"1. The most likely answer is ""neutral"". The premise does not provide any information about the purpose or destination of the passengers on the bus, so it does not support or contradict the hypothesis of going to a concert."," is ""neutral"". the premise does not provide any information about the purpose or destination of the passengers on the bus, so it does not support or contradict the hypothesis of going to a concert.",{'neutral': 5},neutral
"A dog gets major air catching frisbees in a trick contest.</s>During a contest, a dog jumps high into the air to catch a frisbee.",A dog gets major air catching frisbees in a trick contest.,"During a contest, a dog jumps high into the air to catch a frisbee.","2. The most likely answer is ""entailment"". The premise directly supports the hypothesis by describing a dog getting major air catching frisbees in a trick contest, which implies that during a contest, a dog jumps high into the air to catch a frisbee."," is ""entailment"". the premise directly supports the hypothesis by describing a dog getting major air catching frisbees in a trick contest, which implies that during a contest, a dog jumps high into the air to catch a frisbee.",{'entailment': 5},entailment
A man and women wearing jeans and no helmets are riding on a Suzuki street bike.</s>Two people ride a bike.,A man and women wearing jeans and no helmets are riding on a Suzuki street bike.,Two people ride a bike.,"3. The most likely answer is ""neutral"". The premise describes a man and woman riding a motorcycle, but it does not specify whether there are two people or more riding the bike. Therefore, it does not support or contradict the hypothesis of two people riding a bike."," is ""neutral"". the premise describes a man and woman riding a motorcycle, but it does not specify whether there are two people or more riding the bike. therefore, it does not support or contradict the hypothesis of two people riding a bike.",{'neutral': 5},neutral
Two women stand outside with a young girl.</s>Three people stand outside,Two women stand outside with a young girl.,Three people stand outside,"4. The most likely answer is ""contradiction"". The premise states that there are two women and a young girl standing outside, while the hypothesis claims that three people are standing outside. This directly contradicts the premise."," is ""contradiction"". the premise states that there are two women and a young girl standing outside, while the hypothesis claims that three people are standing outside. this directly contradicts the premise.","{'contradiction': 5, 'contradicts': 182}",contradiction
One lady working at a convenience store.</s>A lady working with her hat on.,One lady working at a convenience store.,A lady working with her hat on.,"5. The most likely answer is ""contradiction"". The premise states that there is one lady working at a convenience store, while the hypothesis suggests that the lady is working with her hat on. This contradicts the premise, as there is no information about the lady wearing a hat."," is ""contradiction"". the premise states that there is one lady working at a convenience store, while the hypothesis suggests that the lady is working with her hat on. this contradicts the premise, as there is no information about the lady wearing a hat.","{'contradiction': 5, 'contradicts': 172}",contradiction
A person walking by a historical concrete building.</s>A person is swimming in the lake.,A person walking by a historical concrete building.,A person is swimming in the lake.,"6. The most likely answer is ""contradiction"". The premise describes a person walking by a historical concrete building, while the hypothesis suggests that the person is swimming in the lake. This directly contradicts the premise."," is ""contradiction"". the premise describes a person walking by a historical concrete building, while the hypothesis suggests that the person is swimming in the lake. this directly contradicts the premise.","{'contradiction': 5, 'contradicts': 180}",contradiction
A person walking with a dog.</s>A person walks with a lion.,A person walking with a dog.,A person walks with a lion.,"7. The most likely answer is ""contradiction"". The premise states that a person is walking with a dog, while the hypothesis claims that the person is walking with a lion. This contradicts the premise."," is ""contradiction"". the premise states that a person is walking with a dog, while the hypothesis claims that the person is walking with a lion. this contradicts the premise.","{'contradiction': 5, 'contradicts': 150}",contradiction
A man beneath a red and white tent about to sit down.</s>Standing near a river is a man,A man beneath a red and white tent about to sit down.,Standing near a river is a man,"8. The most likely answer is ""contradiction"". The premise describes a man beneath a red and white tent about to sit down, while the hypothesis suggests that a man is standing near a river. This contradicts the premise."," is ""contradiction"". the premise describes a man beneath a red and white tent about to sit down, while the hypothesis suggests that a man is standing near a river. this contradicts the premise.","{'contradiction': 5, 'contradicts': 169}",contradiction
Three people laying on a beach together staring out at the ocean.</s>People watching the ocean at home.,Three people laying on a beach together staring out at the ocean.,People watching the ocean at home.,"9. The most likely answer is ""contradiction"". The premise describes three people laying on a beach together staring out at the ocean, while the hypothesis claims that people are watching the ocean at home. This contradicts the premise."," is ""contradiction"". the premise describes three people laying on a beach together staring out at the ocean, while the hypothesis claims that people are watching the ocean at home. this contradicts the premise.","{'contradiction': 5, 'contradicts': 186}",contradiction
A man places his arm around his girlfriend at a conference.</s>The man puts his girlfriend into a half nelson.,A man places his arm around his girlfriend at a conference.,The man puts his girlfriend into a half nelson.,"10. The most likely answer is ""neutral"". The premise states that a man places his arm around his girlfriend at a conference, but it does not provide any information about putting his girlfriend into a half nelson. Therefore, it does not support or contradict the hypothesis."," is ""neutral"". the premise states that a man places his arm around his girlfriend at a conference, but it does not provide any information about putting his girlfriend into a half nelson. therefore, it does not support or contradict the hypothesis.",{'neutral': 5},neutral
A young boy in a white jacket riding his bike on the patio.</s>A girl is riding a bike on the patio.,A young boy in a white jacket riding his bike on the patio.,A girl is riding a bike on the patio.,"1. The most likely answer is ""neutral."" The premise does not provide any information about the gender of the person riding the bike, so the hypothesis cannot be determined to be true or false based on the given information."," is ""neutral."" the premise does not provide any information about the gender of the person riding the bike, so the hypothesis cannot be determined to be true or false based on the given information.",{'neutral': 5},neutral
a rally car driving down a roadway with people on the side taking pictures</s>People on the side of road taking picture of a rally car driving down,a rally car driving down a roadway with people on the side taking pictures,People on the side of road taking picture of a rally car driving down,"2. The most likely answer is ""entailment."" The premise directly supports the hypothesis by stating that there are people on the side of the road taking pictures of a rally car driving down."," is ""entailment."" the premise directly supports the hypothesis by stating that there are people on the side of the road taking pictures of a rally car driving down.",{'entailment': 5},entailment
"A blue automobile with european license plate, parked under a skinny white umbrella, in front of a crowd of people.</s>Blue car with German plates, parked by a crowd of people staring at it.","A blue automobile with european license plate, parked under a skinny white umbrella, in front of a crowd of people.","Blue car with German plates, parked by a crowd of people staring at it.","3. The most likely answer is ""neutral."" The premise describes a blue automobile with a European license plate, but does not specify whether the plate is German or not. Therefore, the hypothesis of a blue car with German plates cannot be determined to be true or false based on the given information."," is ""neutral."" the premise describes a blue automobile with a european license plate, but does not specify whether the plate is german or not. therefore, the hypothesis of a blue car with german plates cannot be determined to be true or false based on the given information.",{'neutral': 5},neutral
"Two medical professionals are assisting a small, elderly lady in a wheelchair, while another lady watches.</s>Two medical professionals are assisting a small, elderly lady","Two medical professionals are assisting a small, elderly lady in a wheelchair, while another lady watches.","Two medical professionals are assisting a small, elderly lady","4. The most likely answer is ""contradiction."" The premise states that two medical professionals are assisting a small, elderly lady in a wheelchair, while another lady watches. The hypothesis focuses only on two medical professionals assisting a small, elderly lady, ignoring the presence of the other lady in the premise."," is ""contradiction."" the premise states that two medical professionals are assisting a small, elderly lady in a wheelchair, while another lady watches. the hypothesis focuses only on two medical professionals assisting a small, elderly lady, ignoring the presence of the other lady in the premise.",{'contradiction': 5},contradiction
a young man wearing a green shirt in jumping in the air</s>A man is sitting in a chair.,a young man wearing a green shirt in jumping in the air,A man is sitting in a chair.,"5. The most likely answer is ""contradiction."" The premise describes a young man wearing a green shirt jumping in the air, which is completely different from the hypothesis of a man sitting in a chair."," is ""contradiction."" the premise describes a young man wearing a green shirt jumping in the air, which is completely different from the hypothesis of a man sitting in a chair.",{'contradiction': 5},contradiction
A young blond boy with a helmet.</s>A young blond boy with a motorcycle helmet.,A young blond boy with a helmet.,A young blond boy with a motorcycle helmet.,"6. The most likely answer is ""entailment."" The premise describes a young blond boy with a helmet, which supports the hypothesis of a young blond boy with a motorcycle helmet. "," is ""entailment."" the premise describes a young blond boy with a helmet, which supports the hypothesis of a young blond boy with a motorcycle helmet. ",{'entailment': 5},entailment
"People sit, eat, and relax in the shade.</s>People are enjoying food.","People sit, eat, and relax in the shade.",People are enjoying food.,"7. The most likely answer is ""entailment."" The premise describes people sitting, eating, and relaxing in the shade, which implies that they are enjoying food."," is ""entailment."" the premise describes people sitting, eating, and relaxing in the shade, which implies that they are enjoying food.",{'entailment': 5},entailment
A group of young men and women some holding drinks have fun in a bar setting.</s>A crowd drinks and enjoys themselves in the bar.,A group of young men and women some holding drinks have fun in a bar setting.,A crowd drinks and enjoys themselves in the bar.,"8. The most likely answer is ""entailment."" The premise describes a group of young men and women holding drinks and having fun in a bar setting, which supports the hypothesis of a crowd drinking and enjoying themselves in the bar."," is ""entailment."" the premise describes a group of young men and women holding drinks and having fun in a bar setting, which supports the hypothesis of a crowd drinking and enjoying themselves in the bar.",{'entailment': 5},entailment
The girls wearing red shirts are blowing bubble gum on the bus.</s>The girls are blowing soap bubbles.,The girls wearing red shirts are blowing bubble gum on the bus.,The girls are blowing soap bubbles.,"9. The most likely answer is ""entailment."" The premise describes girls wearing red shirts blowing bubble gum on the bus, which implies that they are blowing soap bubbles."," is ""entailment."" the premise describes girls wearing red shirts blowing bubble gum on the bus, which implies that they are blowing soap bubbles.",{'entailment': 5},entailment
An African American male is singing into a microphone.</s>An African American male is singing a song.,An African American male is singing into a microphone.,An African American male is singing a song.,"10. The most likely answer is ""entailment."" The premise states that an African American male is singing into a microphone, which supports the hypothesis of an African American male singing a song."," is ""entailment."" the premise states that an african american male is singing into a microphone, which supports the hypothesis of an african american male singing a song.",{'entailment': 5},entailment
a single person squated down at the edge of a pier overlooking a lake</s>The pier is overlooking a rushing river.,a single person squated down at the edge of a pier overlooking a lake,The pier is overlooking a rushing river.,"1. Most likely answer: Contradiction
The hypothesis states that the pier is overlooking a rushing river, which contradicts the premise that it is overlooking a lake. The two statements cannot both be true at the same time.",": contradiction
the hypothesis states that the pier is overlooking a rushing river, which contradicts the premise that it is overlooking a lake. the two statements cannot both be true at the same time.","{'contradiction': 2, 'contradicts': 90}",contradiction
A man in a blue and red shirt hugs a woman in a blue top.</s>They are hugging,A man in a blue and red shirt hugs a woman in a blue top.,They are hugging,"2. Most likely answer: Entailment
The hypothesis ""They are hugging"" directly follows from the premise ""A man in a blue and red shirt hugs a woman in a blue top."" The premise provides clear evidence that supports the hypothesis.",": entailment
the hypothesis ""they are hugging"" directly follows from the premise ""a man in a blue and red shirt hugs a woman in a blue top."" the premise provides clear evidence that supports the hypothesis.",{'entailment': 2},entailment
