premise,hypothesis,rationale,prompt
Where is one unlikely to get popcorn?,"['restaurant', 'movie house', 'soccer game', 'carnival', 'movie theater']","5. The correct answer is **(A) restaurant**. This is because popcorn is a snack that is usually associated with movies, carnivals, or sports events. It is not a common food item that is served in restaurants, which usually offer more substantial dishes. The other options are all places where popcorn is likely to be available.

","Questions: Where is one unlikely to get popcorn?, Choices: (A) restaurant, (B) movie house, (C) soccer game, (D) carnival, (E) movie theater. What is the correct answer to the question 'Where is one unlikely to get popcorn?' with the options restaurant, movie house, soccer game, carnival movie theater? Provide a straightforward explanation. 
"
Where is someone likely to store their comforter?,"['livingroom', 'cedar chest', 'bedroom', 'world', 'living room']","6. The correct answer is **(B) cedar chest**. This is because a cedar chest is a type of wooden chest that is used to store blankets, quilts, or comforters. It is often placed in the bedroom, but can also be in the living room. A comforter is a thick, warm blanket that is used on a bed. The other options are either too broad, too specific, or too unrelated for a place to store a comforter.

","Questions: Where is someone likely to store their comforter?, Choices: (A) livingroom, (B) cedar chest, (C) bedroom, (D) world, (E) living room. What is the correct answer to the question 'Where is someone likely to store their comforter?' with the options livingroom, cedar chest, bedroom, world living room? Provide a straightforward explanation. 
"
Where is the great white shark most commonly located?,"['indian ocean', 'gulf of mexico', 'pacific ocean', 'atlantic ocean', 'sea world']","7. The correct answer is **(C) pacific ocean**. This is because the great white shark is a species of large predatory fish that is mostly found in the coastal waters of the Pacific Ocean, especially in Australia, California, and South Africa. It is also present in the Indian Ocean and the Atlantic Ocean, but less frequently. Sea World is a theme park that does not have great white sharks.

","Questions: Where is the great white shark most commonly located?, Choices: (A) indian ocean, (B) gulf of mexico, (C) pacific ocean, (D) atlantic ocean, (E) sea world. What is the correct answer to the question 'Where is the great white shark most commonly located?' with the options indian ocean, gulf of mexico, pacific ocean, atlantic ocean sea world? Provide a straightforward explanation. 
"
Where is the night table with the hand cream?,"['hallway', 'homes', 'furniture store', 'hotel', 'store']","8. The correct answer is **(D) hotel**. This is because a night table is a small table that is placed next to a bed, usually with a lamp, an alarm clock, or other items. A hand cream is a lotion that is used to moisturize the skin of the hands. These are both items that are commonly found in hotels, where guests can use them during their stay. The other options are either too general, too specific, or too unlikely for a place to have a night table with a hand cream.

","Questions: Where is the night table with the hand cream?, Choices: (A) hallway, (B) homes, (C) furniture store, (D) hotel, (E) store. What is the correct answer to the question 'Where is the night table with the hand cream?' with the options hallway, homes, furniture store, hotel store? Provide a straightforward explanation. 
"
Where is the president likely to meet others?,"['trouble', 'election', 'press conference', 'country', 'board room']","9. The correct answer is **(C) press conference**. This is because a press conference is an event where the president or another public figure meets with journalists and answers their questions. It is a common way for the president to communicate with the public and the media. The other options are either too vague, too narrow, or too irrelevant for a place where the president is likely to meet others.

","Questions: Where is the president likely to meet others?, Choices: (A) trouble, (B) election, (C) press conference, (D) country, (E) board room. What is the correct answer to the question 'Where is the president likely to meet others?' with the options trouble, election, press conference, country board room? Provide a straightforward explanation. 
"
Where is the supreme courthouse in a state typically located?,"['michigan', 'down the street', 'capital city', 'get married in', 'center of town']","10. The correct answer is **(C) capital city**. This is because the supreme courthouse is the highest court of a state, where the most important legal cases are heard and decided. It is usually located in the capital city of the state, where the government and the legislature are also based. The other options are either too specific, too random, or too inaccurate for a location of the supreme courthouse.","Questions: Where is the supreme courthouse in a state typically located?, Choices: (A) michigan, (B) down the street, (C) capital city, (D) get married in, (E) center of town. What is the correct answer to the question 'Where is the supreme courthouse in a state typically located?' with the options michigan, down the street, capital city, get married in center of town? Provide a straightforward explanation. 
"
Where is the trevi fountain?,"['grant park chicago', 'public place', 'waterfall', 'rome', 'courtyard']",,"Questions: Where is the trevi fountain?, Choices: (A) grant park chicago, (B) public place, (C) waterfall, (D) rome, (E) courtyard. What is the correct answer to the question 'Where is the trevi fountain?' with the options grant park chicago, public place, waterfall, rome courtyard? Provide a straightforward explanation. 
"
"John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?","['loft', 'attic', 'museum', 'cellar', 'waste bin']",,"Questions: John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?, Choices: (A) loft, (B) attic, (C) museum, (D) cellar, (E) waste bin. What is the correct answer to the question 'John was cleaning out the old house.  while there was nothing upstairs, he found a bunch of old stuff somewhere else.  Where did he find stuff?' with the options loft, attic, museum, cellar waste bin? Provide a straightforward explanation. 
"
"John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?","['cleanliness', 'other people', 'dry skin', 'use soap', 'nudity']",,"Questions: John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?, Choices: (A) cleanliness, (B) other people, (C) dry skin, (D) use soap, (E) nudity. What is the correct answer to the question 'John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?' with the options cleanliness, other people, dry skin, use soap nudity? Provide a straightforward explanation. 
"
"Large trucks can fling rocks on the highway, this can be trouble for cars and their whats?","['windows', 'seat belts', 'trunks', 'diesel engines', 'exhaust pipe']",,"Questions: Large trucks can fling rocks on the highway, this can be trouble for cars and their whats?, Choices: (A) windows, (B) seat belts, (C) trunks, (D) diesel engines, (E) exhaust pipe. What is the correct answer to the question 'Large trucks can fling rocks on the highway, this can be trouble for cars and their whats?' with the options windows, seat belts, trunks, diesel engines exhaust pipe? Provide a straightforward explanation. 
"
"Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?","['calmness', 'compromises', 'fucking', 'anger', 'satisfaction']",,"Questions: Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?, Choices: (A) calmness, (B) compromises, (C) fucking, (D) anger, (E) satisfaction. What is the correct answer to the question 'Laura and Bob are a married couple who have begun reaching tentative agreement regarding their  sexual incompatibility.  They love each other and want to remain together, but have decided that they can see other people to fulfill their needs as long as they are honest about it.  Then entire negotiation is being done with a surprising amount of what given the subject matter?' with the options calmness, compromises, fucking, anger satisfaction? Provide a straightforward explanation. 
"
"Laura likes blue anemones, and John wants to give her something special for her birthday.  Where might John go to get an anemone for Laura?","['flower pot', ""joe mama's tea room"", 'flower shop', 'tide pool', 'seafood restaurant']",,"Questions: Laura likes blue anemones, and John wants to give her something special for her birthday.  Where might John go to get an anemone for Laura?, Choices: (A) flower pot, (B) joe mama's tea room, (C) flower shop, (D) tide pool, (E) seafood restaurant. What is the correct answer to the question 'Laura likes blue anemones, and John wants to give her something special for her birthday.  Where might John go to get an anemone for Laura?' with the options flower pot, joe mama's tea room, flower shop, tide pool seafood restaurant? Provide a straightforward explanation. 
"
"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['better communication', 'overthinking', 'frustration', 'misunderstandings', 'headaches']",,"Questions: Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,, Choices: (A) better communication, (B) overthinking, (C) frustration, (D) misunderstandings, (E) headaches. What is the correct answer to the question 'Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,' with the options better communication, overthinking, frustration, misunderstandings headaches? Provide a straightforward explanation. 
"
"Lilly was still getting warm.  She ran her hands over John's body, he kissed her.  She couldn't think straight anymore.  Every nerve was tingling.  Nothing ever felt so right. She was experiencing what?","['stroke', 'pleasure', 'increase of temperature', 'get hot', 'euphoria']",,"Questions: Lilly was still getting warm.  She ran her hands over John's body, he kissed her.  She couldn't think straight anymore.  Every nerve was tingling.  Nothing ever felt so right. She was experiencing what?, Choices: (A) stroke, (B) pleasure, (C) increase of temperature, (D) get hot, (E) euphoria. What is the correct answer to the question 'Lilly was still getting warm.  She ran her hands over John's body, he kissed her.  She couldn't think straight anymore.  Every nerve was tingling.  Nothing ever felt so right. She was experiencing what?' with the options stroke, pleasure, increase of temperature, get hot euphoria? Provide a straightforward explanation. 
"
"Lilly went bathing fife times a day, but this wasn't good for her.  It resulted in what?","['cleanliness', 'dry skin', 'skin damage', 'nudity', 'tension to ease']",,"Questions: Lilly went bathing fife times a day, but this wasn't good for her.  It resulted in what?, Choices: (A) cleanliness, (B) dry skin, (C) skin damage, (D) nudity, (E) tension to ease. What is the correct answer to the question 'Lilly went bathing fife times a day, but this wasn't good for her.  It resulted in what?' with the options cleanliness, dry skin, skin damage, nudity tension to ease? Provide a straightforward explanation. 
"
