premise,hypothesis,rationale,prompt
He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?,"['antidote', 'consumable', 'nutrient', 'vitamin', 'medicine']","4. The correct answer is **(D) vitamin**. He didn't know that good things can be poison in large doses. He thought that he was just eating an essential vitamin. This means that he was consuming a substance that is necessary for normal growth and health, but he took too much of it and it became harmful to his body.
","Questions: He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?, Choices: (A) antidote, (B) consumable, (C) nutrient, (D) vitamin, (E) medicine. What is the correct answer to the question 'He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?' with the options antidote, consumable, nutrient, vitamin medicine? Provide a straightforward explanation. 
"
Lily bought some new clothing at the mall. She put it in her car and took it somewhere. Where might she take it?,"['closet', 'yard sale', 'drawer', 'trunk', 'house']","5. The correct answer is **(E) house**. Lily bought some new clothing at the mall. She put it in her car and took it to her house. This means that she brought her new clothes to the place where she lives.
","Questions: Lily bought some new clothing at the mall. She put it in her car and took it somewhere. Where might she take it?, Choices: (A) closet, (B) yard sale, (C) drawer, (D) trunk, (E) house. What is the correct answer to the question 'Lily bought some new clothing at the mall. She put it in her car and took it somewhere. Where might she take it?' with the options closet, yard sale, drawer, trunk house? Provide a straightforward explanation. 
"
Linda wanted to talk to someone because she knew that she was doing bad stuff and that talking was the first step to doing what?,"['communicating with others', 'hurt feelings', 'changing behavior', 'dry mouth', 'communication']","6. The correct answer is **(C) changing behavior**. Linda wanted to talk to someone because she knew that she was doing bad stuff and that talking was the first step to changing behavior. This means that she wanted to improve her actions and habits by discussing them with someone else.
","Questions: Linda wanted to talk to someone because she knew that she was doing bad stuff and that talking was the first step to doing what?, Choices: (A) communicating with others, (B) hurt feelings, (C) changing behavior, (D) dry mouth, (E) communication. What is the correct answer to the question 'Linda wanted to talk to someone because she knew that she was doing bad stuff and that talking was the first step to doing what?' with the options communicating with others, hurt feelings, changing behavior, dry mouth communication? Provide a straightforward explanation. 
"
Lindy was a senior.  He lived with his children because he didn't want to go where?,"['republican party', ""old people's home"", 'office', 'park', 'high school or college']","7. The correct answer is **(B) old people's home**. Lindy was a senior. He lived with his children because he didn't want to go to an old people's home. This means that he preferred to stay with his family rather than moving to a place where elderly people live together and receive care.
","Questions: Lindy was a senior.  He lived with his children because he didn't want to go where?, Choices: (A) republican party, (B) old people's home, (C) office, (D) park, (E) high school or college. What is the correct answer to the question 'Lindy was a senior.  He lived with his children because he didn't want to go where?' with the options republican party, old people's home, office, park high school or college? Provide a straightforward explanation. 
"
Lips are found on a person's what?,"['body', 'knee', 'motion', 'faces', 'human face']","8. The correct answer is **(E) human face**. Lips are found on a person's human face. This means that lips are part of the front part of the head that has the eyes, nose, and mouth.
","Questions: Lips are found on a person's what?, Choices: (A) body, (B) knee, (C) motion, (D) faces, (E) human face. What is the correct answer to the question 'Lips are found on a person's what?' with the options body, knee, motion, faces human face? Provide a straightforward explanation. 
"
Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,"['street', 'in the usa', 'texas', 'every city', 'countryside']","9. The correct answer is **(E) countryside**. Lisa was driving down the highway when she saw a billboard telling her that she was near the border. She might be in the countryside. This means that she was in a rural area that is not close to any big cities or towns.
","Questions: Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?, Choices: (A) street, (B) in the usa, (C) texas, (D) every city, (E) countryside. What is the correct answer to the question 'Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?' with the options street, in the usa, texas, every city countryside? Provide a straightforward explanation. 
"
"Video games can be quite fun and entertaining, but some are actual good for kids and what?","['fun to play', 'played inside stadium', 'played at office', 'educational', 'played outside']","10. The correct answer is **(D) educational**. Video games can be quite fun and entertaining, but some are actually good for kids and educational. This means that some video games can teach kids something useful or valuable while they play.","Questions: Video games can be quite fun and entertaining, but some are actual good for kids and what?, Choices: (A) fun to play, (B) played inside stadium, (C) played at office, (D) educational, (E) played outside. What is the correct answer to the question 'Video games can be quite fun and entertaining, but some are actual good for kids and what?' with the options fun to play, played inside stadium, played at office, educational played outside? Provide a straightforward explanation. 
"
"When I have a sponge, but am unsure of where to use it, where should I use it?","['wet surface', 'clean dishes', 'collect water', 'hold water', 'wet surface']","1. The correct answer is **(A) wet surface**. A sponge is a porous material that can absorb water and other liquids. It can be used to clean or wipe wet surfaces, such as countertops, sinks, or windows. A sponge is not very effective for cleaning dishes, collecting water, holding water, or wetting surfaces, as these tasks require different tools or methods.

","Questions: When I have a sponge, but am unsure of where to use it, where should I use it?, Choices: (A) wet surface, (B) clean dishes, (C) collect water, (D) hold water, (E) wet surface. What is the correct answer to the question 'When I have a sponge, but am unsure of where to use it, where should I use it?' with the options wet surface, clean dishes, collect water, hold water wet surface? Provide a straightforward explanation. 
"
"When a man is watching tv and a nude women comes on, they tend to get?","['sad', 'erections', 'entertainment', 'boredom', 'get fat']","2. The correct answer is **(B) erections**. An erection is a physiological response that occurs when a man is sexually aroused. It is caused by the increased blood flow to the penis, which makes it hard and erect. When a man is watching TV and a nude woman comes on, they may get aroused and experience an erection. This is not a universal or guaranteed reaction, as different men may have different preferences, moods, or levels of interes","Questions: When a man is watching tv and a nude women comes on, they tend to get?, Choices: (A) sad, (B) erections, (C) entertainment, (D) boredom, (E) get fat. What is the correct answer to the question 'When a man is watching tv and a nude women comes on, they tend to get?' with the options sad, erections, entertainment, boredom get fat? Provide a straightforward explanation. 
"
"When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?","['exhilaration', 'clear head', 'feeling better', 'reviving', 'happiness']",,"Questions: When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?, Choices: (A) exhilaration, (B) clear head, (C) feeling better, (D) reviving, (E) happiness. What is the correct answer to the question 'When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?' with the options exhilaration, clear head, feeling better, reviving happiness? Provide a straightforward explanation. 
"
"When a stressed person is breathing fresh air, what are they often looking to do?","['feeling better', 'reviving', 'relaxing', 'clear head', 'exhilaration']",,"Questions: When a stressed person is breathing fresh air, what are they often looking to do?, Choices: (A) feeling better, (B) reviving, (C) relaxing, (D) clear head, (E) exhilaration. What is the correct answer to the question 'When a stressed person is breathing fresh air, what are they often looking to do?' with the options feeling better, reviving, relaxing, clear head exhilaration? Provide a straightforward explanation. 
"
What do humans have for speaking?,"['one hand', 'one mouth', 'two ears', 'brains', 'two legs']",,"Questions: What do humans have for speaking?, Choices: (A) one hand, (B) one mouth, (C) two ears, (D) brains, (E) two legs. What is the correct answer to the question 'What do humans have for speaking?' with the options one hand, one mouth, two ears, brains two legs? Provide a straightforward explanation. 
"
What do humans have that cerberus does not have?,"['one head', 'two ears', 'lay eggs', '3 legs', 'two feet']",,"Questions: What do humans have that cerberus does not have?, Choices: (A) one head, (B) two ears, (C) lay eggs, (D) 3 legs, (E) two feet. What is the correct answer to the question 'What do humans have that cerberus does not have?' with the options one head, two ears, lay eggs, 3 legs two feet? Provide a straightforward explanation. 
"
What do humans have that is different than most animals?,"['brains', 'fur', 'one mouth', 'two legs', 'two feet']",,"Questions: What do humans have that is different than most animals?, Choices: (A) brains, (B) fur, (C) one mouth, (D) two legs, (E) two feet. What is the correct answer to the question 'What do humans have that is different than most animals?' with the options brains, fur, one mouth, two legs two feet? Provide a straightforward explanation. 
"
What do humans often do while they're asleep?,"['dream dreams', 'think critically', 'drink coffee', 'cross road', 'earn money']",,"Questions: What do humans often do while they're asleep?, Choices: (A) dream dreams, (B) think critically, (C) drink coffee, (D) cross road, (E) earn money. What is the correct answer to the question 'What do humans often do while they're asleep?' with the options dream dreams, think critically, drink coffee, cross road earn money? Provide a straightforward explanation. 
"
What do humans take in while breathing?,"['lungs and diaphram', 'oxygen', 'abdominal muscles', 'air', 'open throat']",,"Questions: What do humans take in while breathing?, Choices: (A) lungs and diaphram, (B) oxygen, (C) abdominal muscles, (D) air, (E) open throat. What is the correct answer to the question 'What do humans take in while breathing?' with the options lungs and diaphram, oxygen, abdominal muscles, air open throat? Provide a straightforward explanation. 
"
What do kids have to do before they can go outside a house?,"['distracting', 'open door', 'wonder about', 'take shoes off', 'become adults']",t,"Questions: What do kids have to do before they can go outside a house?, Choices: (A) distracting, (B) open door, (C) wonder about, (D) take shoes off, (E) become adults. What is the correct answer to the question 'What do kids have to do before they can go outside a house?' with the options distracting, open door, wonder about, take shoes off become adults? Provide a straightforward explanation. 
"
What do large groups often do when claiming to be changing society?,"['social activism', 'riots', 'change yourself', 'demonstrate', 'argue']","1. The correct answer is (D) demonstrate. Large groups often do demonstrations when claiming to be changing society. Demonstrations are public gatherings of people who express their opinions or demands on a certain issue. They can be peaceful or violent, depending on the situation and the participants.

","Questions: What do large groups often do when claiming to be changing society?, Choices: (A) social activism, (B) riots, (C) change yourself, (D) demonstrate, (E) argue. What is the correct answer to the question 'What do large groups often do when claiming to be changing society?' with the options social activism, riots, change yourself, demonstrate argue? Provide a straightforward explanation. 
"
What do lawyers tend to do when they are not treated well at a restaurant?,"['start fighting', 'press charges', 'settle disputes', 'keep quiet', 'work against system']","2. The correct answer is (B) press charges. Lawyers tend to press charges when they are not treated well at a restaurant. Pressing charges means filing a legal complaint against someone for a criminal offense. Lawyers are familiar with the law and their rights, and they may seek compensation or justice for the mistreatment they received.

","Questions: What do lawyers tend to do when they are not treated well at a restaurant?, Choices: (A) start fighting, (B) press charges, (C) settle disputes, (D) keep quiet, (E) work against system. What is the correct answer to the question 'What do lawyers tend to do when they are not treated well at a restaurant?' with the options start fighting, press charges, settle disputes, keep quiet work against system? Provide a straightforward explanation. 
"
What city is likely to have a tearoom?,"['tea shop', 'london', 'restaurant', 'building', 'england']","3. The correct answer is (B) london. London is a city that is likely to have a tearoom. A tearoom is a small restaurant or café that serves tea and light snacks, such as sandwiches, cakes, and scones. London is known for its tea culture and its many tearooms, some of which are very famous and historic.

","Questions: What city is likely to have a tearoom?, Choices: (A) tea shop, (B) london, (C) restaurant, (D) building, (E) england. What is the correct answer to the question 'What city is likely to have a tearoom?' with the options tea shop, london, restaurant, building england? Provide a straightforward explanation. 
"
What common plant doesn't need water?,"['drowning', 'grass', 'cactus', 'surface of earth', 'blizzard']","4. The correct answer is (C) cactus. A cactus is a common plant that doesn't need water. A cactus is a type of succulent plant that has thick, fleshy stems and spines. It can store water in its tissues and survive in dry and harsh environments, such as deserts.

","Questions: What common plant doesn't need water?, Choices: (A) drowning, (B) grass, (C) cactus, (D) surface of earth, (E) blizzard. What is the correct answer to the question 'What common plant doesn't need water?' with the options drowning, grass, cactus, surface of earth blizzard? Provide a straightforward explanation. 
"
what might an intelligent person do?,"['open doors', 'give up', 'talk to themselves', 'study greek', 'cross street']","5. The correct answer is (D) study greek. Studying greek might be something that an intelligent person would do. Greek is an ancient and complex language that has influenced many modern languages, especially in the fields of science, philosophy, and literature. Studying greek can improve one's vocabulary, logic, and cultural knowledge.

","Questions: what might an intelligent person do?, Choices: (A) open doors, (B) give up, (C) talk to themselves, (D) study greek, (E) cross street. What is the correct answer to the question 'what might an intelligent person do?' with the options open doors, give up, talk to themselves, study greek cross street? Provide a straightforward explanation. 
"
"If people are busy, what do they tend to do?","['make lists', 'trade places', 'talk to each other', 'hurry along', 'say ""hello"" to one another']","6. The correct answer is (D) hurry along. If people are busy, they tend to hurry along. Hurrying along means moving or doing something quickly or with haste. Busy people have many tasks or obligations to complete, and they may not have much time to spare or waste.

","Questions: If people are busy, what do they tend to do?, Choices: (A) make lists, (B) trade places, (C) talk to each other, (D) hurry along, (E) say ""hello"" to one another. What is the correct answer to the question 'If people are busy, what do they tend to do?' with the options make lists, trade places, talk to each other, hurry along say ""hello"" to one another? Provide a straightforward explanation. 
"
"She needed cabbage and make-up, so where did she go to buy both?","['freezer', 'refrigerator', 'plate', 'grocery store', 'supermarket']","7. The correct answer is (E) supermarket. She needed cabbage and make-up, so she went to a supermarket to buy both. A supermarket is a large store that sells a wide range of goods, including food, household items, and cosmetics. She could find both cabbage and make-up in a supermarket, as well as other things she might need.

","Questions: She needed cabbage and make-up, so where did she go to buy both?, Choices: (A) freezer, (B) refrigerator, (C) plate, (D) grocery store, (E) supermarket. What is the correct answer to the question 'She needed cabbage and make-up, so where did she go to buy both?' with the options freezer, refrigerator, plate, grocery store supermarket? Provide a straightforward explanation. 
"
"She needs to visit a bookshop after buying the latest fashion, where should she look?","['student union', 'mall', 'department store', 'library', 'town or city']","8. The correct answer is (B) mall. She needs to visit a bookshop after buying the latest fashion, so she should look in a mall. A mall is a large building or complex that contains many shops, restaurants, and entertainment facilities. She could find both the latest fashion and a bookshop in a mall, as well as other things she might want.

","Questions: She needs to visit a bookshop after buying the latest fashion, where should she look?, Choices: (A) student union, (B) mall, (C) department store, (D) library, (E) town or city. What is the correct answer to the question 'She needs to visit a bookshop after buying the latest fashion, where should she look?' with the options student union, mall, department store, library town or city? Provide a straightforward explanation. 
"
"She often spent money she didn't have buying products, this lead to what?","['spending money', 'owning', 'pleasure', 'surplus of cash', 'debt']","9. The correct answer is (E) debt. She often spent money she didn't have buying products, this led to debt. Debt is the state of owing money to someone or something, usually with interest. She spent more money than she earned or had, and she had to borrow money from others or use credit cards to buy products. This resulted in her having debt, which can be difficult to repay and can cause financial problems.

","Questions: She often spent money she didn't have buying products, this lead to what?, Choices: (A) spending money, (B) owning, (C) pleasure, (D) surplus of cash, (E) debt. What is the correct answer to the question 'She often spent money she didn't have buying products, this lead to what?' with the options spending money, owning, pleasure, surplus of cash debt? Provide a straightforward explanation. 
"
"She preferred the light blanket, what did she think of the older blanket?","['empty', 'calorific', 'crucial', 'cumbersome', 'forceful']","10. The correct answer is (D) cumbersome. She preferred the light blanket, so she thought of the older blanket as cumbersome. Cumbersome means large, heavy, or difficult to handle or use. She liked the light blanket because it was easy and comfortable to use. She disliked the older blanket because it was bulky and inconvenient to use.","Questions: She preferred the light blanket, what did she think of the older blanket?, Choices: (A) empty, (B) calorific, (C) crucial, (D) cumbersome, (E) forceful. What is the correct answer to the question 'She preferred the light blanket, what did she think of the older blanket?' with the options empty, calorific, crucial, cumbersome forceful? Provide a straightforward explanation. 
"
"She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?","['conversation', ""friend's house"", 'race track', 'building', 'bookstore']","1. The correct answer is **(E) bookstore**. She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her bookstore. A bookstore is a place where people can buy or read books. The other options do not make sense in this context.

","Questions: She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?, Choices: (A) conversation, (B) friend's house, (C) race track, (D) building, (E) bookstore. What is the correct answer to the question 'She put cozy chairs in all the nooks and crannies, she wanted people to spend time reading and browsing her what?' with the options conversation, friend's house, race track, building bookstore? Provide a straightforward explanation. 
"
"She put on some soft music, she just wanted to do what at the end of the day?","['dance', 'opera', 'listen', 'relax', 'skate']","2. The correct answer is **(D) relax**. She put on some soft music, she just wanted to do relax at the end of the day. Relaxing means to rest or calm down after a stressful or busy day. The other options do not fit well with the idea of soft music.

","Questions: She put on some soft music, she just wanted to do what at the end of the day?, Choices: (A) dance, (B) opera, (C) listen, (D) relax, (E) skate. What is the correct answer to the question 'She put on some soft music, she just wanted to do what at the end of the day?' with the options dance, opera, listen, relax skate? Provide a straightforward explanation. 
"
"She really enjoyed to make bread, because when you made your own it was always what?","['fresher', 'healthier', ""i'm hungry"", 'eat bread', 'tastes better than storebought']","3. The correct answer is **(A) fresher**. She really enjoyed to make bread, because when you made your own it was always fresher. Fresher means more recently made or less stale. The other options are either irrelevant or subjective.

","Questions: She really enjoyed to make bread, because when you made your own it was always what?, Choices: (A) fresher, (B) healthier, (C) i'm hungry, (D) eat bread, (E) tastes better than storebought. What is the correct answer to the question 'She really enjoyed to make bread, because when you made your own it was always what?' with the options fresher, healthier, i'm hungry, eat bread tastes better than storebought? Provide a straightforward explanation. 
"
"She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?","['wherever', 'medium', 'void', 'nowhere', 'being']","4. The correct answer is **(A) wherever**. She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with wherever. Wherever means any place or no particular place. The other options are either nonsensical or unrelated to the question.

","Questions: She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?, Choices: (A) wherever, (B) medium, (C) void, (D) nowhere, (E) being. What is the correct answer to the question 'She really wanted her husband to pick a place to have dinner, but he was so used to her choosing he just replied with what?' with the options wherever, medium, void, nowhere being? Provide a straightforward explanation. 
"
"She said it was her turn to watch television, it was time for her to what?","['entertained', 'plug in', ""you're bored"", 'see favorite show', 'sit']","5. The correct answer is **(D) see favorite show**. She said it was her turn to watch television, it was time for her to see favorite show. A favorite show is a television program that someone likes or enjoys watching. The other options are either vague or incorrect.

","Questions: She said it was her turn to watch television, it was time for her to what?, Choices: (A) entertained, (B) plug in, (C) you're bored, (D) see favorite show, (E) sit. What is the correct answer to the question 'She said it was her turn to watch television, it was time for her to what?' with the options entertained, plug in, you're bored, see favorite show sit? Provide a straightforward explanation. 
"
What is a teacher required to do for her students?,"['better knowledge', 'state facts', 'make lunch', 'time test', 'group students']","6. The correct answer is **(B) state facts**. What is a teacher required to do for her students? A teacher is required to state facts for her students. Stating facts means to provide accurate and reliable information or knowledge. The other options are either optional or unrelated to the question.

","Questions: What is a teacher required to do for her students?, Choices: (A) better knowledge, (B) state facts, (C) make lunch, (D) time test, (E) group students. What is the correct answer to the question 'What is a teacher required to do for her students?' with the options better knowledge, state facts, make lunch, time test group students? Provide a straightforward explanation. 
"
Someone who creates art is very?,"['inspired', 'be mean', 'artist', 'starve', 'imagine']","7. The correct answer is **(E) imagine**. Someone who creates art is very imagine. Imagining means to form a mental image or idea of something. The other options are either negative or not descriptive enough.

","Questions: Someone who creates art is very?, Choices: (A) inspired, (B) be mean, (C) artist, (D) starve, (E) imagine. What is the correct answer to the question 'Someone who creates art is very?' with the options inspired, be mean, artist, starve imagine? Provide a straightforward explanation. 
"
The audience got up at intermission and bought pop corn.  What might they be watching?,"['movies', 'school', 'theatre', 'event', 'new york']","8. The correct answer is **(C) theatre**. The audience got up at intermission and bought pop corn. What might they be watching? They might be watching theatre. Theatre is a form of art that involves actors performing on a stage in front of an audience. Intermission is a short break between parts of a play or performance. The other options are either unlikely or irrelevant.

","Questions: The audience got up at intermission and bought pop corn.  What might they be watching?, Choices: (A) movies, (B) school, (C) theatre, (D) event, (E) new york. What is the correct answer to the question 'The audience got up at intermission and bought pop corn.  What might they be watching?' with the options movies, school, theatre, event new york? Provide a straightforward explanation. 
"
What type of homes are likely to have an attic?,"['victorian house', 'own home', 'older houses', 'boxes', 'apartment']","9. The correct answer is **(C) older houses**. What type of homes are likely to have an attic? Older houses are likely to have an attic. An attic is a space or room at the top of a house, usually under the roof. Older houses are more likely to have attics than newer or modern houses. The other options are either wrong or not specific enough.

","Questions: What type of homes are likely to have an attic?, Choices: (A) victorian house, (B) own home, (C) older houses, (D) boxes, (E) apartment. What is the correct answer to the question 'What type of homes are likely to have an attic?' with the options victorian house, own home, older houses, boxes apartment? Provide a straightforward explanation. 
"
What type of structure has doorways that are connected to vehicles?,"['airport', 'castle', 'library', 'every building', 'zoo']","10. The correct answer is **(A) airport**. What type of structure has doorways that are connected to vehicles? An airport has doorways that are connected to vehicles. An airport is a place where airplanes take off and land. Doorways are openings that allow people to enter or exit a building or room. Vehicles are means of transportation, such as cars, buses, or trains. The other options are either incorrect or not related to the question.","Questions: What type of structure has doorways that are connected to vehicles?, Choices: (A) airport, (B) castle, (C) library, (D) every building, (E) zoo. What is the correct answer to the question 'What type of structure has doorways that are connected to vehicles?' with the options airport, castle, library, every building zoo? Provide a straightforward explanation. 
"
What will happen if you get warm too much?,"['feelin guilty', 'sleep', 'sweating', 'feel more comfortable', 'cuddle']","1. The correct answer is **(C) sweating**. When you get warm too much, your body tries to cool itself down by producing sweat. Sweat evaporates from your skin and takes some heat away with it.

","Questions: What will happen if you get warm too much?, Choices: (A) feelin guilty, (B) sleep, (C) sweating, (D) feel more comfortable, (E) cuddle. What is the correct answer to the question 'What will happen if you get warm too much?' with the options feelin guilty, sleep, sweating, feel more comfortable cuddle? Provide a straightforward explanation. 
"
What will happen if you're caught killing people?,"['terrible', 'go to prison', 'getting in trouble', 'screams', 'mass hysteria']","2. The correct answer is **(B) go to prison**. Killing people is a serious crime and if you are caught, you will face legal consequences. You will likely be arrested, tried, and sentenced to prison for a long time.

","Questions: What will happen if you're caught killing people?, Choices: (A) terrible, (B) go to prison, (C) getting in trouble, (D) screams, (E) mass hysteria. What is the correct answer to the question 'What will happen if you're caught killing people?' with the options terrible, go to prison, getting in trouble, screams mass hysteria? Provide a straightforward explanation. 
"
What will happen immediately after eating?,"['defecating', 'pooping', 'reduced', 'becoming full', 'gaining weight']","3. The correct answer is **(D) becoming full**. Immediately after eating, your stomach will feel full because it has food in it. You will also feel satisfied and less hungry.

","Questions: What will happen immediately after eating?, Choices: (A) defecating, (B) pooping, (C) reduced, (D) becoming full, (E) gaining weight. What is the correct answer to the question 'What will happen immediately after eating?' with the options defecating, pooping, reduced, becoming full gaining weight? Provide a straightforward explanation. 
"
What will happen to skin pinched in something?,"['feel cold', 'feel pressure', 'feel bumpy', 'itches', 'feel clammy']","4. The correct answer is **(B) feel pressure**. When your skin is pinched in something, you will feel pressure on that area. You may also feel pain or discomfort depending on how hard or sharp the object is.

","Questions: What will happen to skin pinched in something?, Choices: (A) feel cold, (B) feel pressure, (C) feel bumpy, (D) itches, (E) feel clammy. What is the correct answer to the question 'What will happen to skin pinched in something?' with the options feel cold, feel pressure, feel bumpy, itches feel clammy? Provide a straightforward explanation. 
"
What will happen to someone after you are answering questions that he or she asks?,"['discussion', 'children will learn', 'better grade', 'boredom', 'embarassment']","5. The correct answer is **(A) discussion**. After you answer questions that someone asks, you may have a discussion with them. A discussion is a conversation where you exchange ideas, opinions, or information.

","Questions: What will happen to someone after you are answering questions that he or she asks?, Choices: (A) discussion, (B) children will learn, (C) better grade, (D) boredom, (E) embarassment. What is the correct answer to the question 'What will happen to someone after you are answering questions that he or she asks?' with the options discussion, children will learn, better grade, boredom embarassment? Provide a straightforward explanation. 
"
What will happen to someone writing a term paper too quickly likely encounter?,"['headaches', 'errors', 'low mark', 'anxiety', 'frustration']","6. The correct answer is **(B) errors**. If you write a term paper too quickly, you may make errors in your writing. Errors can include spelling, grammar, punctuation, or factual mistakes. Errors can lower the quality of your paper and affect your grade.

","Questions: What will happen to someone writing a term paper too quickly likely encounter?, Choices: (A) headaches, (B) errors, (C) low mark, (D) anxiety, (E) frustration. What is the correct answer to the question 'What will happen to someone writing a term paper too quickly likely encounter?' with the options headaches, errors, low mark, anxiety frustration? Provide a straightforward explanation. 
"
What will happen to the animal if it doesn't eat?,"['die', 'meat', 'cuddly pet', 'feel hunger', 'learn how to dance']","7. The correct answer is **(A) die**. If an animal does not eat, it will not get the nutrients and energy it needs to survive. It will become weak, sick, and eventually die.

","Questions: What will happen to the animal if it doesn't eat?, Choices: (A) die, (B) meat, (C) cuddly pet, (D) feel hunger, (E) learn how to dance. What is the correct answer to the question 'What will happen to the animal if it doesn't eat?' with the options die, meat, cuddly pet, feel hunger learn how to dance? Provide a straightforward explanation. 
"
"James and Ruth were getting a divorce.  It was amicable, but it wasn't happy.  There was a lot of what emotion?","['bitterness', 'sadness', 'depression', 'pain', 'anguish']","8. The correct answer is **(B) sadness**. James and Ruth were getting a divorce, which means they were ending their marriage. Even though it was amicable, which means friendly and peaceful, it was not happy. They probably felt sadness, which is an emotion of sorrow or unhappiness.

","Questions: James and Ruth were getting a divorce.  It was amicable, but it wasn't happy.  There was a lot of what emotion?, Choices: (A) bitterness, (B) sadness, (C) depression, (D) pain, (E) anguish. What is the correct answer to the question 'James and Ruth were getting a divorce.  It was amicable, but it wasn't happy.  There was a lot of what emotion?' with the options bitterness, sadness, depression, pain anguish? Provide a straightforward explanation. 
"
"James and Sarah went to the soccer field to spend their time, because it was muddy where they usually go.  Where might they usually go?","['highway', 'playground', 'town', 'mexico', 'outside']","9. The correct answer is **(B) playground**. James and Sarah went to the soccer field to spend their time, because it was muddy where they usually go. A place that is usually muddy is a playground, which is an area with equipment for children to play on. A playground can get muddy when it rains or snows.

","Questions: James and Sarah went to the soccer field to spend their time, because it was muddy where they usually go.  Where might they usually go?, Choices: (A) highway, (B) playground, (C) town, (D) mexico, (E) outside. What is the correct answer to the question 'James and Sarah went to the soccer field to spend their time, because it was muddy where they usually go.  Where might they usually go?' with the options highway, playground, town, mexico outside? Provide a straightforward explanation. 
"
"James bought an ipod so that he could listen to music.  It was delicate electronics, so he didn't plan to take it where?","['meeting', 'mall', 'concert', 'water', 'work']","10. The correct answer is **(D) water**. James bought an ipod so that he could listen to music. It was delicate electronics, which means it was easily damaged by physical force or conditions. He did not plan to take it to water, which is a liquid that can harm electronics. If water gets inside an ipod, it can cause it to malfunction or stop working.","Questions: James bought an ipod so that he could listen to music.  It was delicate electronics, so he didn't plan to take it where?, Choices: (A) meeting, (B) mall, (C) concert, (D) water, (E) work. What is the correct answer to the question 'James bought an ipod so that he could listen to music.  It was delicate electronics, so he didn't plan to take it where?' with the options meeting, mall, concert, water work? Provide a straightforward explanation. 
"
"James bought two cats for emma during her chemo.  They cheared her up.  But the chemo wasn't working as well as it was supposed to, and Emma felt that they had come to something.  What did she feel they had come to?","['find a friend', 'excrete', 'have cancer', 'cross roads', 'drink water']","1. The correct answer is **(D) cross roads**. This is a common idiom that means to face a difficult decision or a turning point in life. Emma felt that they had come to cross roads because the chemo was not working and she had to decide what to do next.

","Questions: James bought two cats for emma during her chemo.  They cheared her up.  But the chemo wasn't working as well as it was supposed to, and Emma felt that they had come to something.  What did she feel they had come to?, Choices: (A) find a friend, (B) excrete, (C) have cancer, (D) cross roads, (E) drink water. What is the correct answer to the question 'James bought two cats for emma during her chemo.  They cheared her up.  But the chemo wasn't working as well as it was supposed to, and Emma felt that they had come to something.  What did she feel they had come to?' with the options find a friend, excrete, have cancer, cross roads drink water? Provide a straightforward explanation. 
"
"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?","['cursive writing', 'hand writing', 'store bought', 'online media', 'hand written']","2. The correct answer is **(E) hand written**. This is the type of cards that James chose instead of printing them, because he wanted to be more personal. Hand written cards show more effort and care than printed ones.

","Questions: James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?, Choices: (A) cursive writing, (B) hand writing, (C) store bought, (D) online media, (E) hand written. What is the correct answer to the question 'James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?' with the options cursive writing, hand writing, store bought, online media hand written? Provide a straightforward explanation. 
"
"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?","['house', 'music shop', 'studio', 'storage', 'closet']","3. The correct answer is **(B) music shop**. This is where Alexa might look for an acoustic guitar, which is a type of guitar that does not need electricity to produce sound. A music shop is a place that sells musical instruments and accessories.

","Questions: James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?, Choices: (A) house, (B) music shop, (C) studio, (D) storage, (E) closet. What is the correct answer to the question 'James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?' with the options house, music shop, studio, storage closet? Provide a straightforward explanation. 
"
